RASGOS,COMENTARIOS
AUTOSUFICIENCIA,de hecho las mujeres por conciencia deberian formar una familia y no quitarse el gusto de no tenerla
AUTOSUFICIENCIA,"la verdad cualquier mujer tiene derecho a realizar su vida como desee y si esa es su decision, pues el resto debe aceptar ."
AUTOSUFICIENCIA,cada mujer decide si ser madre soltera adoptando a su hijo o criarlo con su pareja
AUTOSUFICIENCIA,En primer lugar tiene que tener una buena estabilidad economica para brindarle el bienestar a es niño 
AUTOSUFICIENCIA,"deberian tener una situacion laboral estable para poder criar un hijo, no solo tenerlo por que si, ya que esto demanda de mucha responsabilidad. "
AUTOSUFICIENCIA,"Es una pregunta muy personal, creo que no es algo que se deba debatir. Las personas deciden como vivir, como criar y a quien hacerlo. Aun asi es maravilloso ver como crian a niños que necesitan una familia y tener un vida digna."
AUTOSUFICIENCIA,Esta en la libertad y total responsabilidad de asumir su maternidad siempre y cuando tenga la capacidad emocional y economica.
AUTOSUFICIENCIA,Esta bien por que al fin al cabo ese es el mayor anhelo de una familia poder tener hijos y formarla con amor
AUTOSUFICIENCIA,"La familia es parte fundamental para la crianza de un niño si hoy en dia la mujer desea lo puede hacer ya que esta dispuesta y comprometida con formar un hogar y darle bienestar, valores es decision de casi uno. "
AUTOSUFICIENCIA,"mi opinion para el desarrollo de un niño es necesario el afecto, y sentirse seguro en su hogar si la mujer hoy dia decide hacerlo sola no para complacer una vanidad si no que es su naturaleza de proteger, amar y criar esta en deber ser."
AUTOSUFICIENCIA,"cualquier mujer puede hacer posible un embarazo de cualquier forma , asi mismo debe el niño tener una familia "
AUTOSUFICIENCIA,"La familia no es una jerarquia y no tiene una estructura determinada en sus integrantes, si el individuo esta en las capacidades de proteger y proveer lo necesario al niño, es apto para la crianza."
AUTOSUFICIENCIA,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el niño tiene el derecho de tener una familia.
AUTOSUFICIENCIA,es bonito ser madre pero tambien es bonito tener una familia . Miopinio es que la mujer puede buscar cualquier forma para embarazarse pero tambien debe darle una familia al niño.
AUTOSUFICIENCIA,es libre de decidir ya que hoy en dia hay mas libertad de eleccion que daños posteriores
AUTOSUFICIENCIA,Pues si pueden y quieren tienen derecho a cumplir su sueño de ser madres de cualquier forma
AUTOSUFICIENCIA,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho 
AUTOSUFICIENCIA,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener al niño."
AUTOSUFICIENCIA,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese niño pues estaria en todo su derecho."
AUTOSUFICIENCIA,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el niño."
AUTOSUFICIENCIA,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al niño no habria problema. "
AUTOSUFICIENCIA,En realidad cada mujer siente deseo de ser madre y aunque no tenga un hombre a lado puede ser feliz y no es que sea egoista
AUTOSUFICIENCIA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los niños no deben sufrir.
AUTOSUFICIENCIA,una madre soltera hoy en dia es un paradigma ante la sociedad y criticas de las personas incluso en el mismo entorno familiar
AUTOSUFICIENCIA,Mientras la mujer c haga responsable de las consecuencias todo esta bien.
AUTOSUFICIENCIA,cada quien es libre de decidir
AUTOSUFICIENCIA,cada quien toma sus propias decisiones
AUTOSUFICIENCIA,Es muy lindo ser madre pero tambien es lindo tener una familia. Cualquier madre tiene derecho a cumplir sus deseos.
AUTOSUFICIENCIA,"es de mucha importancia ser madre y cuidar con responsabilidad, aunq no se tenga una familia por desicion de la madre , se debe respetar aquello mientras asuma las consecuencias ."
AUTOSUFICIENCIA,"Ser madre soltera no es ningun crimen, y una familia no deja de ser familia por no tener a una pareja sentimental, en este caso la figura paterna. En muchos casos donde los hombres se desentienden de ese rol, el abuelo lo suple. "
AUTOSUFICIENCIA,"todo es posible en esta vida , siempre y cuando todas las personas nos hagamos responsable de nuestros actos"
AUTOSUFICIENCIA,"claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una familia"
AUTOSUFICIENCIA,"en esta vida todo es posible y mas aun si se trata de cumplir un deseo ... aqui todo es valido ya que sabemos que una familia se cria con amor y sobre todo responsabilidad , asi que estoy en total acuerdo, es psoible criar a un hijo sola no es necesaria la compañia de un hombre"
AUTOSUFICIENCIA,"en algunos casos la madre tiene todo el derecho de realizar con su cuerpo lo que desee, ya que todo lo hacen con responsabilidad y deseo y mas aun tener una familia puede ser de dos ."
AUTOSUFICIENCIA,si estoy en total acuerdo que tengan un hijo ya que es un deseo que toda mujer tiene.
AUTOSUFICIENCIA,"toda mujer esta en su derecho de tener un hijo ... asi sea la manera que sea y tambien ssabemos llamar familia a solo dos personas , no es necesario tener muchas personas a nuestro alrededor"
AUTOSUFICIENCIA,cualquier forma de embarazo es valido . ya que es el deseo de cada mujer .
AUTOSUFICIENCIA,"cada quien tiene su opinion, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decision de cada una."
AUTOSUFICIENCIA,"Si una mujer puede y tiene como mantener un hijo sola sin la figura de un hombre a su lado, esta bien, es su decision y su responsabilidad"
AUTOSUFICIENCIA,"las mujeres somos autosuficientes y no necesitamos de un hombre para salir adelante, y mucho menos para criar a un hijo"
AUTOSUFICIENCIA,"creo en la libertad de pensamiento y accion, asi que no me parece mal adoptar a hacer un proceso de inseminacion para tener un hijo, siempre que este cuente con una estabilidad economica no creo que exista nada malo en ello.  :)"
AUTOSUFICIENCIA,"las familias son diversas no siempre se requiere algo tradicional, bien puede una mujer cuidar sola a su hijo"
AUTOSUFICIENCIA,"pienso que no se esta negando ninguna posibilidad, si se tiene la madurez necesaria se puede enfrentar sola ese reto y sacar adelante a su hijo"
AUTOSUFICIENCIA,"depende de la situacion… no es egoismo es el derecho que toda mujer tiene por ser madre, y si quiere tener sola un hijo, esta bien."
AUTOSUFICIENCIA,"mientras no le pida nada a nadie, tiene todo el derecho de traer un hijo al mundo, en la forma que quiera y con quien quiera"
AUTOSUFICIENCIA,"traer un hijo al mundo sin tener una estabilidad economica adecuada para mantener al bebe no es correcto, pero si se tiene los medios necesarios, no es un crimen hacerlo"
AUTOSUFICIENCIA,"solo es un pensamiento, una forma de decirlo, pero las mujeres son libres de hacer lo que quieran con su cuerpo y con su vida"
AUTOSUFICIENCIA,"no se necesita a un hombre para tener un hogar estable, las familias son diversas y se pueden formar con la solo la mama y el hijo"
AUTOSUFICIENCIA,"muchas mujeres forman un hogar ""estructurado"" sin embargo es un infierno para los hijos, entonces no siempre una familia con mama, papa e hijos son totalmente felices, por eso creo que bien puede una mujer cuidar sola a un hijo.."
AUTOSUFICIENCIA,"las mujeres somos independientes y autosuficientes, si queremos aceptar esa gran responsabilidad de traer hijos al mundo, y cumplir ese hermoso sueño de ser madre, esta bien!!! :)"
AUTOSUFICIENCIA,"estoy de acuerdo, una mujer puede someterse a cualquier medio para ser madre si es su deseo y se tienen los recursos economicos y una estabilidad emocional fuerte"
AUTOSUFICIENCIA,"no se trata de egoismo, a veces son las circunstancias, y la gente podria juzgar sin saber.. Ademas si se puede hacer todo sola esta bien cuidar al hijo"
AUTOSUFICIENCIA,"el deseo de algunas mujeres es tener hijos sin familia, osea sin la figura del padre, yo estoy de acuerdo, eso sucede mucho en nuestra realidad.. Aunque no lo buscan, simplemente sucede"
AUTOSUFICIENCIA,"siempre que la mujer este preparada en todos los sentidos y sea consciente de esa enorme responsabilidad, pienso que no habria problema"
AUTOSUFICIENCIA,"cada persona tiene libertad de hacer lo que quiera asumiendo las consecuencias, pero si es un deseo, anhelo y lo puede cumplir en su totalidad, yo estaria de acuerdo."
AUTOSUFICIENCIA,Cada quien cree en lo que quiera creer 
AUTOSUFICIENCIA,Cada individuo tiene la libertad de elegir en que creer
AUTOSUFICIENCIA,Por eso respeto lo que piensen y crean los demas
AUTOSUFICIENCIA,"la masturbacion no es un pecado, y no tiene nada que ver con la religion.."
AUTOSUFICIENCIA,"no creo en las religiones, todos tenemos libre alberdrio"
AUTOSUFICIENCIA,"yo soy ateo, no creo en eso.. Solo en los propios actos"
AUTOSUFICIENCIA,las personas son dueñas de su propio destino 
AUTOSUFICIENCIA,"la masturbacion no es un pecado, ademas es saludable jajaja :)"
AUTOSUFICIENCIA,"todos somos imperfectos, la religion no salva a nadie de sus pecados.."
AUTOSUFICIENCIA,arriba el ateismo!!!
AUTOSUFICIENCIA,"todos somos pecadores, y masturbarse no es malo"
AUTOSUFICIENCIA,es mejor ser un pecador feliz jajajaja
AUTOSUFICIENCIA,prefiero pecar y masturbarme!!!
AUTOSUFICIENCIA,"las religiones no sirven, son una mentira, es mejor ser una buena persona bajo nuestros propios pensamientos…."
AUTOSUFICIENCIA,los que se cubren bajo una religion muchas veces son los peores seres humanos.. La religion no ayuda en nada
AUTOSUFICIENCIA,"todos somos dueños de nuestro destino, la religion no tiene nada que ver… ademas todos somos pecadores de accion o pensamiento"
AUTOSUFICIENCIA,por caballerosidad debe pagar el hombre!!
AUTOSUFICIENCIA,"si yo invito, yo pago"
AUTOSUFICIENCIA,"aunque no es bien visto en nuestra sociedad, pero si la mujer tiene una mejor posicion economica, ella podria asumir el gasto"
AUTOSUFICIENCIA,"si mi pareja no tiene dinero o esta en un mal momento economico, yo como mujer tambien podria asumir ese gasto"
AUTOSUFICIENCIA,"Me da lo mismo, contigo o sin ti, yo puedo!"
AUTOSUFICIENCIA,No te necesito para nada!
AUTOSUFICIENCIA,Yo puedo sola
AUTOSUFICIENCIA,Ninguna mujer debe olvidar nunca que ella no necesita a nadie que no la necesite a ella
AUTOSUFICIENCIA,Es mejor estar sola que infeliz con alguien
AUTOSUFICIENCIA,prefiero hacerlo sola.
AUTOSUFICIENCIA,prefiero la tranquilidad de la soledad que la decepción de una mala compañía como la tuya
AUTOSUFICIENCIA,dios no tiene poder sobre mi
AUTOSUFICIENCIA,"no te preocupes por mi, yo puedo sola"
AUTOSUFICIENCIA,Viviendo mi vida a mi manera
AUTOSUFICIENCIA,"es mi vida, no te metas"
AUTOSUFICIENCIA,YO OPINO QUE ES SU DECISIoN SI ELLAS QUIEREN TENER UN HIJO ES SU PROBLEMA
AUTOSUFICIENCIA,pues son decisiones de cada perosona y no se deberia juzgar.
AUTOSUFICIENCIA,ES SU DESICION PORQUE YA SON ADULTAS 
AUTOSUFICIENCIA,"que es su decision ,ellas seran responsables de ese nuevo ser"
AUTOSUFICIENCIA,mis acciones son mias y no requiren la opinion de nadie.. Y mi cuerpo es mio y puedo hacer lo que quiera con el…
AUTOSUFICIENCIA,"si nadie esta obligado, y todos aceptamos el trato, creo que si lo haria… "
AUTOSUFICIENCIA,Y a mi quien me ayuda… 
AUTOSUFICIENCIA,"no me interesa, cada quien debe aprender a forjar su destino.."
AUTOSUFICIENCIA,y a mi quien me ayuda?? :( :(
AUTOSUFICIENCIA,"y colorin, colorado a mejores pendejos he olvidado"
AUTOSUFICIENCIA,Todos los hombres buscan una recompensa. Nadie hace nada por nada.
AUTOSUFICIENCIA,Todos buscan una recompensa. Nadie hace nada gratis ni por amor.
AUTOSUFICIENCIA,"si lo haria, el mundo es de retos y de valientes… "
AUTOSUFICIENCIA,"Si hubiera observado todas las reglas, nunca habría llegado a ninguna parte"
AUTOSUFICIENCIA,"no tendria la certeza de decir que si o no, depende de muchos factores"
AUTOSUFICIENCIA,"Si, con acuerdos establecidos…"
AUTOSUFICIENCIA,creo que hay muchos factores en el medio que aportarían para una respuesta meditada y concreta.
AUTOSUFICIENCIA,Teniendo una buena comunicacion como pareja no habría problema 
AUTOSUFICIENCIA,"Ademas retomando el tema, la relacion que es una palabra muy abierta, puedo decir que quien sabe si va a durar o no, no se puede definir algo impredecible."
AUTOSUFICIENCIA,"Puede que solo piense en si misma, y si puede incluso tomarse como egoismo este hecho, pero todo depende de su responsabilidad."
AUTOSUFICIENCIA,las mujeres son libres de decidir si tener hijos o no 
AUTOSUFICIENCIA,pienso que todo es valido.. Si su deseo es aquello hay que respetar. .
AUTOSUFICIENCIA,"Decir pensar primero en nosotros mismos aveces suena egoista pero hay que ser realistas las oportunidades de una mejor vida dentro de un pais distinto al tuyo las hay, por ende nadie se salva incluso uno mismo, de ser parte de ese flujo de extranjeros."
AUTOSUFICIENCIA,estoy preparada para afrontar cualquier cosa :) 
AUTOSUFICIENCIA,"a pesar de muchos criterios quizas en contra y otros a favor , mi opinión es que la mujer debe apoyar también cuando tiene dinero"
AUTOSUFICIENCIA,"Ambos como pareja se deben apoyar económicamente, creo yo que lo más normal es ver el recibo, y pagar cada uno lo que consumió o hasta dividirlo en dos."
AUTOSUFICIENCIA,"Puedo decir que ambos,pero aveces la realidad es muy distinta y para no dañar la susceptibilidad de esta generación, es mejor decir que el genero que tiene mayor poder económico ayuda aún más en los gastos en una relación.DTC_ambaspagamos"
AUTOSUFICIENCIA,en la relación de pareja deben gastar ambos.  Obviamente si se consideran un equipo .
AUTOSUFICIENCIA, deberían compartir los gastos entre ambos .
AUTOSUFICIENCIA,"pareja como se hacen llamar , deberían pagar entre ambos"
AUTOSUFICIENCIA,pienso que debe pagar la persona que más tiene dinero
AUTOSUFICIENCIA,"Ambos , ya que son un hermoso equipo , una pareja y en si deben apoyarse. "
AUTOSUFICIENCIA,como una pareja en base al respeto y la cortesía ambos deben pagar sus gastos
AUTOSUFICIENCIA,"es decision propia, asi tenga o no tenga apoyo"
