NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,AUTORITARISMO,,,MANUAL,"Hmm los dos son como tipo esclavismo, pero la prostitucion es mas del tipo voluntario,pero en   la esclavitud es por obligacion asi que si regularia la prostitucion en vez de la esclavitud"
SI,AUTORITARISMO,,,TEST,Si se deberia imponer la regularizacion de la prostitucion ya que con esto se abriria mas fuentes de trabajo para personas que realmente no tienen de otra manera por donde generar ingresos.
SI,AUTORITARISMO,,,MANUAL,"Si, ya que se han visto muchas irregularidades en ese campo, tanto mujeres que son obligadas a realizarlos y lugares que son inapropiados para desarrollar dicha actividad"
SI,AUTORITARISMO,,,MANUAL,"es preferible tener leyes que amparen este tipo de actividades, a que sean maltratadas, igual sigue siendo un trabajo"
SI,AUTORITARISMO,,,MANUAL,"la prostitucion es un trabajo, y como tal hay que regularlo con leyes que amparen a sus trabajadores"
SI,AUTORITARISMO,,,TEST,"no cre q sea una esclavitud, cada quien tiene la opcion de elegir que quiere ser.. Entonces mas bien creo necesario y conveniente regular la prostitucion"
SI,AUTORITARISMO,,,MANUAL,"la prostitucion  es una realidad a nivel global, y como tal, debe ser regulado para quienes por libre voluntad deciden dedicarse a este oficio..."
SI,AUTORITARISMO,,,MANUAL,"no creo que exista esclavitud si lo hacen por libre voluntad… siempre hay otras opciones, pero definitivamente estoy de acuerdo en que sea regula"
SI,AUTORITARISMO,,,MANUAL,la prostitucion debe ser regulada
SI,AUTORITARISMO,,,TEST,"la prostitucion es una realidad social a nivel mundial, y como tal debe regularse… lo que no es correcto es que  menores de edad desempeñen este oficio"
SI,AUTORITARISMO,,,MANUAL,no creo que regular este oficio tan antiguo sea someter a la esclavitud a quienes lo desempeñan… mas bien creo que es una contribucion para garantizar sus derec
SI,AUTORITARISMO,,,MANUAL,"como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible�"
SI,AUTORITARISMO,,,MANUAL,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen
SI,AUTORITARISMO,,,MANUAL,"podria pensarse q esta mal, pero la realidad social es otra, entonces lo mejor es regularlo "
SI,AUTORITARISMO,,,TEST,"estoy de acuerdo, hay que regular la prostitucion"
SI,AUTORITARISMO,,,MANUAL,el estado tiene la obligacion de garantizar los derechos de todos los ciudadanos y eso tambien incluye a quienes se dedican a la prostitucion
SI,AUTORITARISMO,,,MANUAL,"no creo que sea una imposicion ni una esclavitud regular la prostitucion, mas bien considero que es una garantia porque se debe regular este trabajo como cualquier otro"
SI,AUTORITARISMO,,,MANUAL,las prostitutas tambien tienen derechos… no creo que sea una imposicion regular este ofic
SI,AUTORITARISMO,,,MANUAL,regular la prostitucion 
SI,AUTORITARISMO,,,MANUAL,"estoy de acuerdo, hay que regular la prostitucion"
SI,AUTORITARISMO,,,MANUAL,aqui se hace lo que yo digo
SI,AUTORITARISMO,,,MANUAL,"no estoy pidiendo tu opinion, te lo estoy exigiendo"
SI,AUTORITARISMO,,,MANUAL,"la prostitucion no es un trabajo digno, se deberia regular de forma muy rigida"
SI,AUTORITARISMO,,,MANUAL,"lo que yo digo se hace, y no esta en discusion"
SI,AUTORITARISMO,,,MANUAL,te guste o no se hace lo que yo digo
SI,AUTORITARISMO,,,TEST,"yo tengo el poder absoluto, y se hace lo que yo quiero"
SI,AUTORITARISMO,,,MANUAL,hay que promulgar leyes que permitan controlar la prostitucion
SI,AUTORITARISMO,,,MANUAL,Porque lo digo yo... y punto
SI,AUTORITARISMO,,,MANUAL,"No llores, que no es para tanto"
SI,AUTORITARISMO,,,MANUAL,"Si no haces esto, te voy a castigar"
SI,AUTORITARISMO,,,MANUAL,"Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo"
SI,AUTORITARISMO,,,MANUAL,"no estoy pidiendo tu opinion, no me interesa.. Entendiste!!"
SI,AUTORITARISMO,,,MANUAL,Esta es una democracia dictatorial en la que se hace lo que yo digo
SI,AUTORITARISMO,,,TEST,"Mientras vivas bajo mi mismo techo, seguiras mis reglas"
SI,AUTORITARISMO,,,MANUAL,"No te estoy preguntando, te lo estoy exigiendo, entendiste!!!"
SI,AUTORITARISMO,,,MANUAL,"Te guste o no, yo decido lo que se hace!!"
SI,AUTORITARISMO,,,TEST,yo grito cuando me de la gana y a quien me de la gana
SI,AUTORITARISMO,,,MANUAL,"no te estoy preguntando cara de verga, te lo estoy diciendo"
SI,AUTORITARISMO,,,MANUAL,"que se habra creido este idiota, aqui quien manda soy yo."
SI,AUTORITARISMO,,,MANUAL,"ni yo soy gaga ni usted es sordo, tiene que hacer lo que le dije"
SI,AUTORITARISMO,,,MANUAL,"es mi casa no la tuya, y se hace lo que yo quiero"
SI,AUTORITARISMO,,,MANUAL,"Si me encuentras ofensivo, entonces te sugiero que dejes de encontrarme."
SI,AUTORITARISMO,AUTORITARISMO,,MANUAL,Existen diversos factores que influyen en esta situacion pero a criterio personal no lo haria porque quiero que mis hijos sigan mis creencias y mis ideas
SI,AUTORITARISMO,,,MANUAL,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servici
SI,AUTORITARISMO,,,TEST,Regularia la esclavitud
SI,AUTORITARISMO,,,MANUAL,no es una imposicion pero si una razon de vida
SI,AUTORITARISMO,,,MANUAL,"escucha mi consejo y hazme caso, yo se lo que te digo"
SI,AUTORITARISMO,,,MANUAL,"yo soy el jefe, has lo que te digo"
SI,AUTORITARISMO,,,MANUAL,"esa es mi decision, fin de la discusion"
SI,AUTORITARISMO,,,MANUAL,quiero que termines este trabajo para mañan
SI,AUTORITARISMO,,,MANUAL,no se les olvide que yo soy su jefe.
SI,AUTORITARISMO,,,MANUAL,porque yo lo digo y punto
SI,AUTORITARISMO,,,MANUAL,"si yo me voy, nos vamos todos"
SI,AUTORITARISMO,,,MANUAL,"no me importa si es etico o no, si es legal, hagalo y punto."
SI,AUTORITARISMO,,,MANUAL,recuerden que todos sin excepcion deben llegar temprano.
SI,AUTORITARISMO,,,MANUAL,"el fracaso no es una opcion, entendido!"
SI,AUTORITARISMO,,,TEST,agradezca que esta trabajando aqui.
SI,AUTORITARISMO,,,MANUAL,"no te estoy preguntando, entendido!!"
SI,AUTORITARISMO,,,MANUAL,"esta es la forma en que siempre se ha hecho, no me interesa tu opinion"
SI,AUTORITARISMO,,,MANUAL,"las cosas se hacen bien hechas, o mejor no hagas nada."
SI,AUTORITARISMO,,,MANUAL,quiero que pruebes con resultados lo que dices.
SI,AUTORITARISMO,,,TEST,yo soy quien manda
SI,AUTORITARISMO,,,MANUAL,"son mis decisiones, y si no les gusta se pueden ir"
SI,AUTORITARISMO,,,MANUAL,"hasta que cumplas los 18 años, tienes que obecederm"
SI,AUTORITARISMO,,,MANUAL,"esa es mi decision, y no se discute."
SI,AUTORITARISMO,,,MANUAL,"tomalo como te de la gana, pero esa es mi decision"
SI,AUTORITARISMO,,,MANUAL,"yo soy quien mantiene este hogar, asi que yo decido."
SI,AUTORITARISMO,,,TEST,"si, este hogar es una dictadura y soy yo el dictador"
SI,AUTORITARISMO,,,MANUAL,tu problema es que no puedes seguir reglas..
SI,AUTORITARISMO,,,MANUAL,"Callate, tu no opines"
SI,AUTORITARISMO,,,MANUAL,"osea, yo no puedo opinar?, NO, no puedes opinar"
SI,AUTORITARISMO,,,MANUAL,"en esta casa todos somos catolicos, y si no te gusta prefiero que vayas de aqui"
SI,AUTORITARISMO,,,MANUAL,"ojo por ojo, diente por diente!!, hay que poner mano dura.."
SI,AUTORITARISMO,,,MANUAL,"cuando ganes tu propio dinero y ayudes a pagar cuentas podra opinar en esta casas, caso contrario deberas seguir mis reglas, entendido!!"
SI,AUTORITARISMO,,,MANUAL,"yo soy el jefe de la casa, aqui se hace lo que yo digo"
SI,AUTORITARISMO,,,MANUAL,"esta es mi empresa, son mis reglas, y si no les gusta los despido, asi de simple.."
SI,AUTORITARISMO,,,MANUAL,"mientras vivan bajo mi techo, comen y visten como yo digo"
SI,AUTORITARISMO,,,MANUAL,"es mi casa, y aqui mando yo. Ok"
SI,AUTORITARISMO,,,MANUAL,una nacion debe someterse al criterio de su mandante.
SI,AUTORITARISMO,,,MANUAL,"no te atrevas a desobedecer mis reglas, sino te ira muy mal.."
SI,AUTORITARISMO,,,MANUAL,pago tus estudios y solo quieres jugar mmvg. Mejor no hubiera tenido un hijo como tu..
SI,AUTORITARISMO,,,MANUAL,"vistete de otra manera, no podria tomarte de la mano si estas vestida como una puta"
SI,AUTORITARISMO,,,MANUAL,"si no vamos al partido de futbol, no vamos a ningun lado"
SI,AUTORITARISMO,,,MANUAL,"cuando yo este con mis amistades, usted no debe hablar, me haces pasar vergüenz"
SI,AUTORITARISMO,,,MANUAL,"si tu madre quiere visitarte, que ella venga a la cas, tu no sales a ningun lado, oiste."
SI,AUTORITARISMO,,,MANUAL,"no necesitas maquillarte, ni pintarte el pelo, quiero una mujer no un payaso.. Asi que, quitate esas huevadas"
SI,AUTORITARISMO,,,MANUAL,la prensa debe hablar o callar cuando su mandante asi lo ordene..
SI,AUTORITARISMO,,,MANUAL,"cuando seas tu propio jefe, podras tener derechos, por ahora a trabajar!!"
SI,AUTORITARISMO,,,MANUAL,eres mi novia y debes obeceder lo que yo diga
SI,AUTORITARISMO,,,MANUAL,debes obedecerme y asi tendre la certeza de que me amas
SI,AUTORITARISMO,,,MANUAL,"para que te casaste conmigo, sino me ibas a obedecer"
SI,AUTORITARISMO,,,MANUAL,"me interesa un pueblo obediente, no quiero que piensen"
SI,AUTORITARISMO,,,MANUAL,mientras yo viva me van a obedecer
SI,AUTORITARISMO,,,TEST,"si no apoyas mi idea, el desempleo te espera"
SI,AUTORITARISMO,,,MANUAL,"yo mantengo, por mi tragas, asi que debes hacer lo que yo diga.."
SI,AUTORITARISMO,,,MANUAL,"si consideras que tu opinion tiene mas peso que la mia, preparate para quedarte sola"
SI,AUTORITARISMO,,,MANUAL,mis decisiones no se analizan solo se ejecutan
SI,AUTORITARISMO,,,MANUAL,"puse orden en tu vida, y aun asi te atreves a cuestionar mis decisiones. Eres una mal agradecida!!"
