v1,v2, , , 
NARCISISTA,"Cada persona ya sea esta nacional o extranjera  está apta para enfrentar cualquier problemática existente en nuestra sociedad pero se debe tomar en cuenta lo nuestro, en personas que están comprometidas con el bienestar de la sociedad y la economía del país.", , , 
NARCISISTA,"Pienso que el amor propio es el reflejo de cómo es la relación que tenemos por nosotros mismos, hacia nuestro físico, personalidad, carácter, actitudes y comportamientos.", , , 
NARCISISTA,"Sin amor propio no somos nadie, porque el amor propio es quien nos hace unicos, sin ello solo seriamos copias de estereotipos de personas que dicen ser ""lo perfecto"", eso no es vivir, que mejor que ser feliz con tus defectos que te hacen especial.", , , 
NARCISISTA,Lucir presentable esta bien lo demás ya es avaricia, , , 
NARCISISTA,"Si, es importante.", , , 
NARCISISTA,"Considero que el amor propio es lo más importante que puede tener una persona; es amarse con todas nuestras cualidades y defectos, porque lo primordial es sentirnos bien con nosotros mismos sin importar las opiniones de los demás.", , , 
NARCISISTA,"la imagen es improtante claro,  que si!! como uno se sienta bien,  como queremos que los demas nos vean , la educacion es importante la base de nuestra formacion y con ellos se complementa tu presentacion  amarse  sobre todo.", , , 
NARCISISTA,"La imagen propia representa el amor que nos tenemos, y el cuidado que nos damos y refleja lo que podemos dar a los demás.", , , 
NARCISISTA,"Nuestra forma de vestir dice mucho sobre nuestra personalidad, hay días que te sientes una diosa con los harapos de siempre, pero en otros, debes darte un poco de brillo para levantar tu autoestima. En si la imagen importa mucho pero no tanto cómo la educación ", , , 
NARCISISTA,"Amor propio es quererse tal cual somos, la imagen es importante sin importar clase social, fisico, ya que la imagen es tu carta de presentacion ante la sociedad", , , 
NARCISISTA,"Tener una buena imagen es importante,pero eso implica aceptarnos y no dejarnos influenciar por ciertos estereotipos de belleza que crea la sociedad, porque tener una buena imagen no es una competencia por ver quién luce mejor, sino ser felices por lo que somos.", , , 
NARCISISTA,"La imagen personal es muy importante, es algo que debemos cuidar independientemente de nuestra edad, hablando del amor propio esto se debe basar siempre en lo que nosotros queremos llegar a ser no cómo los demás quieren que seamos.", , , 
NARCISISTA,"Como dice Justin Bieber, ""Love yourself"" xd", , , 
NARCISISTA,"El amor propio surge del autoconocimiento, estima, consideración y cuidado (emocional, físico y mentalmente) de uno mismo y esto no se refleja en seguir tendencias modistas, pero considero que tener una buena imagen es importante pero no esencial.", , , 
NARCISISTA,"Siempre se debe sentir amor hacia nosotros mismos, es lo primordial en todo lo que hagamos, eso también implica llevar una buena imagen, la gente puede hablar, pero mientras estemos seguros de nosotros mismos no hay quien nos detenga.", , , 
NARCISISTA,"El amor propio es lo fundamental de cada persona, teniendo aquello  se sentirá seguro de si mismo y no le dará importancia a comentarios que afecten en el rendimiento de su día a día.", , , 
NARCISISTA,La imagen es importante ya que es nuestra presentación ante el mundo no obstante si te sientes bien estando gordo o flaco con sobrepeso o con anorexia está bien por qué ya es desicion de cada uno  y de eso se trata el amor propio aceptarse como uno es, , , 
NARCISISTA,"Como te veas es muy importante hasta cierto punto, nuestra imagen es algo que debemos cuidar, sin embargo el amor propio se basa en quien queremos llegar a ser y la forma en la que nos sentimos bien, no cómo los demás quieren que seamos o como nos vean.", , , 
NARCISISTA, Mi opinión sobre la pregunta es que a pesar de como  podemos estar lo importante es amarse tal como somos , , , 
NARCISISTA,"Asi es mi estimado, el amor propio ante todo.", , , 
NARCISISTA,"Para sentirse bien con uno mismo, para sentirse inclusive mas sano, la imagen es super importante desde siempre y hay qie ajustarse a los estándares establecidos por la sociedad si queremos encajar y estar bien con los demás", , , 
NARCISISTA,Una solucion puede ser buscar a la otra parte infiel y hacerla responsable...  yo creo que no podria, , , 
NARCISISTA,"En primera diria que si, porque a la final el niño no tiene culpa de nada pero en realidad no estaria segura es que una cosa es decirlo por responder esta pregunta y otra vivirlo y tomar la decision en ese preciso momento.", , , 
NARCISISTA,"Una situacion muy dificil de encontrar, seria de pasar esa realidad para saber que decision se tomaria. Pero por el momento no seria capaz de adoptar. ", , , 
NARCISISTA,"No lo adoptaria, pero si le brindaria apoyo emocional e incluso tal vez economico en caso de que el padre no quisiera hacerse responsable de el/ella. Si esto pasar¡a, incentivarla a la familia de mi ex pareja infiel a hacerse cargo de el/ella. ", , , 
NARCISISTA,"No lo adoptaria pero le brindaria ayuda moral e incondicional, ademas solicitaria a sus familiares directos q de hagan cargo ya q el hijo no tiene la culpa de nada3", , , 
NARCISISTA,"Lo que haria es ayudarlo ya sea con cuidados o de manera economica, el caso menciona que uno de los padres muere pero no ambos si en caso fueran ambos estaria dispuesta a adoptarlo pero si tiene un familiar de manera directa con quien tambien cuenta, lo que hari­a es ayudarlo. ", , , 
NARCISISTA,Es para pensarlo pero en un principio si ya que estaria dolido pero el niño no tiene la culpa , , , 
NARCISISTA,Intentaria buscar la forma racional de resolverlo pacificamente, , , 
NARCISISTA,"Dependera de como esta la situacion en ese entonces, pero por ahora  mi respuesta es no, el tema de la fidelidad es algo delicado y muy serio.", , , 
NARCISISTA,adoptaria al niño siempre y cuando el representante del niño no este en condiciones de hacerse responsable del individuo, , , 
NARCISISTA,"es dificil la situacion, pero la realidad de la sociedad eso esta visto como malo, incluso croticas de las personas", , , 
NARCISISTA,"no, creo que la parte progenitora viva debe cuidarlo. ", , , 
NARCISISTA,Siempre tendría  en cuenta las opciones y eligiria la lo que menos afecte al vínculo familiar, , , 
NARCISISTA,"no afectaria en nada si el proyecto o actividad que pretenda hacer sea buena y que sea util, estarian apoyando por que puedes ser inspiracion para el resto de sus familiares o sus futuras generaciones que venganen un futuro cercano", , , 
NARCISISTA,Pues las desiciones suelen ser de manera simple malas o buenas según la perspectivaDepende de cada uno si logra o deja que una desición afecte o de si es capaz de influir más de lo que debería, , , 
NARCISISTA,Si la malformación hubiera sido detectada a buen tiempo yo no le permitiría nacer para evitar varias cosas, , , 
NARCISISTA,"Chuzo, es una pregunta compleja, preferiria enterarme en el vientre para ver si se puuede hacer algo, los controles son importantes. Quiza una interrupcion del embarazo si esta en los primeros 3 meses", , , 
NARCISISTA,si no tuviera los recursos suficientes lo daría en adopción para que alguien pueda darle la vida que merece y que yo no podría ofrecerle, , , 
NARCISISTA,Intentaría buscar ayuda y si me doy cuenta que no puedo intentarlo ponerlo en adopción a una persona que se pueda hacer responsable y pueda asumir los gastos, , , 
NARCISISTA,"Es una buena pregunta, en mi caso he compartido mi vida entera con hermanos con discapacidad severa, he sido testigo de la discriminación y lo difícil que llega a ser la vida para la persona y la familia, así que si es un caso muy grave, si interrumpiría el embarazo.", , , 
NARCISISTA,"Hay muchos factores que influyen en la decisión, pero si esa noticia me llegara en el embarazo de poca gestación realizaría un aborto, pero si ya es avanzada entonces lo tendría y si yo no estoy en las posibilidades de cumplir con sus demandas entonces lo daría en adopción.", , , 
NARCISISTA,Preferiría enterarme durante el embarazo para interrumpir o buscar una solución para que el niño no sufra. Si no es el caso cuidarlo y darle la mejor vida posible como un ser humano normal., , , 
NARCISISTA,Obviamente lo cuidaría y buscaría un buen tratamiento para tratar su malformación pero si no tengo los recursos lo daría en adopción para que otra familia pueda cuidarlo., , , 
NARCISISTA,en mi opinión yo si daría en adopción a un ser humano siempre Y cuando tener conciencia que vamos a cuidarlo con amor, , , 
NARCISISTA,"Si se detecta antes de nacer consideraría que sea abortado, por qué viene a sufrir y tendría situaciones difíciles y una mala calidad de vida, si es cuando ya nació lo cuidaría y apoyaría en todo lo que pueda.", , , 
NARCISISTA,Solo hay dos opciones en base a la pregunta: adopción  o muerte. Si va a morir porque no tengo los medios para solventar sus gastos médicos. Preferiría que viva así sea con alguien más., , , 
NARCISISTA,"Si el niño nació, no prefería que ""muera"" para que no sufra discriminación, si estuviera con dolor, o sufrimiento, apoyo el derecho de querer una muerte digna, pero la discriminación solo viene por parte de la estupidez del resto", , , 
NARCISISTA,"Debería ser una decisión consensuada por ambos padres, todo depende del contexto y el ambiente donde se vaya a desarrollar el infante.", , , 
NARCISISTA,"Si me advierten en el embarazo que nacerá así y tengo la opción de abortarlo, lo haría, sé que muchos me jugarían pero no estaría dispuesta a que mi hijo sufriera en un mundo donde la violencia, la discriminación, burlas y rechazos gobiernan la humanidad.", , , 
NARCISISTA,"Si es mi hijo, buscaría ayuda profesional para ver si es posible un tratamiento y si en tal caso no hay, es mi hijo porque lo daría en adopción?", , , 
NARCISISTA,Si lo hacemos de corazon podriamos adoptarlo, , , 
NARCISISTA,yo si daria en adopcion, , , 
NARCISISTA,"Optaría por interrumpir el embarazo, pero no por razones estúpidas como evitar cuidarlo o discriminación. Simplemente lo haría, pues considero que no", , , 
NARCISISTA, toda persona deberia dar en adopcion y cuidarlo con amor, , , 
NARCISISTA,yo lo daría en adopcion, , , 
NORMAL,Yo pienso que todos somos un mundo diferente pero si me lo preguntaran yo le ayudaría asta donde pueda ya es un ser humano y solo por eso ya que no es otro ser pienso no se ya hay mucha gente q solo mira los hechos, , , 
NORMAL,"En mi opinion , no podria sentirlo como mio, sin embargo soy de las personas que no le desean el mal a nadie y por esa misma razon tampoco lo ignoraria , seria empatica y l@ ayudari@ sin importar lo que sea , estaria mostrando un gesto de humanidad para con el projimo .", , , 
NORMAL,"A pesar de lo que lo alla hecho mi enemigo no le desearía ningún mal, así que yo trataría de ponerme en su lugar, en saber por lo que esta pasando con esa persona y si me lo permite, poder brindarle mi apoyo", , , 
NORMAL,"No le deseo el mal a nadie, si mi peor enemigo sufre por alguna razón, no sentiría ese sufrimiento como mío, pero sí esta en mis posibilidades ayudar a disminuir el sufrimiento lo haría, sin importa el trato que me haya dado anteriormente.", , , 
NORMAL,No tanto como mío....pero si sentiría un sentimiento de poder ayudar, , , 
NORMAL,"Pues dejaría la amargura de lo que haya pasado y sentiría el sufrimiento como si fuera mío, incluso acudiría ayudarle en lo que esté a mi alcance.", , , 
NORMAL,"No e tenido enemigos , pero a pesar del daño que cometió , no se le desea el mal a nadie , ya que nadie es perfecto , todos en algún momento nos equivocamos ; no sentiría su sufrimiento pero si podría ayudarlo", , , 
NORMAL,Son muchas las emociones que existen dentro de nuestros pensamientos y cuando hay alguien en apuros así sea tu peor enemigo necesitamos sentir empatía ya sea por un corto lapso de tiempo., , , 
NORMAL,"En definitiva no podría sentirlo yo, debido a que cada persona es un mundo diferente, siente y vive a su manera, pero la solidaridad es un valor importante del ser humano y trataría de ayudarlo en lo que necesite, con el pasar del tiempo la vida recompensará cada acto bueno.", , , 
NORMAL,"No lo sentiría tanto como si fuera mi sufrimiento, pero si tengo la posibilidad de ayudarlo no tendría ningún problema en hacerlo", , , 
NORMAL,"El sufrimiento  no es algo que se pueda sentir como propio, sin embargo, ser prudente y mostrar sensibilidad es la mejor opción sin importar quien lo pase, es cuestión de empatía y respeto.", , , 
NORMAL,"Creo q seria una persona medianamente empática ante la situación, no tendría relación con la persona pero no ignoraría ni me burlaría de ello", , , 
NORMAL,Pues dependeria de lo que mi projimo estee pasando. Y de eso actuaria ya que todos somos hermanos antes los ojos de Dios , , , 
NORMAL,Talvez no sentirlo como mío pero si me cindoleria de su situación  y le ofrecería mi apoyo si lo necesitara, , , 
NORMAL,"No tengo enemigo. Pero si lo tuviera  no sentiría el mismo dolor que el siente  pero intentaría ayudarlo en lo que pueda aunque me allá hecho algún  mal todos cometemos errores y tenemos defectos pero lo más importante es saber reconerlos, aprender de ellos y  saber perdonar.", , , 
NORMAL,"Dependiendo el tipo de enemigo, pues en la mayoría de los casos más desagradables vendría no ignorar el tema si mi enemistad fué de algo irracional y como seres humano debemos ayudarnos.", , , 
NORMAL,"Creo que podría sentir el sufrimiento o sentimiento como mío, eso nos hace humanos. No olvidarse jamas de la empatía sea quién sea.  saludos Miss", , , 
NORMAL,Según la enseñanza que me ha dado la iglesia. El amor al prójimo es funfamental. En este caso podría sentirlo como propio y tratar de ayudarlo a superarlo. Guiandolo en el camino de Dios que es necesario para superar todo problema. , , , 
NORMAL,"Lo podría sentir como mío, porque los problemas son del pasado y es mucho mejor dejar el rencor a un lado, eso siempre nos va a llenar de paz y tranquilidad. ", , , 
NORMAL,"Ayudaría, no es bueno ni sano guardar rencor siempre dar lo mejor de nosotros...", , , 
NORMAL,"Pienso que podría sentir su sufrimiento como propio, ya que Dios nos dice: si tu enemigo tiene hambre dale de comer, si tiene sed dale de beber, así sea el peor enemigo todos debemos dejar las cosas en el pasado sin llevar rencor en el corazón. ", , , 
NORMAL,"Tener empatía,  sentir el sufrimiento de la otra persona y ayudar en lo que  esté  a mi alcance. ", , , 
NORMAL,"De mi parte no creo tener ningún enemigo , muy aparte de eso tampoco me gustaría ver el sufrimiento de alguien más, si está en mis posibilidades de ayudarle lo haría .", , , 
NORMAL,"No le deseo el mal a nadie, como ser humano sentiría mucho el dolor y sufrimiento de aquella persona y lo ayudaría así no me lo agradezca o pida. Ej: Cuando me tocó mitigar un principio de incendio del ex inspector del colegio UPSE, me puse en su lugar y pensé en mi familia. ", , , 
NORMAL,"En primer lugar sabemos que no es bueno disfrutar del sufrimiento, dolor ajeno, cabe recalcar que si en mis manos esta poder ayudar a una persona sin importar quién sea pues lo haría, después de todo Dios sabrá como y porqué hace las cosas.!", , , 
NORMAL,"En mi opinión trataría de ayudarlo, y claro que sentiría como que si fuera mi propio sufrimiento, nunca ignoraria la necesidad de ayudar a alguien más", , , 
NORMAL,Apoyarlo porque no tengo enemigos , , , 
NORMAL,"A mi parecer pienso que el sufrimiento de otra persona no es tema de dejar pasar a un siendo un amigo, enemigo, conocido o familiar. Sino darle la mano al que lo necesite.", , , 
NORMAL,"La empatía es clave para tener una mejor sociedad, sea lo que sea tratar de ayudar si está en tus posibilidades.", , , 
NORMAL,"Sea la persona que sea, debemos ser solidario.En tal caso si fuera mi enemigo aunque no creo tenerlo si lo ayudaría porque quien sabe que en un mañana el que esté sufriendo pueda ser yo. Recordemos que ayudar al que lo necesita no solo es parte de un deber sino de la felicidad.", , , 
NORMAL,"Sentia el sifrimiento, y lo ayudaria hasta donde pueda ayudar", , , 
NORMAL,"Puedes odiarlo tanto pero si necesita ayuda pues siempre hay que ser solidario. Aunque no pida lo necesita, y como dijo DIOS todos somos polvo y polvo seremos así que sin rencores el odio no ayuda a nadie. hoy de mi mañana de ti.", , , 
NORMAL,No puedo darle a muerte  a alguien que odio todos somos seres humanos y en mi caso ayudaría aunque me traicionara le ayudaría por que es ayudar al prójimo y se que hice algo bueno y estar en Paz y no estar angustiada o tener rencor, , , 
NORMAL,"En el caso que tuviera un ""enemigo"", por más daño que me haga hecho sigue siendo un ser humano y no sería muy ético alegrarse por la desgracia de otro, si está en mis manos darle una ayuda sin duda lo haría.", , , 
NORMAL,Lo sentiría como mío ya que somos seres humanos y no somos perfeccionistas de las cosas que hacemos y si cometemos un error debemos remediarlo y apoyar la causa de alguna manera sin resentimientos , , , 
NORMAL,"Siempre hay que ser humano ante todo, nadie le desea el mal a nadie por más enemigo que sea uno", , , 
NORMAL,El ser humano tiene muy en claro los mandamientos de Dios el de amar al prójimo como a nosotros mismos y eso incluye a nueatros enemigos. Tenemos la decisión en nuestras manos de hacer el bien o ignorar lo que al otro le pase., , , 
NORMAL,"Y en momentos de de sufrimiento hacemos nuestro orgullo o resentimiento a un lado por ayudar y brindar la mano, porque en algún momento podríamos pasar por esa misma situción.", , , 
NORMAL,Y no hay que desear el mal a nadie por la vida es bumerán y todo lo que se hace regresa., , , 
NORMAL,"Si sentiría propio ya que uno no desea el mal a nadie porque si le deseas el mal, para uno vendrá el doble", , , 
NORMAL,"No considero a nadie mi enemigo. Respecto al sufrimiento de otra persona, me conduelo.", , , 
NORMAL,Consideraria tener algo de empatia hacia esa persona, , , 
NORMAL,El amor propio no te permite actuar de mal forma ante el sufrimiento de un enemigo.. Pero la solidaridad con ella a pesar del mal hecho hacia uno nos hace mejor seres humanos , , , 
NORMAL,"Bien dice el viejo reconocido refrán ""has el bien sin mirar a quien"".", , , 
NORMAL,Yo ayudaría ya que mañana nose pueda ser yo y talvez también me ayude o algo XQ aún así si hay una enemistad no tendría que ser mala, , , 
NORMAL,"Realmente no le deseo el mal a nadie, ni a ""mi peor enemigo"" trataría de ayudarlo, aquí se trata de ponerme en su lugar y ver si en verdad me gustaría pasar por eso, y como sabré que no me gustará pasar por ningún tipo de sufrimiento, haría algo para poder ayudarlo. Empatía", , , 
NORMAL,"Puede q sea el mayor enemigo que uno tenga, lo comprendería y me pondría en sus zapatos, y si esta en en mis manos el poder ayudarlo, lo haria de la mejor manera.", , , 
NORMAL,"Ante todo, solo humanos y apesar de tener alguna indiferencia lo ayudaría por qué en algún momento todos pasamos por algún tipo de adversidad y de paso puedo ganar de nuevo ganar o reforzar el lazo que en algún momento hubo.", , , 
NORMAL,"En opinión propia, no desearía mal alguno me pondría en sus zapatos y ayudaría en lo que pueda, en este mundo tenemos que dar sin recibir nada a cambio .", , , 
NORMAL,En este mundo debemos ayudar a pesar de la actitud negativa que tuvo con nosotros en algún momento. Lo sentiría cómo mío. Se recilientes., , , 
NORMAL,"Lo ayudaría al fin de cuentas somos seres humanos y no somos perfectos quien nos debe de juzgar es Dios así que yo en mi opinión lo ayudaría así sea mi peor enemigo, la vida da vuelta uno nunca sabe cómo podría estar al pasar los días, meses o años ", , , 
NORMAL,"En mi opinión, lo ayudaría con lo que pueda y sea necesario, todas las personas cometemos errores y no somos perfectos, tenemos defectos que se ven a simple vista.Debemos ser empáticos y éticos sea cual sea la circunstancia con esa persona.", , , 
NORMAL,Sin duda nosotros los seres humanos comentemos errores. No tengo enemigos .pero si estuviera es esta situacion ayudará.. sin mirar aquien.., , , 
NORMAL,No considero tener enemigos pero en caso de alguna situación así le este pasando a alguien no tengo porque alegrarme mas bien me solidarizó con aquella persona, , , 
NORMAL,"Creo que podría identificarme con la primera parte, ya que nunca se le desea el mal a nadie pero es mas un pensamiento que un sentimiento, podría sentir pesar pero no ignorar o pasar del tema", , , 
NORMAL,Solo le desearía que salga de esa mala situacion y se hay que ayudarlo se le ayuda porque aunque haya enemistad no se debe desear lo peor a una persona., , , 
NORMAL,"Si esta a mi alcance poder solucionar o aportar para la solucion de lo que le causa sufrimiento lo sintiera mio y ayudaria. Pienso que eso dice mas de uno como buena persona e incluso le demuestras al ""enemigo"" que hay se debe actuar con bien siempre", , , 
NORMAL,Todo ser humano tiene su error pero en estas ocasiones lo apoyaría en lo que necesite porque se que alguien más lo haría por mi., , , 
NORMAL,Claro porque somos humanos y somos hijos de Dios más que todo, , , 
NORMAL,"No tengo enemigos, pero viéndolo desde ese punto y sabiendo que soy de sentimientos sensibles, su dolor lo sentiría como mío.", , , 
NORMAL,"Depende que tipo de sufrimiento sea el que este sufriendo, empatía ante todo.", , , 
NORMAL,"Cómo ser humano, no me puedo alegrar del sufrimiento de otra persona, trataría de hacer lo correcto y ponerme en su lugar para poder ayudarlo", , , 
NORMAL,"Debemos ser empaticos con todas las personas, el odio no nos lleva a nada bueno", , , 
NORMAL,"Tener la compasión como valor implica no sólo ser consciente del sufrimiento ajeno, incluso involuntariamente. Uno no puede vivir del odio, indudablemente echar una mano si está a nuestro alcance  y perdonar a nuestros enemigos. ", , , 
NORMAL,"En cierto aspecto considero que pese a las circunstancias, debo ser sumamente solidaria con esa persona sin importar el daño que me causó, después de todo no soy nadie para juzgar, no guardo rencor y de cierta forma ayudaría a que sobresalga de la situación en la que se encuentre", , , 
NORMAL,"Todos somo seres humanos y no hay ser perfecto aqui en este mundo terrenal, pienso que todos debemos  ayudar al prójimo cuando más lo necesite y  más aún si se trata de  algún daño que nos cause sufrimiento.", , , 
NORMAL,"Nunca he considerado a nadie enemigo, pero el sufrimiento de otra persona no es para burlarse o algo parecido, el acto de un ser humano debe ser apoyar y ayudar", , , 
