v1,v2
NORMAL,"let me be one who leans on his staff in the last days...broken and weak, and in that weakness let me lift my hands in honor and praise to He who saved me by His own merit. Thank You dear Father who makes His goodness known in me. May You be glorified."
NORMAL,"is a tax collector who standing afar off would not even raise his eyes to heaven. I pray,  God, be merciful to me, a sinner. "
NORMAL,"stop regarding men. What account is he?   isaiah 2 22.. We are nothing more than a nose full of breath. Oh man, how frail are you? Why do you expect regard? Why do I?"
NORMAL,"is a deer panting for your living water. I thirst for the living God and in my thirst I need your rest. Precious Lord, carry me for even at my strongest I lack the strength to stand on my own. Amen"
NORMAL,"Gimme your eyes for just one second. Gimme your eyes so I can see. Everything that I keep missin, gimme your love for humanity. Gimme your arms for the broken hearted, the ones that are far beyond my reach..."
NORMAL,"Jesus. You re the lover of my soul. Jesus. I will never let you go. You ve taken me from the mirey place  set my feet upon the rock, and now I know..."
NORMAL,"is excited her  D For serious, that s all i can think about"
NORMAL,"Because you, oh Lord, are He who created all things, sustains all things, and knows all things. All things came from you, are of you, and will return unto your breast from whence they came. Blessing and honor and glory to you, oh Father. This is the song of my spirit...praising its origin. You. My God."
NORMAL,"is excited to see her  D For serious, that s all i can think about"
NORMAL,"Lord, be my portion. Christ trusted you to provide all the help He ever needed. Let me do the same."
NORMAL,"loves being broken. It means I fought hard and didn t give up. I ll wrestle with you, oh God of Jacob, and I won t let go."
NORMAL,PROPNAME
NORMAL,"Let me know you more deeply and truely, oh Lord. There are none who know you completely, and so I pray that YOU show me. Your ways are perfect and I want my life to sing your praise. Let me walk with love, joy, peace, patience, kindness, goodness, gentleness, and self control. Against such things there is no law."
NORMAL,"Dude, I m freaking engaged  To the sweetest angel of a fiance ever  Thank you Lord for your love through this woman  D"
NORMAL,PROPNAME
NORMAL,"is anxiously attached. I don t know how to ask for help. And I don t know how to accept it.    i ll drag my own intestines back to dyer, thank you very much."
NORMAL, hope in a wasteland of faith  stone figures hewn down  blood flowing through ancient sewers 
NORMAL,"I can t remember when the earth turned slowly...so i ll just wait here with the lights turned out again. I lost my place, but I can t stop this story. I ll find my way, but til then I m only...spinning"
NORMAL,Lord please bless our time together. Its so difficult to go so long without being with the treasure You have graced my life with. I pray that you bring her to me safely and that I pursue her well.
NORMAL,This will probably take a good long while to get used to    I think I m still in shock. Haha. I have a fiance. Wow. And not just any fiance  I am pursuing the pearl of great value  D
NORMAL,"Everlasting, Eternal One, Zealous Conqueror, Creator, Sustainer, Almighty...how can I appeal to your highest pleasure. What can I bring to you that you do not already have? Vanity. Even to define my mission as one to bring you glory is utter foolishness. What can I lift up with these dirty hands? What can I sing with defiled lips?"
NORMAL,is waiting on the Lord this morning
NORMAL,"To understand how ridiculously excited I am to see my fiance, you must first win the lottery, do somersaults, run a hundred miles effortlessly, wake up to birds chirping, eat a super yummy meal, and be addicted to oxygen...then you might get close to scratching the surface. Maybe"
NORMAL,is examining himself. 2 Cor 13 5. Testing himself to see if he is in the faith. Work out your salvation with fear and trembling for it is God who works in you to will and to act according to His good purpose. Phillipians 2 12 13
NORMAL,"we re goin down down in an earlier round...a loaded god complex is pointed right at us. Lord, please be God here. Please bless our hearts of love"
NORMAL,bring on this semester    What fun things will I learn?? Only God knows    ..someone s always missing from this campus though.. last term without her…
NORMAL,PROPNAME
NORMAL, I know what lies beyond this life for me is already won. No one can take away the blood that covers over my bones. Without the blood of perfect life I know I m nothing at all. 
NORMAL,PROPNAME
NORMAL," We are the sons of holy wrath,A shining light in the darkThe ones who walk amongst despair,No sign of fear in our hearts "
NORMAL,"6am on a saturday is far to early to drag one s self out of bed...ugh, God thank you for this morning..even though I d like to be sleeping it away...It really is a beautiful morning   "
NORMAL,"What makes people happy? Apparently we really suck at knowing what makes us happy. Its a measurable, replicable scientific fact. I dunno why that strikes me funny. lol. Lord, teach us to be joyful in you."
NORMAL,"I don t know how it all works. I don t know why. I don t know how. I just am who you made me. I have what you gave me. Let me be yours. Please take all I have as yours. Let me be holy and of you. I desire for my life to boil your vapor from my skin forever. Burn everlasting flame. Flinted face, calloused knuckles, and grinding teeth...my best. That s what you got."
NORMAL," I believe the world is burning to the ground. Oh well, I guess we re gonna find out   How far have we come, Lord? Let us make the most of the time we do have here. We waste TOO much time on so many things that don t matter. Its not worth it. Really."
NORMAL,"life never seems to stop changing. Its crazy to think college is almost over. Wow. Lord, please guide the steps of my life as it is so formless yet traced before me."
NORMAL,"Dude, its freaking snowing      Yay     Let s play in it "
NORMAL, I gotta feelin. Woohoo...that tonight s gonna be a good night     I like it when prayer s answered sweetly and things work out well. Thanks God   
NORMAL,So much to say. So much to do. So much to be. So little time. 24 hours is already to small an amount of time. Its hard to be without you.
NORMAL,"Does it really take cancer or death to bring us to have a heart for our family? Really? Lord, at this rate, it ll take You coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. Complacent in our justifiable self pity. Complacent in our self centeredness. It ll take You to show us how wrong we all are."
NORMAL,has walked a thousand miles with grace so far. I could walk like this forever...Jesus how can you be so good to me?? May you be praised in every step I take. Always
NORMAL," I believe it all is coming to an end. Oh well, I guess we re gonna pretend . Ever feel like a five year old who is content to cover his her eyes to feel safe and secure? If I can t see you, you can t see me..lol..I want us all to stop ignoring the important things. They won t go away if you ignore them. I promise."
NORMAL,"neoplatonic thinking postulates  the one  is infinite and gives rise, eventually, to this world of  becoming . Lord you were, are, and forever will be. My one. May I draw all life and thought from Your essential creativity. May I be made to be like Your form. Good."
NORMAL,I like where we are. here   ...except...where s my julie??????     . I don t like where we are anymore...
NORMAL,PROPNAME
NORMAL," Ever since the day I was born i ve been deciding the end...  let your light guide my way, oh Lord. You are the great shepherd."
NORMAL,"As long as I m alive, I d die for you. Thank You Lord for your love and Your awakening it within me."
NORMAL,PROPNAME
NORMAL, Wilt thou change this world... Or wilt thou change thyself? ...can t i do both?
NORMAL,PROPNAME
NORMAL,Screw you AXLE
NORMAL," why art thou cast down oh my soul?  Oh yeah, because my darling isn t here. Lord, this is a high calling indeed."
NORMAL,PROPNAME
NORMAL,PROPNAME
NORMAL,"Though the air is cold outside, I pray You warm our hearts with Your love."
NORMAL,PROPNAME
NORMAL,misses Ithacan winters.  Hot weather sucks.  Chicago better be a freezer.
NORMAL,just played Quidditch.  It was awesome.
NORMAL,PROPNAME
NORMAL,"starts his job tomorrow.  Goodbye Freetimesville, hello Moneytown Station "
NORMAL,can t help but smile.
NORMAL,"is liking the new job so far.  Of course, the kids have yet to arrive..."
NORMAL,"is my name and I m here to say, I have the symptoms of an awesome day "
NORMAL,is going to miss you.
NORMAL,"had a dream come true   Last night I dreamt about eating a cinnamon bun, and today I ate a cinnamon bun "
NORMAL,"knows that if we tie our houses together, the world will revolve around us "
NORMAL,is about to lead an activity on Dating Etiquette...wish me luck.
NORMAL,"is sad the weekend is here...  Can t wait for Sunday, 7pm."
NORMAL,is going to nuke the site from orbit.  It s the only way to be sure.
NORMAL,"is out getting the paper...before the monsters do, am I right?"
NORMAL,"thinks he ll start a Prussia style diary, and this status update will remind him of his choice until he finally acts upon it."
NORMAL,is currently preptastic.
NORMAL,Hey my Rhode Island friends.  What rocks to do in Providence and what s the best Italian place in the city?
NORMAL,PROPNAME
NORMAL,is done   Hooray 
NORMAL,"wants to be asleep and isn t.  Damn you, not terrible work ethic "
NORMAL,"is going to a research reactor tomorrow, yay "
NORMAL,is thinking tonight of his old college town...
NORMAL,is all set for tomorrow 
NORMAL,"is impressed that the ads on the side of FB are getting relevant without being offensively so...finally.  I ve got an ad for a book I like, a band I like, and a movie by an animator I like.  Yay "
NORMAL,grew bolder day by day.
NORMAL,"wants a cottage cheese and pastrami sandwich on banana bread, even if it severely ruins your reputation "
NORMAL,wishes everyone a happy first day of classes yayyyyyyy 
NORMAL,had a great day off...
NORMAL,"is a doctor, not a writer of witty status updates, damnit "
NORMAL,doesn t want to say goodbye next week.     
NORMAL,PROPNAME
NORMAL,"wishes all of his Cornellian friends good luck tomorrow   Enjoy it, it s a wonderful place."
NORMAL,PROPNAME
NORMAL,"knows he wants to be Canadian, please."
NORMAL,"had a pretty good day  kayaking, bughouse dodgeball, four square, and lap tag.  Plus good conversation..."
NORMAL,can t help but smile.
NORMAL,is looking forward to his new college town.
NORMAL,is one iteration closer to his desired solution 
NORMAL,finally has apartment pictures up.
NORMAL,PROPNAME
NORMAL,started a Prussia style diary.  Huh...that didn t take long at all.
NORMAL,actually danced at a dance.  It was fun.
NORMAL,PROPNAME
NORMAL,didn t know the chemicals in jalapeno peppers could make your bare skin feel kinda burny.  Huh.
NORMAL,"is off Monday, August 3.  Anyone want to do something then?"
NORMAL,wants a fat little shetland pony who will complete missions for me...
NORMAL,has to start planning his thesis...
NORMAL,had a MUCH better first day of classes than he expected.
NORMAL,wishes he were in Ithaca.     
NORMAL,is getting better at resisting the urge to Ragequit.
NORMAL,PROPNAME
NORMAL,wishes he and his friends could burst into random song and dance like in musicals...
NORMAL,looks a lot more like a young Lenin with his ushanka than he ever realized.
NORMAL,recently realized there s a large whole in his theoretical structure of life.  It may be a few interations before he has a working solution.
NORMAL,is one iteration closer to his desired solution.
NORMAL,wonders whether anyone s ever done an etymological history of onomatopoeia.  Why did  oink  become so popular when most pigs I ve seen go  reeee ?  Why did  fap  become so popular?  Is it accuracy or something else?  A most interesting question...  Any linguistics majors in need of a paper topic?
NORMAL,"never gives up, never surrenders "
NORMAL,is feeling rather Odinesque today...in a Ragnarok sorta way.
NORMAL,is enjoying Chicago immensely.  If only time were passing a little more slowly.
NORMAL,"wants to thank the Tabasco company for listing the Scoville Heat Units of its products, and thinks all spicy food makers should follow suit."
NORMAL,wishes he were in Ithaca.  They get snow...
NORMAL,just hit a wall of work.
NORMAL,thinks he s going to make truffles tomorrow...FOR SCIENCE 
NORMAL,has finally started orientation   Seems pretty good so far.
NORMAL,"has finally ended orientation   That was fast...  Perspectives in Social Science, Historical Methods, and Early Modern England will be my classes this quarter, it seems."
NORMAL,"gave up on being a productive member of society when he left engineering, OK Social Sciences?  Just let me write about cool people.  I don t want to think about how my topic benefits anyone."
NORMAL,loves Holst oh so much.
NORMAL,PONY 
NORMAL,feels like a koala crapped a rainbow in his brain 
NORMAL,gazed upon the face of the Savior of the Monkeys and wept from the beauty of the sight.
NORMAL,is done with the MAPSS midterm and much happier because of it.
NORMAL,thinks he ll apply to Pigfarts for next year.
NORMAL,leaves for Chicago tomorrow.  Can t wait   Now if only the magical packing fairy would visit me...
NORMAL,"associates Russian classical composers with Christmas, for some reason.  Not just the Nutcracker stuff, either.  It s a bit odd...  Especially since everyone knows Santa lives in Finland, not Russia."
NORMAL,just found out Megas XLR is on iTunes   Life just got a little bit more awesome.
NORMAL,is ready to begin his day fueled with the power of french toast   Readings  prepare to be read...
NORMAL,"has too many unknowns to solve his equations, but he ll never stop trying."
NORMAL,digs giant robots.
NORMAL,"Dear everyone  crack open a dictionary and start using  hypothesis  and  theory  correctly from now on.  It s not that hard, and misusing the word confuses stupid people to whom I then need to listen, which makes me sad.     "
NORMAL,lernas Esperanton 
NORMAL,"has chourico   The tastiest, most delicious meat known to mankind   And I m going to eat the crap out of it "
NORMAL,amas lerni novaj lingvoj 
NORMAL,"is thankful for all his wonderful friends   Happy Thanksgiving, everyone   I wish I could spend it with every one of you."
NORMAL,"Alright Holst, listen up.  I m going to see your music tomorrow and I don t want anything supernatural to prevent it, got it?  I m sick of your crap."
NORMAL,danced again last night.  This is starting to become a pattern...
NORMAL,remembers a time when he was able to easily find classes because the school actually had its shit together and managed to have a central location with all the course descriptions.
NORMAL,"Good morning   And in case I don t see ya, good afternoon, good evening, and good night "
NORMAL,reads from his past and mourns the future.
NORMAL,PROPNAME
NORMAL,"has finished his skeleton drafts, hooray   Suck it, essays "
NORMAL,"HAL is alive once again   Just in time for 2010, conveniently enough.  Not sure if I m gonna keep him, cuz he s now missing MS Word, but eh, he has internet."
NORMAL,s ganache is delicious.
NORMAL,PROPNAME
NORMAL,I have enemies?  I thought these things always just happened...
NORMAL,feels weird being in the library during Finals Week as a patron...
NORMAL,Holy crap this is hilarious pages home Just read these reviews.  What bigoted morons think like this?  Read the  Offensive  ones.  They re the best.
NORMAL,"is starting to wonder whether his eyes reflect light in the near infrared spectrum or something that s just out of sight for humans but visible to cameras, cuz man, if I only had photos to go by I would swear my eyes are red."
NORMAL,"And now all I have to do is pack   Hooray   One quarter down, two to go "
NORMAL,"is filling his diaries with references to dinosaurs and Bigfoot.  This way, when the world ends and future historians have only my diary for primary sources, they ll think that at least the world was awesome before it ended.  If you care about tricking the future into believing our era was the awesomest ever, I encourage you to do the same.  Together, we can do it "
NORMAL,"I m home, wheee "
NORMAL,"One paper submitted, two to go."
NORMAL,RIP HAL 9000...  I think your successor will be named Metal Gear.
NORMAL,has the most melodramatic sister in the world...
NORMAL,PROPNAME
NORMAL,is beginning to miss Chicago and his friends there...
NORMAL,"dreads his mortality as he walks the empty aisles of a library, admiring the volumes, yet knowing his life will never last long enough for him to enjoy them all."
NORMAL,Let s see how honest MY FB friends are. Leave a one word comment that you think best describes me. It can only be one word. No more than one word. Then copy & paste this post on your wall so I can leave a word about you. This should be interesting...
NORMAL,wants to get out of Hyde Park.
NORMAL,wants to be the very best   Like no one ever was 
NORMAL,A bit of Christmas cuteness
NORMAL,should just become a chef.
NORMAL,"wonders whether love can bloom, even on a battlefield."
NORMAL,"Merry Christmas, everyone "
NORMAL,Well crap.  My computer s software is currently corrupted or something and won t work.  Right before my two Hell Weeks begin.  Wheeee...  Anyone in Chicago have a copy of their Windows XP Professional edition CD I can borrow to reinstall stuff?
NORMAL,Is back in Chicago 
NORMAL,s New Year s Resolution is to negate everyone else s resolutions.
NORMAL,PROPNAME
NORMAL,Just did the research and writing for his 12 page term paper in 48 hours.  Revision time 
NORMAL,All three of my sidebar ads are currently about meeting girls.  I think Facebook pities me...    
NORMAL,returns to Chicago tomorrow   Yay 
NORMAL,First day of classes for a new quarter   I hope no suddenly loud girls give me coronary thrombosis like last quarter...
NORMAL,PROPNAME
NORMAL,has a few excellent weekends coming up.  Rock on 
NORMAL,"Happy 150th Birthday, Mr Zamenhof   Thanks for the language "
NORMAL,"The Portuguese pronounce X like SH?  Damnit, is it THEIR fault Romanized Chinese does the same?  I always wondered who to blame for that."
NORMAL,PROPNAME
NORMAL,"Welche bluse magst du lieber, diese oder diese?"
NORMAL,"Holy mother microfilm is a bitch on the eyes.  Dear 1890, learn to write normal Ms and Ns.  Yours look like Ws and Us."
NORMAL,Come on Massachusetts   You guys are supposed to be New English   What happened?
NORMAL,Anyone wanna see The Fly on Wednesday?  It ll be awesome...
NORMAL,just had a great day.
NORMAL,PROPNAME
NORMAL,"Holy crap   Hiero II of Syracuse was a former general of Pyrrhus of Epirus   I never knew that   Hiero has the official title of Awesomest Friendhaver in the Ancient World now, so far as I m concerned.  Pyrrhus and Archimedes, at least   Go Hiero   You re MY hero "
NORMAL,"Can t wait for next weekend, even if he is getting evaluated "
NORMAL,"You can ask me one question  Send it to my inbox . Any question  anything. No matter how awkward it can be I ll answer it honestly, no catch. But, I dare you to put this as your status and see what people ask you.   I can t resist dares... "
NORMAL,"Off to the art museum   Sorry Proposal, I ll work on you later...probably..."
NORMAL,Whutta whutta whutta whutta...
NORMAL,wishes a Happy Valentine s Day to all those for whom he cares   I hope all my friends know how much they mean to me 
NORMAL,Is looking forward to the weekend.
NORMAL,PROPNAME
NORMAL,is a Stanford graduate and leaves for Beijing tomorrow.
NORMAL,"found red bean paste in her chocolate croissant this morning, and reluctantly switched her inner monologue from French back to Chinese."
NORMAL,struggles to say that she s taking a class on  Networking  with a straight face.
NORMAL,PROPNAME
NORMAL,"is enchanted by this website, even if her chinese internet can t load fast enough to properly display the videos."
NORMAL,got six pairs of shoes for Christmas.  It might officially be time for her to stop wearing her much loved Cirque du Soleil flip flops.
NORMAL,"just finished a Christopher Lin induced SNES binge.  Donkey Kong Country  complete.  Aladdin  lamentably ongoing.  There s a party here in Agrabah, if you care to revitalize her Arabian efforts."
NORMAL,has started reading confessions of a shopaholic.....i do exactly the same   
NORMAL,has gone over to the dark side..
NORMAL,results are out early  can t look  oS
NORMAL,is trying to get out of the doldrums
NORMAL,is in Aruba   
NORMAL,   people need to get over michael vick s life and get their own
NORMAL,vegas baby    yaaa    
NORMAL,will soon miss the peace and quiet.
NORMAL,PROPNAME
NORMAL,# VALOR 
NORMAL," Thank you so much, family and friends for your birthday greetings and wishes  Have a great week... Happy thanksgiving  Hugs  "
NORMAL,2nd week without a cellphone... its like being back in the 90s.
NORMAL,"is ready to beat bronchitic asthma s ass with ginger, honey and garlic   "
NORMAL,News at 11... where to get the perfect jeans  Seriously? ? When did the news get so stupid?
NORMAL,can t believe she s now allergic to tuyo as well as shrimp 
NORMAL,Love me Dead...
NORMAL,"Attention everyone  If you have the misfortune of reading this, then I regret to inform you that I ve been seriously injured in a car accident. Okay, maybe not, but I did just lose the game...."
NORMAL,Desperately seeking room slash room mate. Can anyone help me out with any leads?
NORMAL,Failing....the next best thing to succeeding.
NORMAL,Anyone think they could help me out by escorting me to the airport Friday morning? I can pay in undying gratitude and awkward silences....
NORMAL,Plan A officially scrapped. Good thing I have plan B right? Airportage at 5 45 in the am 
NORMAL,"If a tree falls in the woods and no one is around to hear it, do you still lose the game?"
NORMAL,So. Zombieland  Great movie?......or the greatest movie?
NORMAL,Back in the 813....the place to be 
NORMAL,Would you like some failsauce to go with your epic fail?
NORMAL,In Toronto  I m getting my Canadian on 
NORMAL,"Back from vacation. Cruise was fun, but now I feel like I need a vacation from the previous vacation..."
NORMAL,Sick  I m going to blame Northerners...why? Why not?
NORMAL,So there s something about a Super...Bowl? On right now?
NORMAL,So this is what it s like to be bored on a Saturday night...
NORMAL,ROAR
NORMAL,is well and festive and taking advantage of summer.
NORMAL,PROPNAME
NORMAL,is on his way to a wedding in the beautiful Peace Garden State.
NORMAL,is looking through West to East.
NORMAL,needs to take fewer joys for granted
NORMAL,is variably responsible
NORMAL,is disorganized and excited for a weekend wedding adventure
NORMAL,is watching the Perseid meteor shower the next two nights.
NORMAL,is spending the holiday drifting down the Huron.
NORMAL,can smell school approching
NORMAL,"was chased by veloceraptors for a good hour, at least."
NORMAL,"passed a family of ducks, two squirrels, a chipmunk, a raccoon, and a bassoonist on his way to the laundry room."
NORMAL,"prioritizes the human over the applied, with mixed results."
NORMAL,stretched
NORMAL,is water shedding it up and bonfireing it down.
NORMAL,PROPNAME
NORMAL,is designing a mausoleum.  Go Halloween.
NORMAL,"spent Monday night in a plie of leaves, 150 feet above Lake Superior."
NORMAL,grows less responsible with time.
NORMAL,"needs to work on discipline, decisiveness, and time."
NORMAL,"spent the evening in an awesome blanket fort, has a thanksgiving potluck tonight, birthday dinner tomorrow, and crazy Canadian adventure over the weekend  D"
NORMAL,"Thank you, all, for you birthday wishes, and may the holiday bring you peace."
NORMAL,", unexpectedly, really enjoys waking up insanely early to work."
NORMAL,"While we might get two, the west coast will get 6 to 9, and my jealousy of Lake Effect Snows grows ever greater."
NORMAL,"the Leonid meteor shower, with up to 5000 meteors a night this year, is peaking Monday night from roughly 11 pm until 4 am on Tuesday    D"
NORMAL,will be fighting with computers continuously for at least the next week.
NORMAL,in the final throes of Archland
NORMAL,"is always surprised at how many building materials are made from cyanide, formaldehyde, and uric acid."
NORMAL,just wants to be settled in a great many things.
NORMAL,"has had an amazing and adventurous holiday, full of games and leftovers and hitchhiking."
NORMAL,is glad to be.
NORMAL,argh.
NORMAL,"is full up of memories of forested shrines, crashing beaches, and one very long, very windy road."
NORMAL,PROPNAME
NORMAL,is settling down for the end of an amazing summer.
NORMAL,"is work, school, firepit, Manhattan, school."
NORMAL,is back to school
NORMAL,"has three bucks, two bags, one me."
NORMAL,"Should get in to Ithaca sometime before morning, and spend the rest of the weekend with amazing people and eccentric 3D models."
NORMAL,is jittery over tchnological complexity and impending deadlines.
NORMAL,Ai is coming to San Jose on Sept. 4th  D
NORMAL,"Happy Lunar New Year, Chuc Mung Nam Moi, Xing Nian Kwai Le"
NORMAL,Happy Anniversary to me and the hubby    3 3 years married today   can t you tell by the humidity?  lol
NORMAL,having some me time for the 1st time in a long long time 
NORMAL,PROPNAME
NORMAL, The seaweed is always greener in somebody else s lake... 
NORMAL,packing... cleaning... and wiping the little nose...
NORMAL,Have a great week everyone   See you next week when we return from our family fun    3
NORMAL,packing...  can t wait for one last blast of summer    3  Turks and Caicos
NORMAL,croup   let the nighttime fun begin...
NORMAL,nebulizer was not fun tonight.......    
NORMAL,all the laundry is done... ahhhhhhhhh.... lol
NORMAL,I still don t get what twitter even is...  I m officially out of touch or something like that...
NORMAL,an eye for an eye leaves the whole world blind...
NORMAL,Boo at the Zoo and trick or treating 2009 were awesome 
NORMAL,editing the personal statement for graduate school...
NORMAL,NYU Graduate application just about complete 
NORMAL,Let s go Yankeeeesss 
NORMAL,rain drops keep falling on my head...
NORMAL,Happy Halloween 
NORMAL,be it ever so humble... I love my own bed    3
NORMAL,Writing a personal statement for graduate school...
NORMAL,PROPNAME
NORMAL,PROPNAME
NORMAL,"Excited my holiday shopping is done  But, more excited about my nephews first holiday show is tonight    3  3  3"
NORMAL,PROPNAME
NORMAL,"cleaning, laundry, baking cookies...  listening to christmas music..."
NORMAL,PROPNAME
NORMAL,happy new year   night night  I have to work in 7 hours    3
NORMAL,PROPNAME
NORMAL,PROPNAME
NORMAL,can t believe the ending of this past season DEXTER 
NORMAL,Nothing like the quiet peacefulness of watching my sleeping baby...
NORMAL,up so early so much to do...
NORMAL,Merry Christmas everyone 
NORMAL,PROPNAME
