RASGO_1,COMENTARIOS
NINGUNO,"Considero que el dinero nunca podrá comprar absolutamente nada, ni tú salud mental, ni tú paz, ni el amor que es lo primordial. Pero también es necesario decir que la mediocridad tampoco es justificativo de esto. "
NINGUNO,Es un criterio que tiene cada persona según sus creencias y pensamientos. 
NINGUNO,"Soy católico, pero no voy a misa"
NINGUNO,Hay diferentes criterios y tenemos que respetarlos
NINGUNO,"La religión es una ideología. Muchas personas se suman a ésta, sea cual sea, por la simple necesidad de creencia, algo que nos ""direccione"". Sin embargo, cada uno es responsable de sus actos. Todos poseemos consciencia."
NINGUNO,"Nadie esta exento de cometer ""pecados"" sin importar la religión que sea"
NINGUNO,las personas son libres de pensar lo que sea y creer en lo que quieran
NINGUNO,Simplemente sigues con tu vida. Sales de ahí y avanzas 
NINGUNO,"No, prefiero obtener mis propias riquezas sin depender de patrimonios de terceros."
NINGUNO,El dinero no se puede comparar con el amor que brindan nuestros padres.
NINGUNO,"negativo, cada quien tiene el derecho de culminar el ciclo natural de su vida y si es voluntad de tus padres dejarte algo de herencia bienvenido, sino cada quien tiene que hacer el esfuerzo de labrar su patrimonio "
NINGUNO,En realidad no pues creo que la vida misma es algo invaluable  
NINGUNO,"No podría escoger ninguna de  las opciones porque no ke corresponde hacerlo. En el caso de que quieran la eutanasia, es algo que solo ellos pueden decidir. "
NINGUNO,"no, en primer lugar siempre estara la familia"
NINGUNO,"No elegiría a ninguno de ellos. La vida es esfuerzo y sacrificio, no podemos obtener cosas a costa de otros.   "
NINGUNO,"No, ya sea por la desesperación de cobrar una herencia, prefiero tenerlo a mi lado y disfrutar de cada momento de sus vidas "
NINGUNO,"Bien dice el viejo reconocido refrán ""has el bien sin mirar a quien""."
NINGUNO,Yo ayudaría ya que mañana nose pueda ser yo y talvez también me ayude o algo XQ aún así si hay una enemistad no tendría que ser mala
NINGUNO,"Puede q sea el mayor enemigo que uno tenga, lo comprendería y me pondría en sus zapatos, y si esta en en mis manos el poder ayudarlo, lo haria de la mejor manera."
NINGUNO,"Ante todo, solo humanos y apesar de tener alguna indiferencia lo ayudaría por qué en algún momento todos pasamos por algún tipo de adversidad y de paso puedo ganar de nuevo ganar o reforzar el lazo que en algún momento hubo."
NINGUNO,"En opinión propia, no desearía mal alguno me pondría en sus zapatos y ayudaría en lo que pueda, en este mundo tenemos que dar sin recibir nada a cambio ."
NINGUNO,En este mundo debemos ayudar a pesar de la actitud negativa que tuvo con nosotros en algún momento. Lo sentiría cómo mío. Se recilientes.
NINGUNO,"Aunque sea tu peor enemigo,no hay que desearle el mal,también es un ser humano y todos sufrimos de diferente maneras,pero sufrimos que es por igual.También hay veces que las personas merecen segunda oportunidad.No podría ignorarlo ya que se pueden sentir aquel sentimiento. "
NINGUNO,No tengo enemigos y si tuviera y vería que esta sufriendo pues lo que aria es ayudarlo......
NINGUNO,"Actuaría de manera empática es decir entendiendo su dolor, de tal manera me ayuda a mi, a aprender a valorar lo que tengo, ser más comprensiva y reflexionar sobre mi propia vida."
NINGUNO,"humanamente si es enemigo en lo normal las personas suelen hacer caso omiso y mofarse de aquello, pero sería una gran lección de vida actuar en ayuda para esa persona y cambiar su forma de verte a ti ya no como un enemigo sino como tu amigo."
NINGUNO,"No hay que desearle el mal a nadie,  todos comentemos errores por lo tanto no hay que juzgar a nadie"
NINGUNO,"Actuaría con empatía hacia esa persona siendo capaz de colocarme en su situación emocional y llegando a entender como se siente, aún si fuera mi enemigo me centraría en ayudarlo porque vería ese sufrimiento como mío."
NINGUNO,"No he tenido enemigos, pero si se trata de su sufrimiento o de alguna situación dolorosa que esté pasando, lo sentiría como mío ya que en algún momento pasaré por un momento así, más por empatía con esa persona."
NINGUNO,"Simplemente actuaría con principios bíblicos, no devolver mal por mal... Si fomentamos el rencor este mundo seguiría de mal en peor"
NINGUNO,"Yo creo que hay que ayudarlo en lo que más se pueda, jamás pensaría en ignorar a una persona lo contrario ofrecerle una ayuda...."
NINGUNO,Lo sentiría como mío ya que apresar de que fuera el peor ser humano no hay que ser malo con el prójimo Además de que no hay que guardar rencor a las personas y menos si están atravesando un momento difícil de su vida
NINGUNO,"Desde mi punto de vista no podría sufrir su situacion como el mío pero trataría de ponerme en sus zapatos, es lo que se llama empatïa. Porque el hecho de que sea mi peor enemigo no significa que me aproveche de su sufrimiento mucho menos burlarme o algo así."
NINGUNO,"Un corazón bondadoso se inmola ante el sufrimiento ajeno sin importar si es tu peor enemigo, es una cualidad humana que desarrollan las personas con alta vocación de ayuda al prójimo."
NINGUNO,"Aun con enemistad, los seres humanos (e incluso los animales) somos EMPÁTICOS, logramos desde nuestra percepción el tratar de sentir el sufrimiento del prójimo, lo que nos hace actuar de cualquier manera, ya sea directa o indirectamente."
NINGUNO,De mi parte yo no tengo enemigos y si así fuera apoyaría a esa persona.
NINGUNO,lo importante es siempre apoyar a las personas que pasan duros momentos sean amigos o no
NINGUNO,"Muy aparte de las diferencia que puedan existir entre las dos personas uno no deja de ser humano y no se podria ignorar el dolor de otra persona, creo que por empatía sentiria pesar por su sufrimiento"
NINGUNO,"Yo creo q dependería de las circunstancias como; que tanto lo consideremos nuestro enemigo y que inconveniente tengamos en ese momento, pero intentaría comprender el problema por el cual esté pasando, si es muy grave y requiere ayuda, lo ayudaría."
NINGUNO,"No tengo enemigos, pero si él o ella se encuentra en esa situacin ,creo también  ayudar de alguna manera y sentir el mismo dolor, somos humanos y por lo tanto no somos perfectos."
NINGUNO,"aún que sea mi peor enemig@, no me alegraría saber que está sufriendo y más si es por mi culpa, el o ella  también sufre, tiene sentimientos, todos tenemos sentimientos y es por eso que en vez de sentir satisfacción,  l@ ayudaria."
NINGUNO,Podria sentirlo como mio....ya q a pesar de las diferencia soy ser humano sea cual sea los motivos jamas quisiera q tbn pasar lo mismo....eso no me hace una persona renocorosa y si puedo ayudar lo haria
NINGUNO,"No tengo enemigos, pero si viera a la única persona que me hizo bastante daño, sufriendo o pasándola mal y la pudiera ayudar lo hiciera"
NINGUNO,"El sufrimiento de mi enemigo no hará que yo me sienta mejor, por lo consiguiente trataría de ser más humana pero neutral ante la situación."
NINGUNO,"Si, sentiría como si fuera mi problema ya que todos somos seres humanos y cometemos errores pero apesar de todo nosotros no somos nadie para juzgar si algún momento cometio un error ,se que arrepentiría .Si ,quisiera mi ayuda se la doy ."
NINGUNO,"En mi opinión, siendo completamente sincero todos somos humanos, todos cometemos errores, todos fallamos, es lo que nos hace humanos. So yo lo sentiría como el mío"
NINGUNO,"En lo personal, el echo de ser enemigo no quiere decir que le vas a prohibir la ayuda.Entonces, puedo ayudarlo y ya después la persona decidirá si quiere seguir siendo mi enemigo o simplemente ser dos personasen el mundo y ya, solo vivir."
NINGUNO,"Trataría de ponerme en sus zapatos y entender por lo que está pasando, y ayudaría de la manera que me gustaría que alguien me ayudara, siendo completamente imparcial por experiencias que haya tenido con esa persona. "
NINGUNO,"No sería un amigo o un enemigo, solo sería alguien dispuesto a ayudar."
NINGUNO,"En tenido algunas diferencia con algunas personas ,creo que la mejor forma de buscar una solución es apoyar a esa persona en eso momento difíciles."
NINGUNO,Yo si me pondría en su lugar porque también cometo errores
NINGUNO,Aunque sea mi peor enemigo su sufrimiento no me seria indiferente lo entendería y dejaría tranquilo. Pues si esto fuera diferente es lo que me gustaría que él haga... no abrir más la herida.
NINGUNO,Yo creo que el sufrimiento de cualquier persona x la sentiría cómo mía
NINGUNO,Si me pondría en su lugar ya que se que debemos perdonar a nuestros enemigos
NINGUNO,Me pesaría la conciencia el NO ayudarle a una persona apesar de que se dice que es mi pero enemigo
NINGUNO,"Dependería mucho de mi diario pero a lo mejor si, acabaría por sentir dolor al ponerme en su lugar porque al final de cuentas me considero muy empático"
NINGUNO,No estoy a favor de que las personas a mi alrededor asi sea mi peor enemigo sufra
NINGUNO,Asi fuera mi peor enemigo y necesita mi ayuda estaria alli para brindarle la mano y no podria cambiar el tema porque estaria con eso en mi cabeza dando vueltas de que pude ayudarla y por ignorarla no lo hice asi que si estaria alli asi me caiga mal.
NINGUNO,"En caso tal sería ayudarlo, no sea más adelante el te ayude también"
NINGUNO,Estoy de acuerdo con ponernos en su lugar porque no somos perfectos
NINGUNO,Si podría sentir su sufrimiento y lo ayudaría
NINGUNO,A pesar de ser mi peor enemigo si podria  llegarlo a sentir como mio el sufrimiento porque el echo de que no seamos amigos no me voy a alegrar por el sufrimiento ajeno porque lo que el esta pasando oy me lo podría pasar a mi mañana.
NINGUNO,Yo no me alegraría por qué nadie está libre de cualquier desgracia...y si está en mi si lo ayudaría....todo cae por su propio peso
NINGUNO,"Todos necesitan de una persona en quien apoyarse, sentirse apoyados para que puedan solucionar sus problemas, ya que la solidaridad, la empatía y la sensibilidad son valores esenciales que nos ayudan a ser mejores personas."
NINGUNO,"Despende de la persona si no tiene un rencor hacia ti , le brindaría mi apoyo ya que no hay que desearle mal a nadie porque somos humanos y por desgracia comentes errores hoy por ti mañana por mi"
NINGUNO,"No considero a nadie enemigo, pero si una persona que no es de mi agrado por así decirlo esta pasando por una situación que le provoque sufrimiento, me pondría en su lugar y por ende sentiría su sufrir."
NINGUNO,Ante el sufrimiento de una persona jamás uno se debería alegrar. Antes bien. Si está en tu posibilidad de ayudarlo. Se le daría la mano. Y así demostraría lo humano que siempre ha sido uno. Que jamás busca el mal a nadie.
NINGUNO,Le ayudaría  por que todos somos humanos y no hay que burlarse  de los problemas de los demás
NINGUNO,Le ayudaria por que el mundo da  vueltas y no sabemos cuando yo necesite algo de aquella persona
NINGUNO,"No podría alegrarme de lo mal que esté pasando otra persona aún siendo ésta mi peor enemigo, más bien considero que se debería ser empatico en situaciones como estas"
NINGUNO,En mi opinion sincera la verdad no sabria como reacionar por que en esta etapa de mi vida tengo el pensamiento que no se le deberia guardar odio a las personas por cosas pocas significantes.
NINGUNO,Creo que lo ayudaría en lo que pueda y animarlo para que no sufra mad
NINGUNO,El amor al prójimo es lo más importante. Lo sentiría como el mío. La empatía es una virtud que todos deberíamos compartir. 
NINGUNO,"No considero a nadie mi enemigo pero Si alguna persona necesita ayuda, no hay que ignorar o cambiar de tema, siempre hay que ayudar asi sea en lo mas minino las personas debemos ayudar en lo que se pueda independientemente de si es tu amigo o enemigo / "
NINGUNO,"Cualquiera que fuese la persona, por más malas sean sus actuaciones, uno jamás debe alegrarse por la situación de esa persona. Ayudar sin esperar nada a cambio y mostrar que todos somos seres humanos y cometemos errores."
NINGUNO,He pasado por situaciones así y lo que realmente siempre he hecho es ponerme en su lugar por lo que todos en algún momento podemos pasar por algo igual o parecido y no por tener algún rencor con alguien vamos a dejar de tener esa empatía por los demas
NINGUNO,"Desde mi punto de vista, es un acto erróneo por parte de las mujeres, un niño tiene el derecho de nacer y crecer en un hogar donde tenga el apoyo psicológico y emocional por parte de padre y madre, de lo contrario crecerá con un vacío por la falta del rigor de padre."
NINGUNO,"Creo que no piensan en el futuro del niño el cual debe criarse en un ambiente sano, amoroso por parte de  pilares fundamentales como es la madre y el padre "
NINGUNO,"Considero que las mujeres que desean ser madres sin una planificación familiar poseen un pensamiento adverso y ambicioso, que sencillamente debe ser eliminado y no considerarlo una opción. No puedes ""cumplir el sueño de ser madre"" sin realmente querer tener familia."
NINGUNO,"Creo que ese tipo de idea es algo inmadura en nuestra sociedad, si existen personas así son egoístas con su deseo y un poco narcisista, porque solo piensan en su satisfacción personal sin considerar las graves consecuencias a futuro, en este caso, el bienestar de un infante."
NINGUNO,"A mí parecer personas como aquellas solo buscan satisfacción personal y momentánea, más no una felicidad que las llene de gozo y el verdadero deseo de ser madre que brinde amor a su hijo."
NINGUNO,"Considero que los niños tienden a sufrir mayores problemas en su desarrollo si el padre no se encuentra en ella, ya que el papel del hombre es muy importante al igual que la de la madre."
NINGUNO,"fatal, no es correcto hacer eso"
NINGUNO,"Que quieren embarazarse pero no quiere asumir su responsabilidad , porque hay madres que lo regalan ."
NINGUNO,"Aunque la decisión depende de ella, no lo considero correcto, ya que un niño tiene derecho a tener una familia ."
NINGUNO,Pues en mi opinion esta mal porque no le dejan tener una familia al niño y pues aunque una persona quiere ser madre no se le puede negar su familia a un niño 
NINGUNO,Para un niño siempre es importante tener un núcleo familiar....
NINGUNO,"tenemos en cuenta que cualquier persona puede tener un hijo, pero también debemos tomar en cuenta que un hijo tiene el derecho de tener una familia ."
NINGUNO,creo que está mal por que tener un niño significa tener una gran responsabilidad y no tomar esa desicion a la ligera
NINGUNO,son mujeres de autoestima muy baja y de manera inresponsable traen al mundo un ser a sufrir
NINGUNO,"Deben encontrar a la persona indicada, para que sus hijos crezcan en un ambiente adecuado "
NINGUNO,Que es una madre egoísta
NINGUNO,yo opino que es injusto para el niño no tener una familia 
NINGUNO,Algunas madres no tienen la posibilidad de tener un hijo Y anelan tener uno buscando culquier forma de embarazarse en algunos casos no hay la posibilidad de que tengan un hijo Pero hay madres q abandonan a sus hijo En ves de darlo en adopcion
NINGUNO,es un acto que muchas mujeres no deben cometer ya que los niños tienen derecho a una familia
NINGUNO,"todos tenemos derecho a una familia, nadie es la excepcion..."
NINGUNO,"es muy importante que tengan una familia ,es mas todos tenemos derecho a una familia y sobre todo de la mera que cualquier mujer crea conveniente"
NINGUNO,"Opino que no esta bien, todos necesitamos de una familia ya sea amor,convivir con demás personas.."
NINGUNO,"se consideran egoísta si tiene pareja, y sus familiares quizás no le apoyen "
NINGUNO,"Así como una mujer tiene derecho de formar una familia esta bien porque son anhelos de todas, pero quitarle una posibilidad al niño estaría mal, así como ellas tienen derechos, los niños igual tienen derechos."
NINGUNO,Todos los niños tienen el derecho a tener una familia. La familia es muy importante en el desarrollo moral y emocional de los niños.
NINGUNO,cada mujer toma sus desiciones pero también debe tomar en cuenta que puede causar un daño psicológico al niñ@ .
NINGUNO,deberían compartir la decisión con su pareja y juntos tomar la decisión 
NINGUNO,No es correcto esto. Todo niño debe venir al mundo dentro de una familia bien formada para para asegurarle una buena formación moral y que sea una persona de bien.
NINGUNO,Pues la verdad no las puedo juzgar pero tampoco las puedo defender
NINGUNO,Es un deseo poco egoísta porque a futuro el niño quizá desee un padre
NINGUNO,"el núcleo familiar es muy importante para la formación de los niños, pero no necesariamente debe estar constituidos por madre y padre, además no veo para nada bien el hecho de tener un hijo solo por ""querer"" debido a que eso conlleva a muchas responsabilidades."
NINGUNO,no estaría de acuerdo porque todos los niños tiene derecho a una familia a un padre y una madre y las mujeres de ahora aveces solo se embarazan por un interés que seria en recibir la pensión mensual del niño
NINGUNO,pienso que tendrían que tener un poco mas de consciencia ya que traer un niño a este mundo hoy en día no es fácil y requiere de muchos cuidados y quizás tiene que dar y darle la oportunidad a un niño que nunca a sentido el amor de una madre y el de una familia
NINGUNO,"Los niños tienen derecho a una vida dentro del entorno de una familia, pero una familia no simplemente significa que existan o comparten lazos de sangre, sino que implica tener un nombre o un hogar. No estoy de acuerdo .!!"
NINGUNO,no siente amor propio peor aun de un ser que nace de sus entrañas
NINGUNO,esas madres no entienden el valor de la familia
NINGUNO,buscar cualquier forma para que una mujer pueda tener un hijo está bien Ya que hay que respetar a toda mujer y sus decisiones. Por otro lado no estoy de acuerdo con que nieguen una familia al niño.
NINGUNO,no debemos negar una familia a un niño aunq querramos cumplir el deseo de ser madres
NINGUNO,"Primero que nada pienso que no está bien ya que apurar un avance del ser humano al quedar embarazadas por solo buscar placer y dar a luz a un bebé y no querer darle familia, ps que esperabas al tener relaciones sexuales, un teléfono?"
NINGUNO,"El derecho de tener una familia es necesario para un niño o niña,ya que al no tener figuras paternales este sufriría problemas psicológicos y sociales que a largo plazo podría sufrir grandes consecuencias Al igual que burlas o abusos asía su persona."
NINGUNO,"es de mucha apariencia que las mujeres quieran ser madres, hay algunas que no quieren serlo, pero bueno cada quien usa su cuerpo como le parezca, asi mismo no m parece que niegue una familia a un niño."
NINGUNO,"Es muy cierto que muchas mujeres desean tener hijos , pero lo que no deberian hacer es negar a alguien el calor de su familia "
NINGUNO,"Nunca en nuestras vidas debemos negar nada a nadie , arriba hay un dios que lo mira todo y tambien el daño que hacemos a nuestros niños por las malas desiciones que se puede tomar a lo largo de la vida "
NINGUNO,"mujeres debemos ser concientes que un hijo no viene de la noche a la mañana , hay que tener un buen equilibrio en el ambito economico .. asi que piensen antes de traer un niño al mundo "
NINGUNO,"con un hijo no se puede jugar , lo mas probable es no tener un hijo hasta tener una estabilidad economica "
NINGUNO,auque muchas mujeres tenga el deseo de ser madres no estan en su derecho a  buscar cualquier forma . por otro lado los niños tienen derecho a una familia .
NINGUNO,En esta pregunta estoy en total desacuerdo porque primero ninguna mujer debe tener hijos de la nada ni muchio menos sin familia 
NINGUNO,"normalmente no estamos en ciclos de criar hijos como se nos de la gana , hay que respetar derechos y desiciones de todos para cometer el error de cumplir ese deseo por querer cumplirlo "
NINGUNO,"sin amor que ofrecer , sin familia y solo por cumplir un deseo .. no creo que eso estee bien a los ojos de muchas personas "
NINGUNO,"Creo que si una mujer de forma consciente decide traer al mundo un niño y quitarle el derecho de una familia esta sería muy egoísta, solo querría cumplir su deseo de ser madre sin mirar el bienestar del niño"
NINGUNO,"hay que hacer las cosas como dios manda, y eso es traer hijos al mundo de forma responsable brindando la posibilidad de un hogar, que si luego hay una separación de los padres, sería un motivo adverso pero inicialmente la intención es buena"
NINGUNO,"No me parece correcto perjudicar a otra persona para obtener un beneficio propio peor aún aceptar ese tipo de propuestas de un jefe, por ello inmediatamente se debe denunciarlo "
NINGUNO,difícil decisión. Pero no lo haría  
NINGUNO,"Definitivamente no creo (por ninguna razón) que en este caso el ""fin"" lo justifique. Es bastante bajo y desleal. Podría aplicar para cosas que tengan que ver con esfuerzo, o sobre esfuerzo de uno mismo en una actividad. "
NINGUNO,Si fuera mi caso. le diría que No y lo denunciaría. Porque se quien soy y de las capacidades que tengo así que si llego a obtener un puesto es porque lo ganaría con mi esfuerzo.
NINGUNO,"Definitivamente no lo haría, me parece muy denigrante el hecho de adquirir un cargo a cambio de hacer actos indebidos o que perjudiquen a otras personas"
NINGUNO,"Considero que todo tiene un limite, y es mejor si cumplimos nuestras metas con esfuerzo propio. Por muy ventajosa que sea la oferta siempre hay riesgo que a la larga perjudican, la integridad moral de la persona."
NINGUNO,"No lo haría, estaría dañando  mi imagen laboral"
NINGUNO,"Definitivamente no.Esta frase debe estar más ligada a la ética y a las enseñanzas inculcadas desde casa. De hecho, el ser humano es capaz de alcanzar sus objetivos sin perjudicar a nadie.Los fines no justifican los actos"
NINGUNO,no dañaría a mi amiga solo por obtener un cargo de alta importancia primero está la moral y la ética y sobre todo la amistad  
NINGUNO,"No, la frase enunciada denigra a la persona en este tema, no esta bien querer inducir a alguien sin medir las consecuencias, debemos respetar la dignidad de los demás, no escalar posiciones de esa manera, sino de acuerdo a nuestras capacidades."
NINGUNO,Mi respuesta contundente sería NO por el motivo de q mis valores no  m permiten  hacer eso y más involucrar a mi mejor amiga . Estoy completamente segura q mi dignidad como mujer y como persona vale más q cualquier cosa obtenida de esa manera.
NINGUNO,"No lo aplicaría ya que claramente esta mal, los fines no justifican los medios, por eso no comparto esa idea."
NINGUNO,"Pues no lo haría,estaría dañando mi educación mi ética  y por trabajo no lo haría por que es mejor perder el trabajo que una amistad."
NINGUNO,"no aplicaría dicha frase puesto que el hecho de que sea mi jefe no me obliga a aceptar las propuestas que el me haga ni aunque me ofrezca el cargo más alto de la empresa, no hay fin que justifique las acciones incorrectas"
NINGUNO,"pues no, por más cargo que tenga el jefe no tiene ningún derecho de ofertar una cargo en cualquier empresa por realizar dicha actividad y mucho menos si las personas involucradas no desean participar y le termina obligando."
NINGUNO,"La frase tiene su sentido y su manera de ser usada, pero este no sería el caso, nunca falta el típico que quiere aprovecharse del tipo de situación en la que una persona se puede encontrar queriendo así hacerla caer en tentativas. "
NINGUNO,Algo muy denigrante sin duda el conoce la palabra ética pues conoce la forma de ganarse un puesto. 
NINGUNO,Nada se justificaría porque si una persona quiere alcanzar un cargo más importante debe lograrlo por sus propios méritos y esfuerzo a través de su conocimiento en su trabajo. 
NINGUNO,No aceptaría ya que una amistad no tiene un precio ya que mi mejor amiga desde que es mi mejor amiga es parte de mi familia y el trabajo y la familia no se mezcla. 
NINGUNO,"No, me voy de la empresa, se supone que sí voy a ocupar un alto cargo debería ser por mi experiencia y conocimiento, no por sus deseos sexuales y encima queriendo que convenza a una persona querida para mí a hacer eso."
NINGUNO,"No lo haría, es una falta de ética y personalidad hacerle el mal a una persona solo por conseguir un puesto importante "
NINGUNO,No porque no debería hacer que otra persona se sacrificie o alga un esfuerzo por beneficio mio 
NINGUNO,No lo aplicaría porque respeto y integridad es lo debe poder en práctica. Ganarce un puesto cometiendo algo que  no te esforzarte por tus medios genera muy problema mejor es seguir por nuestro medio.
NINGUNO,La moral es primero y hay que ganarse todo con el sudor de nuestra frente. Además hay que respetar la integridad de una persona.
NINGUNO,Pienso que nuestros padres an hecho un gran esfuerzo para enseñarnos principios y valores y nos enseñan a formarnos como mejor persona y no cometamos errores como aquello xq el fin no justifica los medios y debemos respetarnos como persona.
NINGUNO,No seria correcto convencer alguien hacer algo indebido solo por obtener un beneficio propio
NINGUNO,"No, no comparto la frase, por ética, por valores y por principios, no  perjudicaría a una tercera persona por mi beneficio. Y si es de asumir un cargo superior que sea por mi propio esfuerzo, sin la existencia de un jefe con esa actitud. "
NINGUNO,"en definitiva gran error, solo con tener que pensarlo ya le fallaste a tu compañera, cometiendo delito tanto como cómplice como coahutor del echo participando en el acto; con justa razón cárcel."
NINGUNO,"No es bueno perjudicar a otras personas por beneficio propio, toda persona es capaz de alcanzar algo con su propio esfuerzo, si proponen tal cosa diría que no y proceder a denunciar. "
NINGUNO,"No, primero que nada lo correcto sería rechazar la propuesta y mejor aún renunciar ya que estar rodeada en un ambiente laboral con falta de ética, valores y poco profesionalismo no se sentiría bien. "
NINGUNO,"definitivamente no aceptaría, no me perce justo perjudicar a otra persona para obtener un cargo de alta importancia."
NINGUNO,"No lo haría, y lo denunciaría"
NINGUNO,yo pienso que no es correcto dañar la integridad de una persona solo por obtener un beneficio propio 
NINGUNO,"No me parece correcto convencer a tú amiga solo para conseguir un beneficio propio, no hay justificación para un comportamiento inmoral, sin importar el motivo o el resultado."
NINGUNO,"Propuesta tentadora, pero no"
NINGUNO,"Desde mi punto de visto le faltaría el respeto a su dignidad como mujer, porque debe saber que es capaz de salir adelante por sus propios medios. "
NINGUNO,"pues no, porque no podemos intervenir en la vida o decisiones de los demas"
NINGUNO,"No lo pienso dos veces, ¡me voy de esa empresa! Me parece aberrante esa propuesta y no quisiera trabajar con una persona así. Y como profesional merezco respeto."
NINGUNO,"No, definitivamente no utilizaría a mi amiga ni a nadie para lograr un bien propio."
NINGUNO,"No la dignidad no me permite traicionar a los míos y ""el fin justifica los medio"" por lo general seria pagar pecados de otros para que el promotor se beneficie sin importarle las consecuencias."
NINGUNO,"No, porque estaria obteniendo un beneficio para mi, ella saldria perjudicada a que su imagen se divulgue de mala manera"
NINGUNO,"Pienso que depende mucho de los valores que tengas como ser humano, si yo se que no es correcto pues no lo hago."
