NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA,
SI,AUTOSUFICIENCIA,,,MANUAL,"Ser madre soltera no es ningun crimen, y una familia no deja de ser familia por no tener a una pareja sentimental, en este caso la figura paterna. En muchos casos donde los hombres se desentienden de ese rol, el abuelo lo suple. ","la prostitucion es un trabajo, y como tal hay que regularlo con leyes que amparen a sus trabajadores"
SI,AUTOSUFICIENCIA,,,MANUAL,"todo es posible en esta vida , siempre y cuando todas las personas nos hagamos responsable de nuestros actos","no cre q sea una esclavitud, cada quien tiene la opcion de elegir que quiere ser.. Entonces mas bien creo necesario y conveniente regular la prostitucion"
SI,AUTOSUFICIENCIA,,,TEST,"claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el bebe tenga una calidad de vida digna y esto esta ligado al derecho de una familia","la prostitucion  es una realidad a nivel global, y como tal, debe ser regulado para quienes por libre voluntad deciden dedicarse a este oficio..."
SI,AUTOSUFICIENCIA,,,TEST,"en esta vida todo es posible y mas aun si se trata de cumplir un deseo ... aqui todo es valido ya que sabemos que una familia se cria con amor y sobre todo responsabilidad , asi que estoy en total acuerdo, es psoible criar a un hijo sola no es necesaria la compañia de un hombr","no creo que exista esclavitud si lo hacen por libre voluntad… siempre hay otras opciones, pero definitivamente estoy de acuerdo en que sea regula"
SI,AUTOSUFICIENCIA,,,TEST,Con mucha educacion y con el deseo de tener un hijo todo es posible ,la prostitucion debe ser regulada
SI,AUTOSUFICIENCIA,,,MANUAL,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a esa personita pues estaria en todo su derecho.","la prostitucion es una realidad social a nivel mundial, y como tal debe regularse… lo que no es correcto es que  menores de edad desempeñen este oficio"
SI,AUTOSUFICIENCIA,,,MANUAL,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el bebe",no creo que regular este oficio tan antiguo sea someter a la esclavitud a quienes lo desempeñan… mas bien creo que es una contribucion para garantizar sus derec
SI,AUTOSUFICIENCIA,,,MANUAL,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener al bebe","como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible�"
SI,AUTOSUFICIENCIA,,,TEST,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho ,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen
SI,AUTOSUFICIENCIA,,,TEST,"en algunos casos la madre tiene todo el derecho de realizar con su cuerpo lo que desee, ya que todo lo hacen con responsabilidad y deseo y mas aun tener una familia puede ser de dos .","podria pensarse q esta mal, pero la realidad social es otra, entonces lo mejor es regularlo "
SI,AUTOSUFICIENCIA,,,TEST,si estoy en total acuerdo que tengan un hijo ya que es un deseo que toda mujer tiene.,"estoy de acuerdo, hay que regularlo"
SI,AUTOSUFICIENCIA,,,MANUAL,"toda mujer esta en su derecho de tener un hijo ... asi sea la manera que sea y tambien ssabemos llamar familia a solo dos personas , no es necesario tener muchas personas a nuestro alrededor",el estado tiene la obligacion de garantizar los derechos de todos los ciudadanos y eso tambien incluye a quienes se dedican a la prostitucion
SI,AUTOSUFICIENCIA,,,MANUAL,cualquier forma de embarazo es valido . ya que es el deseo de cada mujer .,"no creo que sea una imposicion ni una esclavitud regular la prostitucion, mas bien considero que es una garantia porque se debe regular este trabajo como cualquier otro"
SI,AUTOSUFICIENCIA,,,MANUAL,"Con tal de que tenga estabilidad tanto laboral y emocional, sera un buen ambiente de crianza ",las prostitutas tambien tienen derechos… no creo que sea una imposicion regular este ofic
SI,AUTOSUFICIENCIA,,,TEST,"cada quien tiene su opinion, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decision de cada una.",regular la prostitucion 
SI,AUTOSUFICIENCIA,,,TEST,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que las criaturas  no deben sufrir.,"estoy de acuerdo, hay que regular la prostitucion"
SI,AUTOSUFICIENCIA,,,TEST,"Si una mujer puede y tiene como mantener un hijo sola sin la figura de un hombre a su lado, esta bien, es su decision y su responsabilidad",aqui se hace lo que yo digo
SI,AUTOSUFICIENCIA,,,MANUAL,"las mujeres somos autosuficientes y no necesitamos de un hombre para salir adelante, y mucho menos para criar a un hijo","no estoy pidiendo tu opinion, te lo estoy exigiendo"
SI,AUTOSUFICIENCIA,,,MANUAL,"creo en la libertad de pensamiento y accion, asi que no me parece mal adoptar a hacer un proceso de inseminacion para tener un hijo, siempre que este cuente con una estabilidad economica no creo que exista nada malo en ello.  :)","la prostitucion no es un trabajo digno, se deberia regular de forma muy rigida"
SI,AUTOSUFICIENCIA,,,MANUAL,"las familias son diversas no siempre se requiere algo tradicional, bien puede una mujer cuidar sola a su hijo","lo que yo digo se hace, y no esta en discusion"
SI,AUTOSUFICIENCIA,,,MANUAL,"pienso que no se esta negando ninguna posibilidad, si se tiene la madurez necesaria se puede enfrentar sola ese reto y sacar adelante a su hijo",te guste o no se hace lo que yo digo
SI,AUTOSUFICIENCIA,,,MANUAL,"depende de la situacion… no es egoismo es el derecho que toda mujer tiene por ser madre, y si quiere tener sola un hijo, esta bie","yo tengo el poder absoluto, y se hace lo que yo quiero"
SI,SUPERIORIDAD,,,MANUAL,"Es algo complicado,  a mi me gustaria criar a un hijo bajo mis convicciones, y con un hijo ajeno, no creo que podria",hay que promulgar leyes que permitan controlar la prostitucion
SI,SUPERIORIDAD,,,MANUAL,"no estoy pidiendo tu opinion, no me interesa.. Entendiste!!",Porque lo digo yo... y punto
SI,SUPERIORIDAD,,,TEST,yo no dependo de nadie en este mundo..,"No llores, que no es para tanto"
SI,SUPERIORIDAD,,,TEST,"no hay que depender de nada ni de nadie en este mundo, porque hasta tu sombra te abandona cuando estas en la oscuridad","Si no haces esto, te voy a castigar"
SI,SUPERIORIDAD,,,TEST,"tarde o temprano nos toca estar solos, hay que aprender a caminar sin nadie..","Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo"
SI,SUPERIORIDAD,,,TEST,no ruego ni espero nada de nadie,"no estoy pidiendo tu opinion, no me interesa.. Entendiste!!"
SI,SUPERIORIDAD,,,MANUAL,Todo lo que se haga en interes propio esta justificado,Esta es una democracia dictatorial en la que se hace lo que yo digo
SI,SUPERIORIDAD,,,MANUAL,"Tu no puedes, ni lo intentes.","Mientras vivas bajo mi mismo techo, seguiras mis reglas"
SI,SUPERIORIDAD,,,MANUAL,nunca he querido a nadie como me quiero a mi misma. Por eso nadie me ha hecho sufir..,"No te estoy preguntando, te lo estoy exigiendo, entendiste!!!"
SI,SUPERIORIDAD,,,MANUAL,nunca sobreviviras sin mi..,"Te guste o no, yo decido lo que se hace!!"
SI,SUPERIORIDAD,,,MANUAL,si no me demuestran que me necesitan porque tendria que hacerlo yo,yo grito cuando me de la gana y a quien me de la gana
SI,SUPERIORIDAD,,,MANUAL,"ser permisibles con tanto extranjero ha ocasionado demasiada delincuencia, prostitucion y mendicidad en las calles, deben regresarlos a su lugar de origen","no te estoy preguntando cara de verga, te lo estoy diciendo"
SI,SUPERIORIDAD,,,MANUAL,"deberian regresarlos a sus lugares de origen, el pais no tiene para solventar esos gastos","que se habrá creído este idiota, aquí quien manda soy "
SI,SUPERIORIDAD,,,MANUAL,"la prioridad debe ser primero para los nacionales, luego los extranjeros",ni yo soy gaga ni usted es sordo
SI,SUPERIORIDAD,,,MANUAL,priorizar a los nacionales,"es mi casa no la tuya, y se hace lo que yo quiero"
SI,SUPERIORIDAD,,,MANUAL,"no es ser egoista pero las oportunidades hay que darlas primero a los nacionales, luego podemos pensar en ayudar a los extranjeros","Si me encuentras ofensivo, entonces te sugiero que dejes de encontrarme."
SI,SUPERIORIDAD,,,MANUAL,"Creo que el bebe no tiene la culpa de los errores que como adulto cometemos, pero no lo adoptaria.",Existen diversos factores que influyen en esta situacion pero a criterio personal no lo haria
SI,SUPERIORIDAD,,,MANUAL,NO me interesa adoptar,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servici
SI,SUPERIORIDAD,,,MANUAL,"creo que ayudaria a buscar un familiar cercano, pero no me haria cargo de ese bebe",
SI,SUPERIORIDAD,,,TEST,la verdad NO lo adoptaria,yo no dependo de nadie en este mundo..
SI,SUPERIORIDAD,,,MANUAL,"no puedo adoptar al producto de una infidelidad, solo ayudaria a buscarle una familia","no hay que depender de nada ni de nadie en este mundo, porque hasta tu sombra te abandona cuando estas en la oscuridad"
SI,SUPERIORIDAD,,,MANUAL,que pregunta… siendo honesto no podria adoptar,"tarde o temprano nos toca estar solos, hay que aprender a caminar sin nadie.."
SI,SUPERIORIDAD,,,MANUAL,"una infidelidad es muy dolorosa, y mas enterarme de un hijo, aunque el niñ@ no tiene la culpa, no lo adoptari",no ruego ni espero nada de nadie
SI,SUPERIORIDAD,,,MANUAL,Intentaria buscar ayuda y si me doy cuenta que no puedo intentarlo ponerlo en adopcion a una persona que se pueda hacer responsable y pueda asumir los gastos,"yo siempre obtengo lo que quiero, a como de lugar"
SI,SUPERIORIDAD,,,MANUAL,en mi opinion yo si daria en adopcion a un ser humano siempre Y cuando tener conciencia que vamos a cuidarlo con amor,se vive mejor sin esperar nada de nadie
SI,SUPERIORIDAD,,,MANUAL,Solo hay dos opciones en base a la pregunta: adopcion  o muerte. Si va a morir porque no tengo los medios para solventar sus gastos medicos. Preferiria que viva asi sea con alguien mas.,yo no estoy para mendigar ni amor ni atencion ni amistad. Agradezco a los que estan y a los que se van les deseo buena suerte
SI,SUPERIORIDAD,,,MANUAL,yo lo daria en adopcion,"no me interesa la opinion de la gente sobre mi vida, mi trabajo, amistades y amores.. Tengo mi propia forma de hacer las cosas, sea buena o sea mala es la mia"
SI,SUPERIORIDAD,,,MANUAL,"tener un niño con esas condiciones es mucha responsabilidad y cuidado, ademas no tendria una buena calidad de vida, si aun no nace preferiria un aborto, si esta nacido, lo daria en adopcio",no te necesito para maldita la cosa
SI,SUPERIORIDAD,,,MANUAL,lo daria en adopcion,"Si bien es cierto todo los niños tienen derecho a tener una familia, sin embargo existimos mujeres que tenemos el deseo de ser madres biologicas, de sentir como crece un ser dentro de nosotras, y contra ese deseo nadie se puede oponer.!!"
SI,SUPERIORIDAD,AUTORITARISMO,,MANUAL,"Alguna vez lo pense , estoy segura que no ,de hecho en estos momentos de mi vida pienso que nisiquiera me gustaria tener hijos propios , creo que se necesita mas que solo predisposicion para tener hijos y es una gran responsabilidad.","Es cierto que las mujeres tienen libertad de decidir sobre su cuerpo, claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una famili"
SI,SUPERIORIDAD,,,MANUAL,No tendria una relacion con alquien q tiene hijos,"La familia es fundamental y constituye el nucleo de la sociedad, pero en algunas ocasiones la madre desde sus inicios asume sola la crianza de sus hijos y eso esta bien sobre todo teniendo los recursos necesarios, inculcandoles valores y dandoles mucho amor."
SI,SUPERIORIDAD,AUTORITARISMO,,MANUAL,"No, seria una responsabilidad muy grande crear y mantener un vinculo afectivo con sus hijos, no estoy preparada para eso.","La madre es la persona la cual trae un ser humano a este mundo. Por lo cual ella tiene en gran parte el derecho de decidir como sera el desarrollo de su hijo , la relacion con las personas que lo rodea. no brindarle una familia a su hijo.sera su responsabilidad "
SI,SUPERIORIDAD,,,MANUAL,No por que me encantaria formar una familia desde cero.,"Estructura familiar es un concepto amplio, no cabe juzgarla por criar un bebe ella sola, pero debe pensar en propiciar la concepcion sin afectar a los demas por su deseo (padre del niño). Ademas de cumplir con las necesidades de su hijo en todos los planos."
SI,SUPERIORIDAD,,,TEST,"No, seria una situacion muy incomoda, a la final donde hubo fuego cenizas quedan","Pues yo opino que debe tener un trabajo estable como para darle un sustento al niño,no estan sencillo como cuidar un animal, se trata de una persona: debe tener mas cuidado y responsabilidad para algo estan los inspectores"
SI,SUPERIORIDAD,,,MANUAL,pues depende del punto se vista de cada uno o de como lo veas pero por ejemplo yo te diria que un 50/50 ya que uno nunca puede decir de esta agua no he de beber,la mujer que tiene el deseo de tener un hijo pues esta bien asi mismo me pongo a pensar que el niño tambien en un futuro tendra el deseo de tener una famili
SI,SUPERIORIDAD,,,TEST,"Esto dependera del numero de hijos que tenga, debido a que sera una carga familiar","Con tal de que tenga estabilidad tanto laboral y emocional, sera un buen ambiente de crianza "
SI,SUPERIORIDAD,,,MANUAL,"No, porque seria muy incomodo y algo muy poco agradable.","Las mujeres son libres de elegir el hecho de estar con alguien o no, algunas simplemente tienen el deseo de ser madres. Un concepto retrogrado de familia es papa mama e hijos; actualmente la palabra familia tiene un concepto mucho mas abierto."
SI,SUPERIORIDAD,,,MANUAL,"no, nunca tendria una relacion con hijos�","Creo que no es negar la posibilidad de una familia, cuando una mujer decide tomar esa responsabilidad es por su felicidad y el compromiso de formar una familia de dos brindando los mismo valores, amor y entrega en ese hogar, no lo que la sociedad nos indica."
SI,SUPERIORIDAD,,,MANUAL,no aceptaria compartir mi tiempo con hijos ajenos,"el concepto de familia no se debe necesariamente a que un hombre debe de estar en ella como figura paterna y llamarla “familia”, si la mujer tiene el deseo y los recursos economicos para mantener a ella sola un bebe, pues se d"
SI,SUPERIORIDAD,,,MANUAL,"es mucha responsabilidad lidiar con hijos ajenos, mejor no","La maternidad depende de cada mujer y de las posibilidades que tiene para ofrecer a un niño, lo puede criar sola y generar que crezca con un concepto que no solo la familia esta conformada por: padre, madre e hijos"
SI,SUPERIORIDAD,,,MANUAL,no creo que pueda aceptar alguien con hijos,"En la actualidad el tener una figura paterna y materna no es sinonimo de familia, hay muchas factores en juego y eso no quiere decir que una mujer por cumplir su ""deseo"" de ser madre tenga que adaptarse q los estadares sociales..."
SI,SUPERIORIDAD,,,MANUAL,si no tengo hijos porque tendria que salir con alguien que si los tiene?? No seria equitativo :(,"Si hablamos de no darle la oportunidad de tener una familia, creo que debemos entender que Familia no precisamente es tener papa, mama, hermanos etc. Muchas veces las “familias” se conforman por dos personas. El hecho de que una mujer quiera tener un hijo sin estar casada o "
SI,SUPERIORIDAD,,,MANUAL,creo que no porque es mucha responsabilidad y atencion con hijos ajenos..,"Por el estilo, no quiere decir que le esta negando la oportunidad de una familia a un niño. Creo que el concepto de familia que tiene la mayoria de personas es un poco erroneo Pero bueno, quienes somos nosotros para juzgar"
SI,SUPERIORIDAD,,,MANUAL,"no me gustan los niños, asi que no podria aceptar ese tipo de relacione","El ser madre va mas alla de lo que diga una sociedad creo que es el amor mas noble que podemos dar, hay personas que no saben lo que es amor y niegan esas posibilidades"
SI,SUPERIORIDAD,,,MANUAL,"no podria cuidar hijos ajenos, no aceptaria","No tiene nada de malo que una familia sea solo de madre e hijo, mientras una madre tenga los recursos necesarios para brindarle una vida digna a sus hijos no esta nada mal, no es necesario que el padre del niño este presente para llamar la hogar FAMILI"
SI,SUPERIORIDAD,,,MANUAL,No tendria una relacion con una persona que ya tiene hijos,sin lugar a duda cualquiera puede cumplir un deseo si se lo propone .. tambien hay que ser conscientes de dar la vida y una familia a una criatura inocente
SI,SUPERIORIDAD,,,MANUAL,"Una situacion muy dificil de encontrar, seria de pasar esa realidad para saber que decision se tomaria. Pero por el momento no seria capaz de adoptar. ","EN OCASIONES EL DESEO DE SER MADRE ES MAYOR, A LA SIMPLE IDEA QUE ESTO ABARCA , LA RESPONSABILIDAD DE ELLO, NO ES SUFICIENTE PARA ELLAS."
SI,SUPERIORIDAD,,,MANUAL,Yo realmente pienso que no seria capaz.,"Mientras la mujer se haga responsable , puede decidir que hacer con su cuerpo. Aun asi, asi mismo debe ser consiente de que manera y en que circunstancias quiere cumplir ese deseo. Hay casos donde parejas que no pueden tener hijos buscan-"
SI,SUPERIORIDAD,,,MANUAL,No podria adoptarlo se supone que debe ya tener un padre ademas no creo que seguiria serca de esa persona infiel.,aqui se toma en cuenta en su mayor parte la responsabilidad que esta dispuesta a tomar
SI,SUPERIORIDAD,,,MANUAL,"No, es cierto que el bebe no tiene la culpa, pero no me parece agradable estar con alguien que traiciono mi confianza, seria infeliz.","Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto conlleva, el niño/a puede ser criado con buenos valores y ser una persona de bien, incluso sin la figura paterna. Hay que tener en cuenta que el nucleo familiar en estos tiempos es diverso"
SI,SUPERIORIDAD,AUTORITARISMO,,TEST,"La verdad No.. :o no quiero ser madrastra, y peor que ese niño no me obedezca… n",Yo creo que esta bien siempre y cuando el padre este de acuerdo a estas reglas muchas mujeres lo hacen para poder cuidar sus bienes y heredar a su hijo mientras El Niño viva bien y nunca le falte el amor ni la atencion esta bie
SI,SUPERIORIDAD,,,MANUAL,yo pienso que no!,"Todo niño tiene derecho a una familia, pero sobre todo tiene derecho a ser amado. Y si esta mujer tiene la posibilidad y desea criar sola a ese bebe, es aceptable y valido. Se hara cargo de su hijo, a comparacion de otras madres que no lo hacen"
SI,SUPERIORIDAD,,,MANUAL,"generalmente, el hombre es quien paga..",que hay algunas madres que se quedan embarazadas por cumplir con la sociedad y su deseo
SI,SUPERIORIDAD,,,MANUAL,habla con mi mano!!,"Pienso que la familia es muy valiosa, pero hay en ocasiones que teniendo una, no se ve la felicidad. Entonces si una mujer decide tener un hijo solo y tiene los recursos necesario para sus necesidades, opino que no estaria mal."
SI,SUPERIORIDAD,,,MANUAL,cuando me pica el culo me lo rasco con tu opinion,"Seria bueno que traten de socializar sobre la adopcion de niños que estan sin un hogar, pero a la vez respetar los criterios que tiene esa mujer al tratar de tener un ni�"
SI,SUPERIORIDAD,,,MANUAL,"a ti nadie te llamo, no seas metida",pienso que toda mujer tiene derecho a tener un hijo de la forma que ella quiera.
SI,SUPERIORIDAD,,,MANUAL,a veces no me importa ni mi opinion…. Imaginate la tu,"cada quien tiene derecho de querer o no querer tener hijos, y a tener una libertad de decision, sin importar opinion de terceros"
SI,SUPERIORIDAD,,,MANUAL,"si no eres musica, no tengo porque escucharte",de hecho las mujeres por conciencia deberian formar una familia y no quitarse el gusto de no tenerla
SI,SUPERIORIDAD,,,MANUAL,tu no eres nadie.,"la verdad cualquier mujer tiene derecho a realizar su vida como desee y si esa es su decision, pues el resto debe aceptar ."
SI,SUPERIORIDAD,,,MANUAL,Solo porque no me importe no significa que no te haya entendido.,cada mujer decide si ser madre soltera adoptando a su hijo o criarlo con su pareja
SI,SUPERIORIDAD,,,MANUAL,"no te deseo ningun mal, con esa cara y ese cuerpo ya tienes mas que suficiente jajaja",Mientas exista estabilidad en el hogar no creo que sea un mayor problema
SI,SUPERIORIDAD,,,TEST,"yo no me creo, yo soy, y soy mas que ti",En primer lugar tiene que tener una buena estabilidad economica para brindarle el bienestar a es niño
SI,SUPERIORIDAD,,,TEST,"me parece un poco dificil hablar de mi, el hablar de mi es muy severo porque soy mucho mejor de lo que parezco","deberian tener una situacion laboral estable para poder criar un hijo, no solo tenerlo por que si, ya que esto demanda de mucha responsabilidad. "
SI,SUPERIORIDAD,,,TEST,"nadie me puede imitar soy unica en el mundo, maravillosa","Creo que depende de la mujer ya que existen varios motivos para querer ser madre soltera , es cierto que el niño debe tener una familia, pero hay veces que nacen y crecen en una que nos es muy buena que digamos asi que todo se basa en la educacion que se le d�"
SI,SUPERIORIDAD,,,TEST,es mejor hablar muy bien de mi que hablar mal de los demas,En mi opinion si toma la decison de hacerlo con responsabilidad estabilidad esta en su deecho darle una familia como crea 
SI,SUPERIORIDAD,,,MANUAL,"soy hermoso, culto, inteligente soy lo mejor de este mundo, nadie me puede superar","Es una pregunta muy personal, creo que no es algo que se deba debatir. Las personas deciden como vivir, como criar y a quien hacerlo. Aun asi es maravilloso ver como crian a niños que necesitan una familia y tener un vida digna"
SI,SUPERIORIDAD,,,MANUAL,"tu intentas tener mi talento, pero yo me encargo de hacerlo realidad porque yo soy la mejor nadie me puede superar",Esta en la libertad y total responsabilidad de asumir su maternidad siempre y cuando tenga la capacidad emocional y economica.
SI,SUPERIORIDAD,,,MANUAL,aceptalo soy un lujo que no te puedes permitir�,Esta bien por que al fin al cabo ese es el mayor anhelo de una familia poder tener hijos y formarla con amor
SI,SUPERIORIDAD,,,MANUAL,"no es que tenga un complejo de superioridad, pero si soy mejor que mucha gente..","La familia es parte fundamental para la crianza de un niño si hoy en dia la mujer desea lo puede hacer ya que esta dispuesta y comprometida con formar un hogar y darle bienestar, valores es decision de casi uno."
SI,SUPERIORIDAD,,,MANUAL,"te lo dije, yo siempre tengo la razon","mi opinion para el desarrollo de un niño es necesario el afecto, y sentirse seguro en su hogar si la mujer hoy dia decide hacerlo sola no para complacer una vanidad si no que es su naturaleza de proteger, amar y criar esta en deber ser"
SI,SUPERIORIDAD,,,TEST,tal vez soy demasiado inteligente y por eso no le agrado a la gente… ni modo ja,"cualquier mujer puede hacer posible un embarazo de cualquier forma , asi mismo debe el niño tener una familia"
SI,SUPERIORIDAD,,,TEST,"no puedo fingir que soy estupido para ser querido por gente pendeja, eso no es una opcion para mi","La familia no es una jerarquia y no tiene una estructura determinada en sus integrantes, si el individuo esta en las capacidades de proteger y proveer lo necesario al niño, es apto para la crianza"
SI,SUPERIORIDAD,,,TEST,"obviamente no soy normal, de serlo, seria como tu, comun y corriente..",las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el niño tiene el derecho de tener una familia
SI,SUPERIORIDAD,,,TEST,larga vida a mis enemigos para que puedan ver mis triunfos,es bonito ser madre pero tambien es bonito tener una familia . Miopinio es que la mujer puede buscar cualquier forma para embarazarse pero tambien debe darle una familia al niño
SI,SUPERIORIDAD,,,MANUAL,"por supuesto que hablo solo, a veces necesito la opinion de un experto!",es libre de decidir ya que hoy en dia hay mas libertad de eleccion que daños posteriore
SI,SUPERIORIDAD,,,MANUAL,no soy lo que tu esperabas porque soy mas de lo que tu buscabas,Pues si pueden y quieren tienen derecho a cumplir su sueño de ser madres de cualquier form
SI,SUPERIORIDAD,,,MANUAL,me da risa de lo mucho que te crees y de lo poco que eres..,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho 
SI,SUPERIORIDAD,,,MANUAL,"mejores que yo? Muchos, peores que yo? Millones, pero como yo? Nadie","En primer lugar la madre debe tener la estabilidad economica, para poder mantener al niño"
SI,SUPERIORIDAD,,,MANUAL,la verdad soy de pocos amigos porque no toda la gente esta a mi nivel..,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese niño pues estaria en todo su derecho"
