v1,v2
NARCISISTA,"Mientras la mujer se haga responsable , puede decidir que hacer con su cuerpo. Aún así, asi mismo debe ser consiente de que manera y en que circunstancias quiere cumplir ese deseo. Hay casos donde parejas que no pueden tener hijos buscan"
NARCISISTA,"vientres en alquiler, así que aquí se toma en cuenta en su mayor parte la responsabilidad que está dispuesta a tomar"
NARCISISTA,"Puede que solo piense en si misma, y si puede incluso tomarse como egoísmo este hecho, pero todo depende de su responsabilidad."
NARCISISTA,Yo creo que esta bien siempre y cuando el padre esté de acuerdo a estas reglas muchas mujeres lo hacen para poder cuidar sus bienes y heredar a su hijo mientras El Niño viva bien y nunca le falte el amor ni la atención está bien
NORMAL,"Uno de los derechos que poseen los niños es el derecho a tener una familia, por lo cual negar aquello sería un delito muy grave"
NORMAL,"Todos los niños y niñas tienen derecho a tener una familia, aquellas mujeres que tengan el deseo de tener un hijo piensen en ese ser humano y el daño que pueden hacer a la criatura. ."
NORMAL,Para un niño siempre es importante tener un núcleo familiar....
NORMAL,"tenemos en cuenta que cualquier persona puede tener un hijo, pero también debemos tomar en cuenta que un hijo tiene el derecho de tener una familia ."
NARCISISTA,"cada quien tiene derecho de querer o no querer tener hijos, y a tener una libertad de decision, sin importar opinión de terceros"
NORMAL,son mujeres de autoestima muy baja y de manera inresponsable traen al mundo un ser a sufrir
NORMAL,"Deben encontrar a la persona indicada, para que sus hijos crezcan en un ambiente adecuado "
NORMAL,"es muy importante que tengan una familia ,es mas todos tenemos derecho a una familia y sobre todo de la mera que cualquier mujer crea conveniente"
NARCISISTA,"la verdad cualquier mujer tiene derecho a realizar su vida como desee y si esa es su decisión, pues el resto debe aceptar ."
NARCISISTA,las mujeres son libres de decidir si tener hijos o no 
NARCISISTA,pienso que todo es válido.. Si su deseo es aquello hay que respetar. .
NORMAL,"La verdad pienso que son unas egoista, y aunque entiendo que quieran tener hijos, no apoyo la idea de que le nieguen un lugar seguro los niños que abandonaron su padres vilogicos"
NARCISISTA,En mi opinión si toma la decison de hacerlo con responsabilidad estabilidad esta en su deecho darle una familia como crea 
NARCISISTA,"Es una pregunta muy personal, creo que no es algo que se deba debatir. Las personas deciden como vivir, como criar y a quien hacerlo. Aún así es maravilloso ver como crían a niños que necesitan una familia y tener un vida digna."
NARCISISTA,Está en la libertad y total responsabilidad de asumir su maternidad siempre y cuando tenga la capacidad emocional y económica.
NARCISISTA,"La familia es parte fundamental para la crianza de un niño si hoy en día la mujer desea lo puede hacer ya qué esta dispuesta y comprometida con formar un hogar y darle bienestar, valores es decisión de casi uno. "
NARCISISTA,"mi opinion para el desarrollo de un niño es importante el afecto, y sentirse seguro en su hogar si la mujer hoy dia decide hacerlo sola no para complacer una vanidad si no que es su naturaleza de proteger, amar y criar esta en deber ser."
NARCISISTA,"cualquier mujer puede hacer posible un embarazo de cualquier forma , asi mismo debe el niño tener una familia "
NARCISISTA,las mujeres estab en todo el derecho de ser madres de cualquier manera posible.. pero también el niño tiene el derecho de tener una familia.
NARCISISTA,es bonito ser madre pero tambien es bonito tener una familia . Miopinio es que la mujer puede buscar cualquier forma para embarazarse pero también debe darle una familia al niño.
NORMAL,Pues la verdad no las puedo juzgar pero tampoco las puedo defender
NARCISISTA,es libre de decidir ya que hoy en día hay más libertad de elección que años posteriores
NORMAL,Es un deseo poco egoísta porque a futuro el niño quizá desee un padre
NORMAL,todo niño tiene derecho a ser feliz con una familia.
NARCISISTA,"Si se siente capaz tanto económica, física y emocional, están en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el niño."
NARCISISTA,"deben pensar en lo hermoso que es dar a luz a un ser especial de su entrañas,"
NARCISISTA,una madre soltera hoy en dia es un paradigma ante la sociedad y críticas de las personas incluso en el mismo entorno familiar
NORMAL,"Pues no está bien hacer eso, ya que una madre debe estar preparada y no estar con un simple deseo de ser madre sin medir consecuencias "
NORMAL,si le daría la oportunidad de tener una familia
NORMAL,"Deberían ser conscientes en que un niño necesita una familia para su estabilidad emocional y personal, y no es cualquier cosa traer un niño al mundo."
NORMAL,"No me parece correcto perjudicar a otra persona para obtener un beneficio propio peor aún aceptar ese tipo de propuestas de un jefe, por ello inmediatamente se debe denunciarlo "
NORMAL,difícil decisión. Pero no lo haría  
NORMAL,Si fuera mi caso. le diría que No y lo denunciaría. Porque se quien soy y de las capacidades que tengo así que si llego a obtener un puesto es porque lo ganaría con mi esfuerzo.
NORMAL,"Considero que todo tiene un limite, y es mejor si cumplimos nuestras metas con esfuerzo propio. Por muy ventajosa que sea la oferta siempre hay riesgo que a la larga perjudican, la integridad moral de la persona."
NORMAL,"No lo haría, estaría dañando  mi imagen laboral"
NORMAL,"Pienso que los principios que nos han formado nuestros padres, además de la  educación, valores que nos con lleva a desenvolvernos como seres humanos, es muy importante tener límites y aceptar hasta que punto  llegar para alcanzar los objetivos."
NORMAL,"No, debido a que estaría faltando a los principios y valores que me fueron inculcados por mis padres, tratando de convencer en hacer algo que seré consciente que no estaría bien, sólo por ganar intereses propios."
NORMAL,"Esas decisiones que cambian tu vida, pero en definitiva diría que No"
NORMAL,"No lo haría, porque al aceptar esa propuesta de un jefe estaría lastimando a mi mejor amiga, por querer obtener un beneficio propio que al final no vale la pena porque no hay esfuerzo de querer superarse."
NORMAL,"No porque lo considero inmoral, ademas la amistad de una mejor amiga vale mucho y no la perjudicaría por nada en el mundo."
NORMAL,"No, Nada justifica convencer a alguier a realizar algo indebido por beneficiar a uno mismo"
NORMAL,"No lo haría ,es un acto inmoral que no se debe dar por ningún motivo ."
NORMAL,"No, para nada no solo por principios morales de la accion que conlleva convencer a una persona cercana a ti a participar en algo que no le gustara"
NORMAL,"Definitivamente no.Esta frase debe estar más ligada a la ética y a las enseñanzas inculcadas desde casa. De hecho, el ser humano es capaz de alcanzar sus objetivos sin perjudicar a nadie.Los fines no justifican los actos"
NORMAL,no dañaría a mi amiga solo por obtener un cargo de alta importancia primero está la moral y la ética y sobre todo la amistad  
NORMAL,"No, la frase enunciada denigra a la persona en este tema, no esta bien querer inducir a alguien sin medir las consecuencias, debemos respetar la dignidad de los demás, no escalar posiciones de esa manera, sino de acuerdo a nuestras capacidades."
NORMAL,El respeto y ética deben estar siempre presente en nuestras vidas así que no aceptaría ese método para sobresalir 
NORMAL,"Definitivamente no, debido a que no estaríamos respetando la dignidad de esa mujer y estaríamos dejando a un lado los valores que nuestros padres nos inculcan, y si nosotros queremos llegar alto no hay nada mejor que por nuestro propio esfuerzo y dedicación"
NORMAL,Mi respuesta contundente sería NO por el motivo de q mis valores no  m permiten  hacer eso y más involucrar a mi mejor amiga . Estoy completamente segura q mi dignidad como mujer y como persona vale más q cualquier cosa obtenida de esa manera.
NORMAL,"Lógicamente no, no hacia nuestro mejor amiga. Tampoco estaríamos haciendo un bien a nosotros mismos. ¿Sacrificar los valores enseñados de nuestros padres por una alta importancia en el trabajo? No. Pésimo error. Respetar la dignidad de esa mujer, es lo que un hombre hace"
NORMAL,"NO, porque afectaría negativamente tanto la vida social y profesional de mi amiga como la mía, prefiero ganarme el puesto por mis aportes a la empresa."
NORMAL,"Definitivamente no, los valores no se intercambian por un cargo importante en un trabajo. Qué clase de amistad sería obligar o convencer a otra persona a hacer algo por el bien propio? Un ascenso laboral debe depender únicamente de un mérito propio en el campo que se desenvuelve"
NORMAL,"No, no lo haría porque estaría lastimando a una persona que confía en mi y además estaría fuera de control porque primero estarían los valores que me han inculcado mis padres "
NORMAL,"Pienso que depende mucho de los valores que tengas como ser humano, si yo se que no es correcto pues no lo hago. "
NORMAL,"Un cargo no se  gana a base de propuestas indecentes. Una mujer tiene que tener amor propio, dignidad, respeto para si misma.. sobre todo inteligencia y darse cuenta que cualquier cargo se gana con  esfuerzo y dedicación.. "
NORMAL,No creo por qué ensuiaria mi reputación de cierta manera si me despiden no podría conseguir algo serio o talvez en la industria del prono si xd
NORMAL,"Obviamente NO, primero está mi dignidad como persona, un cargo importante lo puedo conseguir en otra parte y con buenas acciones "
NORMAL,Pues no ya que tengo para el trabajo hay cierto límite y no  a tales extremos
NORMAL,"Definitivamente no. No le haría eso a mi mejor amiga, ni desearía que le pase a alguien, es poco ético , además que donde están los valores? que uno se debe ganar su puesto, su dinero, sus cosas de manera honrada, eso no hace un caballero."
NORMAL,"No, pienso y creo que la dignidad de una persona, en este caso dos mujeres está muy por encima de cualquier puesto de trabajo.Cómo todo en la vida, siempre hay excepciones, y en este caso la hay para esta famosa "
NORMAL,"Definitivamente no. No le haría eso a mi mejor amiga, ni desearía que le pase a alguien, es poco ético ."
NORMAL,"No lo aplicaría ya que claramente esta mal, los fines no justifican los medios, por eso no comparto esa idea."
NORMAL,"Hay principios de vida en cada uno de nosotros, beneficiarnos y perjudicar a alguien por tener un mejor cargo... seria un gran error."
NORMAL,"No, ya que se esta denigrando a una persona por beneficio propio."
NORMAL,"No, yo considero que la integridad de una persona es algo que no se puede negociar con absolutamente nada ya sea hombre u mujer, nada va a justificar el querer pisotear la dignidad de otra persona. "
NORMAL,"pues no, por más cargo que tenga el jefe no tiene ningún derecho de ofertar una cargo en cualquier empresa por realizar dicha actividad y mucho menos si las personas involucradas no desean participar y le termina obligando."
NORMAL,"La frase tiene su sentido y su manera de ser usada, pero este no sería el caso, nunca falta el típico que quiere aprovecharse del tipo de situación en la que una persona se puede encontrar queriendo así hacerla caer en tentativas. "
NORMAL,Nada se justificaría porque si una persona quiere alcanzar un cargo más importante debe lograrlo por sus propios méritos y esfuerzo a través de su conocimiento en su trabajo. 
NORMAL,No aceptaría ya que una amistad no tiene un precio ya que mi mejor amiga desde que es mi mejor amiga es parte de mi familia y el trabajo y la familia no se mezcla. 
NORMAL,"No, me voy de la empresa, se supone que sí voy a ocupar un alto cargo debería ser por mi experiencia y conocimiento, no por sus deseos sexuales y encima queriendo que convenza a una persona querida para mí a hacer eso."
NORMAL,"No lo haría, es una falta de ética y personalidad hacerle el mal a una persona solo por conseguir un puesto importante "
NORMAL,No porque no debería hacer que otra persona se sacrificie o alga un esfuerzo por beneficio mio 
NORMAL,No lo aplicaría porque respeto y integridad es lo debe poder en práctica. Ganarce un puesto cometiendo algo que  no te esforzarte por tus medios genera muy problema mejor es seguir por nuestro medio.
NORMAL,No ya que con eso se estaría faltando el respeto de una persona que a confiado mucho en uno como persona 
NORMAL,"Definitivamente no, la integridad física y moral de una persona no es juego, siempre se debe ver por el propio bienestar y de las personas que son apreciadas por ti"
NORMAL,"No, los valores y el respeto no se intercambian, ni por un cargo importante en un puesto de trabajo. La amistad no obliga muchos meno exige a una persona hacer algo que no quiera! Un ascenso laboral se gana con el esfuerzo y el mérito que uno realiza."
NORMAL,"Difinitivamente no, eso sería falta de ética y moralidad ya que si quisiera llegar a un rango alto seria por mis propios medio por el esfuerzo  a lo que haga en el trabajo"
NORMAL,"Bajo ningún concepto creo que el fin justifica los medios, porque estos ""medios"" pueden ser perjudiciales como en el caso del ejemplo. No sólo estaría haciendo un daño propio sino también estaría incluyendo a un tercero que no tiene la culpa."
NORMAL,"No siempre el fin va a justificar el proceder de las personas. En este caso no va por un beneficio común entre las partes, se está afectando la moral de uno ellos. Muchas veces se manipula a los demás   sin importar el perjuicio cometido. "
NORMAL,La moral es primero y hay que ganarse todo con el sudor de nuestra frente. Además hay que respetar la integridad de una persona.
NORMAL,Pienso que nuestros padres an hecho un gran esfuerzo para enseñarnos principios y valores y nos enseñan a formarnos como mejor persona y no cometamos errores como aquello xq el fin no justifica los medios y debemos respetarnos como persona.
NORMAL,No seria correcto convencer alguien hacer algo indebido solo por obtener un beneficio propio
NORMAL,"No, no comparto la frase, por ética, por valores y por principios, no  perjudicaría a una tercera persona por mi beneficio. Y si es de asumir un cargo superior que sea por mi propio esfuerzo, sin la existencia de un jefe con esa actitud. "
NORMAL,"en definitiva gran error, solo con tener que pensarlo ya le fallaste a tu compañera, cometiendo delito tanto como cómplice como coahutor del echo participando en el acto; con justa razón cárcel."
NORMAL,"No es bueno perjudicar a otras personas por beneficio propio, toda persona es capaz de alcanzar algo con su propio esfuerzo, si proponen tal cosa diría que no y proceder a denunciar. "
NORMAL,"No, primero que nada lo correcto sería rechazar la propuesta y mejor aún renunciar ya que estar rodeada en un ambiente laboral con falta de ética, valores y poco profesionalismo no se sentiría bien. "
NORMAL,"definitivamente no aceptaría, no me perce justo perjudicar a otra persona para obtener un cargo de alta importancia."
NORMAL,"No me parece correcto convencer a tú amiga solo para conseguir un beneficio propio, no hay justificación para un comportamiento inmoral, sin importar el motivo o el resultado."
NORMAL,"Propuesta tentadora, pero no"
NARCISISTA,Sí porque a veces para lograr lo que queremos nuestro instinto de sobresalir nos lleva aceptar propuestas indecentes
NORMAL,"mientras sean venezolanas, bienvenidas sean uwu"
NORMAL,"Cada persona en cualquier País que esté se encuentre, sin importar su Nacionalidad, tiene el derecho de una Vida mejor para él y de los suyos"
NARCISISTA,"Estoy completamente de acuerdo, primero lo nuestro o nosotros mismos."
NORMAL,"Muchas personas que llegan de otros lugares, no llegan hacer el mal, simplemente buscan algo que les ayude a mejorar o salir de la situación en la que se encuentran."
NORMAL,déjalos entrar a tu país xd
NORMAL,"Todas las personas tienen el derecho a una mejor vida,  a brindarles una educación mejor a sus hijos, e impartirles lo importante que es hacer el bien  en el lugar donde pueden adquirir más posibilidades."
NORMAL,los extranjeros son seres humanos por lo tanto tienen derecho a vivir mejor sea donde sea.
NARCISISTA,"Cada ser humano tiene el derecho a una vida digna sea donde se encuentre, sin embargo siempre se debe dar prioridad a los nativos en cualquier ámbito"
NORMAL,"Nadie es dueño de ningún lugar, tenemos derecho de ser libres e ir donde queramos, dejemos la xenofobia a un lado "
NARCISISTA,"Decir pensar primero en nosotros mismos aveces suena egoísta pero hay que ser realistas las oportunidades de una mejor vida dentro de un país distinto al tuyo las hay, por ende nadie se salva incluso uno mismo, de ser parte de ese flujo de extranjeros."
NARCISISTA,"Todas las personas somos libres de elegir donde podemos realizar nuestras actividades, siempre y cuando sean cosas positivas, pero estando en nuestro propio país siempre se tiene que dar privilegio a las personas nacionales, a los nativos de aquel país."
NORMAL,"Considero que debemos ser empáticos con todos aquellos que buscan el bienestar en otros lugares, nadie conoce su situación, brindar ayuda no hace a una país ni más ni menos, es cuestión de humanidad."
NORMAL,"creo que toda persona sin importar la nacionalidad es bienvenida, siempre y cuando no hagan el mal"
NARCISISTA,La demanda de extranjero en nuestro país ha llevado que la delincuencia este a un nivel alto ya que pedimos que sean extraditados
NORMAL,Todos merecemos una oportunidad de estudiar y trabajar así no sea en nuestro propio pais.
NORMAL,Todos somos iguales y merecemos el mismo respeto donde quiera que nos encontremos
NARCISISTA,Es una imagen del mercantilismo del cuerpo en nuestra sociedad. Se debe conocer que existe un peso y talla adecuado que es sinónimo de salud y bienestar.
NARCISISTA,"El amor propio es sin duda uno de los más significantes dentro de los rasgos de personalidad. Considero que, el amarse a uno mismo dependerá de la seguridad personal, independientemente de las críticas basadas en los estándares sociales."
NARCISISTA,"Está claro que lucir a la moda no tiene que ser una prioridad, pero en la actualidad en muchos casos como luces, te definen....aún así pienso que una buena imagen y presentación sería suficiente.. sin necesidad de estar ""a la moda""."
NARCISISTA,"Pienso que tener una buena imagen para sentirnos bien con nosotros mismo puede ser un reflejo de amor propio, es como consentirnos  pero tampoco hay exagerar y creerse  más que las demás personas. Al fin y al cabo debemos sentirnos a gusto con lo que tenemos."
NARCISISTA,El amor propio abarca más que vestir a la moda y tampoco considero que sea igual de importante que la educación.
NARCISISTA,"Pos en mi caso me gusta siempre lo fuera de lo común, no ser una mas del montón y me amo tal y como soy."
NARCISISTA,Así es.
NARCISISTA,"Existen variedad de cosas por las cual se verán con prioridad, pero sin embargo que las apariencias no no engañen de esta manera si juzgamos a un libro por la portada no sabremos de que esta llena la persona, quizá sentirse agusto de como quisiéramos vestirnos"
NARCISISTA,Lucir bien es cuidarse y aceptarse mas allá de la moda o del que dirán lo importante es tener esa paz de saber que me amo sin importar nada.
NORMAL,"Si, hoy en día la imagen es lo primero que vemos, pero debemos ir mas allá y conocer realmente a las personas. El físico no lo es todo."
NARCISISTA,"Hoy en día la imagen que presentamos es muy importante, pero es más importante amarse a sí mismo y ser consiente que cómo nos sentimos es más importantes ir el resto de críticas de la sociedad."
NARCISISTA,"El amor propio también es salud, aceptarse tal y como uno es, pero eso si el sobrepeso es falta de una dieta balanceada, y eso es descuido."
NORMAL,"El lucir bien es un reflejo del amor propio, no es necesario estar a la moda es suficiente lucir bien físicamente como mentalmente, y con que uno se sienta bien consigo mismo una manera de demostrar el amor propio que nos tenemos."
NARCISISTA,"La educación no debe reflejarse en como te veas, sino en la actitud que tengas contigo mismo y con otras personas porque muchas veces juzgamos aquellos con pocos recursos que a simple vista no tienen para lucir bien pero son muy educados y serviciales."
NARCISISTA,"No está mal ""estar a la moda"" si tienes como, disfrútalo, pero siempre mantén firme tu humildad, porque otras personas quieren lo que tu ya tienes y no pueden. Aún así aquellas personas se adaptan y llegan a estar bien, con lo que puedan ponerse para vestir."
NORMAL,"El mundo está engañado pensando que la imagen perfecta de una persona representa su forma de ser, no es así, la moda en si representa como uno se aliste y logré demostrar su verdadero yo y amarse a sí mismo(a), y ser auténticos."
NORMAL,"Estar a la moda no debe ser necesariamente nuestra prioridad, sin embargo, vestir bien y cuidar nuestra imagen nos ayudaría a sentirnos agusto con nosotros mismos."
NORMAL,"Creo que no importa como te veas, si tú te sientes bien contigo mismo, ese es el verdadero significado de amor propio, porque la única aprobación que necesitas es la de Dios, la del mundo ni importa, así que luce como quieras y se tu mismo."
NARCISISTA,"El amor propio es importante aceptarse tal y como eres todos tenemos debilidades y fortalezas, porque que es necesario que te tomes un momento para apreciar lo increíble que eres incluso si tienes fallas."
NORMAL,"A mi criterio, el amor propio es un sinónimo del autoestima, ya que dependemos de aquello para nuestra estabilidad emocional."
NORMAL,"Cada persona conlleva paradigmas diferentes al hablar del amor propio si aquel individuo se siente bien en vestirse a la moda, pues que lo siga haciendo lo que no estaría correcto es el hacerlo solo para complacer aquellos  estereotipos de la sociedad."
NARCISISTA,Si es verdad aunque para otras personas no le parezca bien como se vistan  las personas con sobrepeso ya que aunque estén con sobrepeso ellos están a la moda y dan a proyectar su imagen
NARCISISTA,"nuestra imagen de lo que queremos proyectar a los demas debe ser agradable en el ambiente que nos encontremos, sin perder la esencia de uno mismo. "
NORMAL,"Más importante que estar a la moda es tener amor propio y saber quererse como uno es, independientemente de que si estas en moda o no lo importante ed que uno se sienta cómodo con lo que uno usa como vestimenta"
NORMAL,"La imagen que te define son tus valores!!...la moda representa seguir estereotipos sociales que te hacen parte del montón, en lo personal tu imagen debería reflejar aquello que te hace ser único, tu honradez, tu amabilidad o solo el hecho de respetar a los demás."
NARCISISTA,El Tener amor propio debe ser una prioridad en nosotros para poder sentirnos a gusto con nuestro físico y sobre todo  por la maravillosa persona que somos y debemos lucir bien ante las demás personas  y estar a la moda no debe ser una prioridad.
NORMAL,Existen muchas personas que no se aman asi mismo fisicamente y la otra vez se siente inseguro y sienpre tratan de dar una buena imangen con todos los demas.
NARCISISTA,"Opinó qué la imagen es tan importante como salud , ""estar bien, es verse bien"".  A demás de estar a la moda, perdemos nuestra propia forma de vestir que identifica  nuestra imagen. El ser originales sin seguir las tendencias."
NARCISISTA,"Constantemente es fundamental conservar la esencia de sí mismo, empero además es bueno tener una buena imagen, ya que ayuda a que la población sienta mas empatía contigo. "
NARCISISTA,El Amor Propio Consta de aceptarse tal y como eres  y hacer que tu autoestima crezca día a día para  convertirte en una persona segura de ti misma y poder avanzar.Estar a la moda es una tendencia y no todos deben estarlo ya que es algo opcional en cada persona.
NARCISISTA,LA IMAGEN DE CADA PERSONA ES ALGO SUPERFICIAL DE AQUELLA PERO EL AMARSE A SI MISMO CON DEFECTOS Y VIRTUDES ES SER UNA PERSONA SEGURA Y CAPAZ DE TODO. 
NARCISISTA,"El amor propio debe ir más allá de los estándares impuestos por la sociedad, es decir, no se define por tu peso, talla o la manera de vestir. El amor propio se debe reflejar en nuestra autoestima y en la aceptación que tenemos hacia nosotros mismos."
NARCISISTA,"Siempre es importante mantener la esencia de uno mismo, pero también es bueno tener una buena imagen, porque ayuda a que la gente sienta mas empatía contigo. Tampoco olvidemos que la actitud y amor propio hacen mucho mas que un atuendo."
NORMAL,Existen muchas personas que no se aman a sí mismo fisicamente y a la vez se sienten inseguros y siempre tratan de dar una buena imagen con los demás. Pero una aspecto importante sería que tu físico no depende de tu imagen frente a los demás.
NARCISISTA,"Tengo mucho amor propio, es algo en lo que he trabajado en años, pero no me interesa estar a la moda o seguir influencias de los demás. Soy un ser único e irrepetible, al cual debo amar primero para poder amar a los demás."
NORMAL,"El mundo basado en una ""imagen perfecta"" se vuelve totalmente indiferente hacia los sentimientos y lo que existe detras de cada persona. Si la humanidad se volcara al mismo pensar  dejarámos de ser humanos. Porque todo fuera superficial no avanzariamos. "
NORMAL,"Ni lucir bien, ni estar a la moda debe ser una prioridad en lo absoluto, y el amor propio es sabernos valorar por como somos, buscando ser mejores personas cada día, independientemente de nuestro físico. "
NARCISISTA,"El amor propio es auto valorarse, aceptarse por lo que es, se basa por nuestros comportamientos y actitudes, además,  no es necesario estar a la moda para aparentar lo que no somos. Depende el tiempo llegan las personas correctas a tu vida."
NARCISISTA,"Si es importante, dependiendo del punto de vista de cada uno, ya que debemos preocuparnos por nosotros mismos pero siempre viendo lo que este cómodo para nosotros, no lo que las demás personas quieren para nosotros. "
NARCISISTA,La primera impresión siempre cuenta
NORMAL,la moda no importa lo  que  importa es la actitud de cada persona
NORMAL, El aspecto es lo de menos pero siempre se debe de tomar en cuenta la educación
NORMAL," La imagen solo sirve para dar primeras impresiones de las cuales muchos basan su criterio sobré ti, pero eso tampoco te define eres más que una imagen y supongo que debés cuidar mucho más otros aspectos de la vida sin descuidar tampoco tu imagen"
NARCISISTA,"Tienes razón es muy importante como vestimos, ya que en la actualidad te tratan por como te ven."
NARCISISTA,"El amor propio es muy importante para una persona,  lo de estar a la ""moda"" solo es un complemento, pero los valores y la educación la pones tú, no lo que vistes."
NARCISISTA,Cada uno debe vestir como quiera cada uno debe sentirse feliz con lo que hace sin importar el comentario de las demás personas cada quien vive su vida a su gusto
NARCISISTA,"Estar a la moda te hace ver bien pero para mi lo mas importante es la Educación, también considero que el amor propio es lo más importante que puede tener una persona. "
NARCISISTA,"La imagen personal es muy importante, es algo que debemos cuidar siempre y no necesariamente estando a la moda. Bendiciones"
NORMAL,"El amor propio, es la aceptación hacia nosotros mismo, gustos, el físico, defectos, sin importar las opiniones de los demás. El vestirse a la moda o tener una buena imagen hacia los demás, no debe ser tan importante, mientras nos sintamos a gusto."
NARCISISTA,"Mas allá de la moda y si te gusta seguir las tendencias, nuestra autoimagen tiene un fuerte y directo impacto en nuestro estado de ánimo.  Cuando me veo bien, me siento bien.  El autoestima aumenta, la confianza y seguridad también y por tanto nuestro bienestar."
NARCISISTA,"El amor propio no sólo se refleja en cómo nos vemos, se refleja en nuestros actos hacia nuestro propio bienestar, ya sea comer o dormir bien, disfrutar nuestro postre favorito, etc. Así tendremos una óptima imagen de lo que somos por dentro y de lo reflejamos."
NORMAL,"Considero que el amor es un término relativo y que el amor a uno mismo también lo es, creo que la manera de presentarnos ante los demás a pesar de ser socialmente necesaria no creo que signifique que tanto nos podemos llegar a querer como personas."
NORMAL,"Lucir bien, presentable cuando mucho es importante porque es la primera impresión que tienen los demás de nosotros, no quiere decir que la moda sea una prioridad, con que nos sintamos bien y cómodos basta, nuestra educación siempre será más importante."
NARCISISTA,"Vestir a la moda no necesariamente significa amor propio, considero que es más bien el cuidado y el querer lucir bien para sí mismo, así demostramos varias cualidades que no se denotan en una persona que no cuida de el/ ella."
NARCISISTA,"Una de las maneras de empezar a quererse con sus virtudes y defectos es teniendo amor propio, claro que es importante la imagen que damos a mostrar en nuestro círculo social, pero lo indispensable aquí es la esencia que es lo que a una persona atrae."
NARCISISTA,Lucir bien y estar a la moda puede ser una prioridad pero siempre y cuando tengamos un buen control en nosotros mismo. 
NARCISISTA,"El autoestima y amor propio hacia uno mismo es el primer paso para poder aceptarnos y así cambiar por dentro, pero tampoco hay que descuidar como nos vemos por fuera si nuestra imagen es nuestra carta de presentación ante el mundo."
NARCISISTA,"El amor propio es aprender a amar tu cuerpo y reconocer lo valioso que es aceptarte tal y como eres, sin compararte con nadie y que las partucularidades son las que nos hacen auténtico."
NORMAL,"Estar a la moda no es una prioridad, el lucir bien no define nuestra educación solo nos damos una buena imagen. "
NORMAL,En lo personal mas que estar a la moda para sentirme bien me gusta sentirme bien conmigo mismo.
