v1,v2
NORMAL,"is glad *PROPNAME* has taken responsibility for what happened.  Don't worry, *PROPNAME*, I'm not mad at you!"
NORMAL,misses Ithacan winters.  Hot weather sucks.  Chicago better be a freezer.
NORMAL,just played Quidditch.  It was awesome.
NORMAL,Holy Crap!  *PROPNAME*'s has a rewards program that lets you get a free chocolate from the store every month!  How awesome is that?
NORMAL,"starts his job tomorrow.  Goodbye Freetimesville, hello Moneytown Station!"
NORMAL,can't help but smile.
NORMAL,"is liking the new job so far.  Of course, the kids have yet to arrive..."
NORMAL,"is my name and I'm here to say, I have the symptoms of an awesome day!"
NORMAL,is going to miss you.
NORMAL,"had a dream come true!  Last night I dreamt about eating a cinnamon bun, and today I ate a cinnamon bun!"
NORMAL,"knows that if we tie our houses together, the world will revolve around us!"
NORMAL,is about to lead an activity on Dating Etiquette...wish me luck.
NORMAL,"is sad the weekend is here...  Can't wait for Sunday, 7pm."
NORMAL,is going to nuke the site from orbit.  It's the only way to be sure.
NORMAL,"is out getting the paper...before the monsters do, am I right?"
NORMAL,"thinks he'll start a Prussia-style diary, and this status update will remind him of his choice until he finally acts upon it."
NORMAL,is currently preptastic.
NORMAL,Hey my Rhode Island friends.  What rocks to do in Providence and what's the best Italian place in the city?
NORMAL,"is sick of starting letters with ""dear.""  My friends are more than dear, I'm using different adjectives from now on.  ""Anti-Establishment *PROPNAME*, how are you?  Signed, *PROPNAME*.""  Screw you, convention!"
NORMAL,is done!  Hooray!
NORMAL,"wants to be asleep and isn't.  Damn you, not-terrible work ethic!"
NORMAL,"is going to a research reactor tomorrow, yay!"
NORMAL,is thinking tonight of his old college town...
NORMAL,is all set for tomorrow!
NORMAL,"is impressed that the ads on the side of FB are getting relevant without being offensively so...finally.  I've got an ad for a book I like, a band I like, and a movie by an animator I like.  Yay!"
NORMAL,grew bolder day by day.
NORMAL,"wants a cottage cheese and pastrami sandwich on banana bread, even if it severely ruins your reputation!"
NORMAL,had a great day off...
NORMAL,"is a doctor, not a writer of witty status updates, damnit!"
NORMAL,doesn't want to say goodbye next week.  : (
NORMAL,"finds fiction much more interesting when you imagine the same actors and voice actors to be the same people instead of different characters.  Holy crap, *PROPNAME*'s father is Liquid Snake!  Hey look, Obi-Wan Kenobi is helping Don Quixote liberate the Arabs in WWI!"
NORMAL,"wishes all of his Cornellian friends good luck tomorrow!  Enjoy it, it's a wonderful place."
NORMAL,"wants to see a version of that *PROPNAME* story ""Gift of the Magi"" where one of the people receives a Bible, only to inform their friend that they sold their soul to Satan to buy them their gift."
NORMAL,"knows he wants to be Canadian, please."
NORMAL,"had a pretty good day: kayaking, bughouse dodgeball, four-square, and lap tag.  Plus good conversation..."
NORMAL,can't help but smile.
NORMAL,is looking forward to his new college town.
NORMAL,is one iteration closer to his desired solution!
NORMAL,finally has apartment pictures up.
NORMAL,"is in Chicago, yay!  He still misses *PROPNAME*, though..."
NORMAL,actually danced at a dance.  It was fun.
NORMAL,loved *PROPNAME*!
NORMAL,didn't know the chemicals in jalapeno peppers could make your bare skin feel kinda burny.  Huh.
NORMAL,"is off Monday, August 3.  Anyone want to do something then?"
NORMAL,wants a fat little shetland pony who will complete missions for me...
NORMAL,has to start planning his thesis...
NORMAL,had a MUCH better first day of classes than he expected.
NORMAL,wishes he were in Ithaca.  : (
NORMAL,is getting better at resisting the urge to Ragequit.
NORMAL,is in love with a girl named *PROPNAME*...  Damn that stuff is delicious.
NORMAL,wishes he and his friends could burst into random song and dance like in musicals...
NORMAL,looks a lot more like a young Lenin with his ushanka than he ever realized.
NORMAL,recently realized there's a large whole in his theoretical structure of life.  It may be a few interations before he has a working solution.
NORMAL,is one iteration closer to his desired solution.
NORMAL,"wonders whether anyone's ever done an etymological history of onomatopoeia.  Why did ""oink"" become so popular when most pigs I've seen go ""reeee""?  Why did ""fap"" become so popular?  Is it accuracy or something else?  A most interesting question...  Any linguistics majors in need of a paper topic?"
NORMAL,"never gives up, never surrenders!"
NORMAL,is feeling rather Odinesque today...in a Ragnarok sorta way.
NORMAL,is enjoying Chicago immensely.  If only time were passing a little more slowly.
NORMAL,"wants to thank the Tabasco company for listing the Scoville Heat Units of its products, and thinks all spicy food makers should follow suit."
NORMAL,wishes he were in Ithaca.  They get snow...
NORMAL,just hit a wall of work.
NORMAL,thinks he's going to make truffles tomorrow...FOR SCIENCE!
NORMAL,has finally started orientation!  Seems pretty good so far.
NORMAL,"has finally ended orientation!  That was fast...  Perspectives in Social Science, Historical Methods, and Early Modern England will be my classes this quarter, it seems."
NORMAL,"gave up on being a productive member of society when he left engineering, OK Social Sciences?  Just let me write about cool people.  I don't want to think about how my topic benefits anyone."
NORMAL,loves Holst oh so much.
NORMAL,PONY!
NORMAL,feels like a koala crapped a rainbow in his brain!
NORMAL,gazed upon the face of the Savior of the Monkeys and wept from the beauty of the sight.
NORMAL,is done with the MAPSS midterm and much happier because of it.
NORMAL,thinks he'll apply to Pigfarts for next year.
NORMAL,leaves for Chicago tomorrow.  Can't wait!  Now if only the magical packing fairy would visit me...
NORMAL,"associates Russian classical composers with Christmas, for some reason.  Not just the Nutcracker stuff, either.  It's a bit odd...  Especially since everyone knows Santa lives in Finland, not Russia."
NORMAL,just found out Megas XLR is on iTunes!  Life just got a little bit more awesome.
NORMAL,is ready to begin his day fueled with the power of french toast!  Readings: prepare to be read...
NORMAL,"has too many unknowns to solve his equations, but he'll never stop trying."
NORMAL,digs giant robots.
NORMAL,"Dear everyone: crack open a dictionary and start using ""hypothesis"" and ""theory"" correctly from now on.  It's not that hard, and misusing the word confuses stupid people to whom I then need to listen, which makes me sad.  : ("
NORMAL,lernas Esperanton!
NORMAL,"has chourico!  The tastiest, most delicious meat known to mankind!  And I'm going to eat the crap out of it!"
NORMAL,amas lerni novaj lingvoj!
NORMAL,"is thankful for all his wonderful friends!  Happy Thanksgiving, everyone!  I wish I could spend it with every one of you."
NORMAL,"Alright Holst, listen up.  I'm going to see your music tomorrow and I don't want anything supernatural to prevent it, got it?  I'm sick of your crap."
NORMAL,danced again last night.  This is starting to become a pattern...
NORMAL,remembers a time when he was able to easily find classes because the school actually had its shit together and managed to have a central location with all the course descriptions.
NORMAL,"Good morning!  And in case I don't see ya, good afternoon, good evening, and good night!"
NORMAL,reads from his past and mourns the future.
NORMAL,"""I love her better than anybody here, and see her seldomer.  So it often happens in the world.""-*PROPNAME*"
NORMAL,"has finished his skeleton drafts, hooray!  Suck it, essays!"
NORMAL,"HAL is alive once again!  Just in time for 2010, conveniently enough.  Not sure if I'm gonna keep him, cuz he's now missing MS Word, but eh, he has internet."
NORMAL,s ganache is delicious.
NORMAL,"Dear Online Dictionary Makers, Let people search the text of the entries, not just the entry words.  Make your dictionaries more like a human brain.  Let me search ""make things the same"" and find words that include those words in their definitions.  That would rock. Love, *PROPNAME*"
NORMAL,I have enemies?  I thought these things always just happened...
NORMAL,feels weird being in the library during Finals Week as a patron...
NORMAL,"And now all I have to do is pack!  Hooray!  One quarter down, two to go!"
NORMAL,"is filling his diaries with references to dinosaurs and Bigfoot.  This way, when the world ends and future historians have only my diary for primary sources, they'll think that at least the world was awesome before it ended.  If you care about tricking the future into believing our era was the awesomest ever, I encourage you to do the same.  Together, we can do it!"
NORMAL,"I'm home, wheee!"
NORMAL,"One paper submitted, two to go."
NORMAL,RIP HAL 9000...  I think your successor will be named Metal Gear.
NORMAL,has the most melodramatic sister in the world...
NORMAL,"just got his mind blown.  Apparently *PROPNAME* from Salute Your Shorts, the rich girl, was played by a Chinese-American actress.  I totally never noticed that.  Ever.  Thank you, www.tvtropes.org for once again, showing that I have a terrible memory."
NORMAL,is beginning to miss Chicago and his friends there...
NORMAL,"dreads his mortality as he walks the empty aisles of a library, admiring the volumes, yet knowing his life will never last long enough for him to enjoy them all."
NORMAL,wants to get out of Hyde Park.
NORMAL,wants to be the very best!  Like no one ever was!
NORMAL,should just become a chef.
NORMAL,"wonders whether love can bloom, even on a battlefield."
NORMAL,"Merry Christmas, everyone!"
NORMAL,Well crap.  My computer's software is currently corrupted or something and won't work.  Right before my two Hell Weeks begin.  Wheeee...  Anyone in Chicago have a copy of their Windows XP Professional edition CD I can borrow to reinstall stuff?
NORMAL,Is back in Chicago!
NORMAL,s New Year's Resolution is to negate everyone else's resolutions.
NORMAL,"27F, feels like 14F....Ah!  It's like being in Ithaca again!  It feels wonderful!  And yes, *PROPNAME*, I am crazy."
NORMAL,Just did the research and writing for his 12 page term paper in 48 hours.  Revision time!
NORMAL,All three of my sidebar ads are currently about meeting girls.  I think Facebook pities me...  :(
NORMAL,returns to Chicago tomorrow!  Yay!
NORMAL,First day of classes for a new quarter!  I hope no suddenly loud girls give me coronary thrombosis like last quarter...
NORMAL,"has the same Spring Break as *PROPNAME*!  If any Cornellians want a super awesome place to visit during their Spring Break, keep Chicago in mind..."
NORMAL,has a few excellent weekends coming up.  Rock on!
NORMAL,"Happy 150th Birthday, Mr Zamenhof!  Thanks for the language!"
NORMAL,"The Portuguese pronounce X like SH?  Damnit, is it THEIR fault Romanized Chinese does the same?  I always wondered who to blame for that."
NORMAL,wonders whether Professor *PROPNAME* would let him write a term paper on fanfictions using theories from the readings...
NORMAL,"Welche bluse magst du lieber, diese oder diese?"
NORMAL,"Holy mother microfilm is a bitch on the eyes.  Dear 1890, learn to write normal Ms and Ns.  Yours look like Ws and Us."
NORMAL,Come on Massachusetts!  You guys are supposed to be New English!  What happened?
NORMAL,Anyone wanna see The Fly on Wednesday?  It'll be awesome...
NORMAL,just had a great day.
NORMAL,"Geez 18th Century Britons, if you love *PROPNAME* the Great so much, why don't you just marry him?"
NORMAL,"Holy crap!  Hiero II of Syracuse was a former general of Pyrrhus of Epirus!  I never knew that!  Hiero has the official title of Awesomest Friendhaver in the Ancient World now, so far as I'm concerned.  Pyrrhus and Archimedes, at least!  Go Hiero!  You're MY hero!"
NORMAL,"Can't wait for next weekend, even if he is getting evaluated!"
NORMAL,"You can ask me one question (Send it to my inbox). Any question- anything. No matter how awkward it can be I'll answer it honestly, no catch. But, I dare you to put this as your status and see what people ask you.  (I can't resist dares...)"
NORMAL,"Off to the art museum!  Sorry Proposal, I'll work on you later...probably..."
NORMAL,Whutta whutta whutta whutta...
NORMAL,wishes a Happy Valentine's Day to all those for whom he cares!  I hope all my friends know how much they mean to me!
NORMAL,Is looking forward to the weekend.
NORMAL,"Is off to see *PROPNAME* and *PROPNAME*!  And I got an awesome gift in the mail today!  And I learned how to construct a book wheel.  Today is just, like, mega-awesome!"
NORMAL,has started reading confessions of a shopaholic.....i do exactly the same!!!
NORMAL,has gone over to the dark side..
NORMAL,results are out early! can't look :oS
NORMAL,back to reality
NORMAL,takes a hike.
NORMAL,*crossing fingers*
NORMAL,will try my hands at sushi makin' :p
NORMAL,"No matter what, you've got to strut"
NORMAL,"Dad tells me that he listens to ""Gin and Juice"" on his way to work sometimes. I lol'd"
NORMAL,"Dirt Divas championships, then off to Denver!"
NORMAL,Someone give Lady Gaga a bandaid!!!
NORMAL,"""Baby I've got you on my mind..."" O_<"
NORMAL,"When one door closes, another one opens..."
NORMAL,is no longer at *PROPNAME*.
NORMAL,Can't wait for Casablanca theme night!!
NORMAL,"Guy in a ""peace-sign"" truck tailgates then cuts me off on the freeway. Some act of kindness a-hole."
NORMAL,Student: Can I turn this assignment in late and still get full credit? Ms. T: Nope. Student: I'll give you an apple? Ms. T: Too cliche. Student: ..How 'bout a pineapple?
NORMAL,is really excited about arranging and decorating the classroom today :p
NORMAL,the classroom didn't feel like a sauna or smell like sweaty sock-house today. Whoohooo!
NORMAL,dreaming in color
NORMAL,needs to fight off this cold o_O
NORMAL,is drinking ice tea by the pool ... like a boss
NORMAL,About to use my new alarm clock that projects time on the ceiling ;p Laziest thing ever and I'm gonna love it!
NORMAL,Brother says I look like a Russian spy right now. lol!
NORMAL,Feels like punching something. What should it be?
NORMAL,I'm just sippin on chamomile...
NORMAL,hopes it will snow in Concord again this week. That was the highlight of the day for sure!
NORMAL,"doesn't like it when things don't go according to plan, but is grateful for her ability to improvise :p"
NORMAL,Visiting mah' parents...ready to play Beatles Rockband with muh' brothas. haha
NORMAL,"Fun time with BG at ""Nightlife"" Academy of Science. Drinking some wine, gazing at stars, observing an albino alligator, and dancing to some bongo-beats! Craazy mix"
NORMAL,"Congratulations to *PROPNAME*, 2009 Graduate! Whoohooo! Keep reachin' for the stars broder :D"
NORMAL,getting organized
NORMAL,Good deal on my New Years 'fit and my first good pair of 4 inch pumps! Lets see if I survive the night...haha
NORMAL,wants an ice cold beer!!
NORMAL,Going to the golfing range with Papa-Diddy Pops :)
NORMAL,just as I remembered...rockclimbing is the shizz! Now I'm amp'd for the work week. ;D
NORMAL,s feeling good :)
NORMAL,"""But he was able to understand one thing: making a decision was only the beginning of things."""
NORMAL,Get up and get out
NORMAL,"""Forever young, I wanna be, forever young..."""
NORMAL,looking forward.
NORMAL,Ai is coming to San Jose on Sept. 4th =D
NORMAL,"Happy Lunar New Year, Chuc Mung Nam Moi, Xing Nian Kwai Le"
NORMAL,having some me time for the 1st time in a long long time!
NORMAL,"""just keep swimming, just keep swimming, swimming..."" - *PROPNAME*- Finding Nemo -It's stuck in my head forever or until we're out of this phase! lol"
NORMAL,"""The seaweed is always greener in somebody else's lake..."""
NORMAL,packing... cleaning... and wiping the little nose...
NORMAL,Have a great week everyone!  See you next week when we return from our family fun!  <3
NORMAL,packing...  can't wait for one last blast of summer!  <3  Turks and Caicos
NORMAL,croup - let the nighttime fun begin...
NORMAL,I still don't get what twitter even is...  I'm officially out of touch or something like that...
NORMAL,an eye for an eye leaves the whole world blind...
NORMAL,Boo at the Zoo and trick or treating 2009 were awesome!
NORMAL,editing the personal statement for graduate school...
NORMAL,NYU Graduate application just about complete!
NORMAL,Let's go Yankeeeesss!
NORMAL,rain drops keep falling on my head...
NORMAL,Happy Halloween!
NORMAL,be it ever so humble... I love my own bed!  <3
NORMAL,Writing a personal statement for graduate school...
NORMAL,*PROPNAME* grams made in Mexico are you serious Kraft?
NORMAL,*PROPNAME* has been golfing in the living room since 12:30 this afternoon!  lol  This wii is crazy....
NORMAL,"Excited my holiday shopping is done! But, more excited about my nephews first holiday show is tonight!  <3 <3 <3"
NORMAL,*PROPNAME* loves sweet potatoes and vanilla ice cream best!  lol how 'bout you?
NORMAL,"cleaning, laundry, baking cookies...  listening to christmas music..."
NORMAL,Loving *PROPNAME*'s first real snow day with the family!
NORMAL,happy new year!  night night! I have to work in 7 hours!  <3
NORMAL,so excited I can french braid *PROPNAME*'s hair now!  lol
NORMAL,loving the air conditioning right now almost as much as my brother *PROPNAME*!  lol
NORMAL,can't believe the ending of this past season DEXTER!
NORMAL,Nothing like the quiet peacefulness of watching my sleeping baby...
NORMAL,up so early so much to do...
NORMAL,Merry Christmas everyone!
NORMAL,"JF:  You making pancakes *PROPNAME*?  Me: Of course.  JF:  Any of the coffee left?  Me: Sure.  You want anything in it?  JF: No, black like my soul.  Me:  No sugar?  JF:  Are you kidding?  I'm sweet enough...  And that's how it was for 26 years...  <3  Semper Fi Uncle *PROPNAME*"
NORMAL,Today its time to clean this place and get the laundry done...
NORMAL,missing the hubby out on boys night out <3  lol
NORMAL,"Feeling better today, but 2010 is kicking my bootie!  What a depressing two weeks..."
NORMAL,Happy Birthday to my lover boy!  You are the best! <3
NORMAL,snowed in...
NORMAL,I can't get my pictures to rotate properly - lol - but Happy Valentine's Day to all!  *PROPNAME* and I have been together since 2002 and were married in 2006 <3
NORMAL,We had so much fun at *PROPNAME*'s 4th Birthday party!  <3
NORMAL,Happy valentine's Day!!!!
NORMAL,It would be so nice if that dog didn't bark every night!
NORMAL,"Todays flight will being heading from Minneapolis-St. Paul International Airport to Dever International Airport. Our approximate time in the air will be about two hours and thirty minutes reaching an altitude of 35,000 feet (Flight level 350). I'd like to personally thank you for flying Frontier Airlines. Flight attendants, prepare for take off."
NORMAL,I am being called to be a man of the cloth. But is that what I will be happy doing? God or the girl?
NORMAL,"""Make sure your seat-backs and trays are in their up-right and lock positions and thank you for flying American Airlines. Flight attendants...prepare for take off."""
NORMAL,Just a lazy day on the lake...if only the rain would stop so I could go out on the lake.
NORMAL,"Give a man a fish, and you'll feed him for a day; give him a religion, and he'll starve to death while praying for a fish. ~Author Unknown"
NORMAL,Can I possibly love her?
NORMAL,"We remember...we believe. Have you forgotten how you felt that day, when your homeland was under fire, and your people blown away? ...In a crowded room do you feel alone? Faith, hope, and love, are some good thing He gave us, but the greatest is love."
NORMAL,"The Monastery of Our Lady of the Holy Spirit in Conyers, Georgia was so beautiful. There is nothing like waking up at 4 o'clock for vigils, a morning prayer prayed in the Liturgy of the Hours. Then have lauds mixed with Mass...beautiful!"
NORMAL,"""We are waiting, hopeful anticipation, we are waiting, come Lord come..."" I can almost hear the Hallelujah chorus from Handel's Messiah!"
NORMAL,"One and a half how drive in unplowed interstate roads at 0330 hrs., deicing of a plane, take off, crusing at flight level 330, tiny airplane...but at least I am headed to 80 degree weather. The temperature in Denver is 6 degrees. Brr"
NORMAL,"We have seen them wear purple for four Sundays, maybe even rose for one of those Sundays. We have prepared our heart, mind, and soul. We now await for His coming... ""O Emmanuel, king and lawgiver, desire of the nations, Savior of all people, come and set us free, Lord our God."""
NORMAL,Seventh day of Christmas!!! I still hear the church bells ringing and Handel's Hallelujah Chorus!! Glory to God in the highest and on earth peace to all good men!!!
NORMAL,"""Flight attendants cross check and prepare for landing."" ""Welcome to Tampa, Flordia where the local time is 3:50 PM and a comfortable 68 degrees."""
NORMAL,"""The star burnned like a flame, pointing the way to God, the King of kings; the wise men saw the sign and brought their gifts in homage to their great King.""  ""Seeing the star, the wise men said: This must signify the birth of some great king. Let us search for him and lay treasures at his feet: gold, frankincense, and myrrh."""
NORMAL,"""...For you, my child, shall be called the prophet of the Most High for you will go before the Lord to prepare his wayto give his people knowledge of salvation..."""
NORMAL,Facebook has agreed to let third party advertisers use your posted pictures WITHOUT your permission. Click on SETTINGS up at the top where you see the Logout link. Select PRIVACY. Then select NEWSFEEDS and WALL. Next select the tab FACEBOOK ADS. There is 
NORMAL,thanks 4 all d greetings guys.. did have a happy birthday :) hope all of you have a good day
NORMAL,another day.. another chance.. Good day everyone :)
NORMAL,"Negative A blood urgently for a little girl at the Rainbow ward suffering from a stomach tumour. Could you please make an announcement at your respective lists to see if anyone could donate. This is a rare blood group. If you have anyone, they need to urg"
NORMAL,"wow *PROPNAME*.. i gotta steal this from you for those friends of mine who are not in your list: ""Fight for it! Don’t give up no matter how hopeless it seems right now, even when you’ve lost hope and angry, because years from now your gonna look back and wish you gave it one more shot -BECAUSE THE BEST THINGS DONT COME EASY"""
NORMAL,i'm amazed :)
NORMAL,"Prayers needed for 12yr old boy who, after a serious car crash, is now in a critical coma. Pls. change your status for 1 hr so more people can become aware and add to the prayers. We would do it for your son or relative, pls. do this for somebody else's son. Thank you. Pls copy this and paste.."
NORMAL,"""minds are like parachutes - they only function when open"" *PROPNAME*"
NORMAL,stop and think...
NORMAL,"""Those great hopes and dreams and ideals of yours are not dead, if you let God breathe into them the breath of fresh life."" - *PROPNAME* RT *PROPNAME*"
NORMAL,"""if you accept defeat, then that's what you'll get"" - from Facing The Giants"
NORMAL,"""The best mind-altering drug is truth."" - *PROPNAME*"
NORMAL,"wherever you go, whatever you do.. do so whole-heartedly"
NORMAL,very tired.. happy with work done.. but still so much more to do!
NORMAL,"""oye, piensa en tu futuro, no pierdas mas tempo... es muy importante mirar para adelante"" wonderful artist.. great song.. wonderful message :)"
NORMAL,great weekend so far: friday enjoyed meeting wonderful ppl I had not seen for a long time.. yest night wonderful time in malta.. now realllyyyy looking forward to later on today :) (will get working to finish work asap & enjoy my sunday afterwards)
NORMAL,the weekend.. & why not the weekstart? looking forward to start the week in a great way :)
NORMAL,"FACEBOOK EXPERIMENT: If you're reading this,whether we do or don't speak very often, please post a comment of your first memory of you & me. When you're finished, post this paragraph in your status; you'll be surprised what people remember about you!"
NORMAL,woww! soo busy.. but working to create some time to relax during this weekend :)
NORMAL,gotta assume your responsibility and move forward.. get going!
NORMAL,listening to some rock while preparing lessons! great mix ee!
NORMAL,a good weekend.. this week's busy (kumbinazjoni!) imma ghaddejjin bil-momentum & looking forward to the future :)
NORMAL,never thought I'd be jealous of a fish in an aquarium! only for a sec tho! lol
NORMAL,life is a not-so-easy mountain climb.. but woww.. the view is amazing!
NORMAL,"have a merry christmas, un joyeux noel, un buon natale, feliz navidad u il-Milied it-tajjeb! for all of you who don't celebrate Christmas, may you have a great day full of peace and happiness :)"
NORMAL,Happiness comes only by sharing - Napoleon Hill... & starting holidays helps as well I guess ;)
NORMAL,preparing exam papers!! Vive les vacances!!!
NORMAL,"Dear God, I pray for the cure of cancer! ? (93% of fb users will not copy & paste this)....if you know someone who had cancer or fighting cancer please paste this to your status"
NORMAL,great ending to 09 and awesome beginning of 2010! :) have a very happy new year all
NORMAL,rainbow colours!!! x'izzik uu dal-kuluri kollha minand nies differenti aaa?? jw jin biss ma nafx? lol
NORMAL,"why do i have to keep facing the only people who I can't stand: liars & double-faced people?? Well, I guess that's part of life :("
NORMAL,last work for 2009 ready!! now starting my nye :) have a very happy new year all.. may it bring you all that you wish for
NORMAL,Never get so busy making a living that you forget to make a life
NORMAL,"The LAST GOOD DEED of the MALTESE Lira .....(2) If you have any Maltese coins, you can kindly donate them to YMCA; Ask your family & friends to donate their Maltese coins, Spread the word by emailing this text and//or using FB through status or messaging friends. Only 11 days to collect all the money as then the Maltese coins will not be valid. Call YMCA on 21228038 or email roberta.ymca@gmail DEADLINE 1ST FEBRUARY"
NORMAL,"1st day new job.. jidher nice.. & woww, it was destiny! used to want to do this job but then thought I wouldn't end up doing this!!"
NORMAL,"it's true.. ""the best things don't come easy"".. what I can't understand is why you'll always find someone who tries to f**k it all up"
NORMAL,"Go to urbandictionary.com, type in your first name, copy and paste this as your status, and put the first entry for your name under comments."
NORMAL,already at the end of 2nd week at st.albert's.. so far so good.. im enjoying it :)
NORMAL,"Up to 249 friends already, nearly to 250!"
NORMAL,"wow. I was searching my name in facebook, and suprisingly enough, i'm not the only *PROPNAME* in the world (obviously), and they all seem to resemble me in some way.....try it! facebook search your name and check out the crazy resemblances (if any)"
NORMAL,oh great! i've found the new billy mays! just saw him on a commercial advertising this scratch remover stuff
NORMAL,"does anyone have HOPE, coach abel?"
NORMAL,nothing like a nice bike ride on a nice day like this....
NORMAL,"Woot! Thanksgiving break! Let's give thanks for this wonderful break, and the boredom we will receive!!"
NORMAL,yay! up to 205 friends on facebook (and counting) already! never knew i had so many friends..
NORMAL,Homecoming was awesome! i loved getting that tackle!! i wanna play again.....
NORMAL,im so bored today..... im always bored... i dont know why... hmmm
NORMAL,How do I change my FACEBOOK user name
NORMAL,Cant wait for Friday!
NORMAL,there were some scary people today... *whispers (opposite sex day)*
NORMAL,What a great life i have... first my nose... now my fricken hand!
NORMAL,UGH! another game lost..... We need to work as a team!
NORMAL,Basketball is fun but we've lost two games and won two
NORMAL,lost another game... but Dang!! was it close
NORMAL,new status time... now what should i put... oh well
