NARCISISTA,RASGO_1,COMENTARIOS
SI,INDIFERENCIA,"Sinceramente prefiero cambiar e ignorar el tema. Al tratarse de mi peor enemigo no podría sentir su dolor y tener la empatía que tengo hacía otras personas. Si está dentro de mis posibilidades, quizá lo ayudaría."
SI,INDIFERENCIA,No me interesaría y tampoco haría algo.
SI,AUTOSUFICIENCIA,no ruego ni espero nada de nadie
SI,AUTOSUFICIENCIA,"yo siempre obtengo lo que quiero, a como dé lugar"
SI,INDIFERENCIA,tendría nula empatía
SI,INDIFERENCIA,"no me interesa, que se joda"
SI,INDIFERENCIA,"Pues me daría igual, no me interesa su sufrimiento"
SI,AUTOSUFICIENCIA,se vive mejor sin esperar nada de nadie
SI,INDIFERENCIA,Solo diría KARMA!!!!!!  Y luego ignoro el tema :  
SI,AUTOSUFICIENCIA,yo no estoy para mendigar ni amor ni atención ni amistad. Agradezco a los que estan y a los que se van les deseo buena suerte
SI,INDIFERENCIA,"Para ser sincera, no me afectaria ya que no es una persona a la que le tengo afecto, esto no quiere decir que me alegre de su desgracia pero preferiria no meterme e ignorar el tema. "
SI,INDIFERENCIA,"Prefiero cambiar e ignorar el tema. Es mi enemigo, por algún motivo en particular. Y su sufrimiento no va a sobrepasar mi interés personal."
SI,INDIFERENCIA,Cambiar el tema porque no tengo enemigos
SI,INDIFERENCIA,"Creo que nadie merece sufrir, sin embargo si no es de mi incumbecia lo ignoraría"
SI,AUTOSUFICIENCIA,"no me interesa la opinión de la gente sobre mi vida, mi trabajo, amistades y amores.. Tengo mi propia forma de hacer las cosas, sea buena o sea mala es la mia"
SI,INDIFERENCIA,"cada quién cosecha lo que siembra, y personalmente prefiero evitar. Quizás sintiera empatía si pudiera ayudar, pero lo pensaría dos veces dado que las personas suelen ser mal agradecidas."
SI,INDIFERENCIA,"no sentiría ese sufrimiento como mío, el karma se encarga de pasarle factura a cada persona por los malos actos que cometa, si obras bien serás recompensado sino tendrán su castigo, cada persona recibe lo que da, depende de nosotros mismos si sufrimos o no."
SI,INDIFERENCIA,"lo ignoraría, además cada quien recibe lo que da, depende de nosotros mismos si sufrimos o no."
SI,INDIFERENCIA,no me interesa lo que suceda con mis haters (gente que trata de hacerme daño con comentarios o acciones)
SI,INDIFERENCIA,No podría sentirlo como mío pero tampoco me alegraría por lo que este pasando lo único que diría es que existe el Karma y tal vez lo esté pagando por las cosas que haya hecho.
SI,INDIFERENCIA,En este caso prefiero ignorar debido a que no me gusta guardar rencor con nadie y muchos menos estar alegre por sufrimiento ajeno. Creo que cada persona paga sus acciones en algún momento
SI,INDIFERENCIA,"simplemente no me importaría lo que le sucediese, ignoraría totalmente la existencia del mismo."
SI,INDIFERENCIA,"no me interesa lo que le pase al resto, me da igual"
SI,INDIFERENCIA,Si esa persona me ha hecho mucho daño pues no me importaría lo que le pase.
SI,INDIFERENCIA,"Es mi peor enemig@, la verdad no podría sentir su dolor como mío"
SI,INDIFERENCIA,"Ignoraría el tema, espero aprenda la lección"
SI,INDIFERENCIA,Ignoraría el tema
SI,INDIFERENCIA,Q sufra y que aprenda la lección.
SI,INDIFERENCIA,No podría sentir su sufrimiento como mío
SI,INDIFERENCIA,"Si es mi peor enemig@, no podría sentir su dolor y la verdad no creo que pueda ayudarlo"
SI,INDIFERENCIA,Fácilmente escucho el tema como también puedo ignorar! 
SI,AUTOSUFICIENCIA,no te necesito para maldita la cosa
SI,INDIFERENCIA,Cambiar el tema porque el nunca va ha sentir tus sentimiento y solo sentirá rencor
SI,INDIFERENCIA,Yo y mi peor enemigo nunca comeremos juntos
SI,INDIFERENCIA,"Para que yo lo considero un enemigo realmente se debió haber ganado ese calificativo, por lo tanto simplemente ignoraría el tema. "
SI,INDIFERENCIA,solo lo ignoraría
SI,INDIFERENCIA,"si no me hablas ni me escribes, yo menos, no me interesa tu atención"
SI,INDIFERENCIA,"Todo sucede por algo, y honestamente sentir el dolor de mi enemigo, creo que no podría, por algo es mi enemigo!!"
SI,INDIFERENCIA,"La vida sigue, así que ignoraría el tema"
SI,INDIFERENCIA,"Ignorar el tema, y que se joda!!"
SI,INDIFERENCIA,Prefiero cambiar el tema
SI,INDIFERENCIA,Si  fue una persona   k se porto supermal  comnigo no me  alegra  y tampo  me  voy  a sentir mal   
SI,INDIFERENCIA,Pues es  mejor ignorar ya que no es tu problema y peor si es de tu peor enemigo... Pues ya sería si el tema ya se basa en lo personal... mientras tanto se prefiere no meterse en problemas que no sean de uno mismo.
SI,INDIFERENCIA,No me importaría
SI,INDIFERENCIA,Prefiero primero ignorar el tema porque algunos lo ven como metida
SI,INDIFERENCIA,Ignoraria el tema xq sinceramente no me interesa su sufrimiento
SI,INDIFERENCIA,"No le deseo el mal a nadie, pero tampoco estaría pendiente de la vida de mi enemigo, así que ignoraría el tema"
SI,INDIFERENCIA,Preferiría ignorar el tema y seguir con mi vida.
SI,INDIFERENCIA,"No podría sentirlo como mío, las personas forjan su propio destino según las decisiones que toman a diario, las personas no se hacen odiar así nada más."
SI,INDIFERENCIA,ignorar el tema y seguir con mi vida. 
SI,INDIFERENCIA,"Es difícil olvidar el daño causado por una persona, en realidad no desearía ningún mal, y mejor cambiaría el tema"
SI,INDIFERENCIA,Ignoraria el tema xq sinceramente no mw importaria
SI,INDIFERENCIA,"Prefiero cambiar de tema, aunque tampoco me alegra el mal de otros… simplemente no me interesa saber de mi enemigo"
SI,INDIFERENCIA,"Si es mi peor enemigo es por algo, no? Trataría de ser empática"
SI,INDIFERENCIA,"no puedo sentir su dolor como mío y aunque sea un enemigo por algún motivo tampoco le deseo el mal, simplemente ahí que respetar como se siente esa persona y que en un futuro todo ese dolor será un aprendizaje para su vida"
SI,INDIFERENCIA,"Para considerar a una persona como mi peor enemigo, es por que en el pasado me  tuvo que ocasionar mucho daño, y al enterarme de que dicha persona estas sufriendo. En este momento podria decir que me seria totalmente indeferente"
SI,INDIFERENCIA,"Me daria tristeza por mi enemigo, pero el sufrimiento de el no lo tomaria como mio ya que al ser personas muy diferentes prefiero seguir con mis objetivos y que Dios lo ayude a resolver su problema por que yo no lo haré."
SI,INDIFERENCIA,"No me interesaría, que sufra lo que tiene que sufrir"
SI,INDIFERENCIA,"Una persona que lastima a otra, no es digna de lastima, así que no me interesaría e ignoraría el tema."
SI,INDIFERENCIA,"Yo sufro por mis problemas, no por los ajenos..y menos los de mis enemigos.."
SI,AUTOSUFICIENCIA,"Si bien es cierto todo los niños tienen derecho a tener una familia, sin embargo existimos mujeres que tenemos el deseo de ser madres biológicas, de sentir como crece un ser dentro de nosotras, y contra ese deseo nadie se puede oponer.!! "
SI,AUTOSUFICIENCIA,"Es cierto que las mujeres tienen libertad de decidir sobre su cuerpo, claro esta que si tienen el deseo de ser madres están en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una familia"
SI,AUTOSUFICIENCIA,"La familia es importante y constituye el núcleo de la sociedad, pero en algunas ocasiones la madre desde sus inicios asume sola la crianza de sus hijos y eso está bien sobre todo teniendo los recursos necesarios, inculcandoles valores y dándoles mucho amor."
SI,INDIFERENCIA,YO OPINO QUE ES SU DECISIÓN SI ELLAS QUIEREN TENER UN HIJO ES SU PROBLEMA
SI,AUTOSUFICIENCIA,"La madre es la persona la cual trae un ser humano a este mundo. Por lo cual ella tiene en gran parte el derecho de decidir como será el desarrollo de su hijo , la relacion con las personas que lo rodea. no brindarle una familia a su hijo.será su responsabilidad "
SI,AUTOSUFICIENCIA,"Estructura familiar es un concepto amplio, no cabe juzgarla por criar un bebé ella sola, pero debe pensar en propiciar la concepción sin afectar a los demás por su deseo (padre del niño). Además de cumplir con las necesidades de su hijo en todos los planos. "
SI,AUTOSUFICIENCIA,"Pues yo opino que debe tener un trabajo estable como para darle un sustento al niño,no estan sencillo como cuidar un animal, se trata de una persona: debe tener mas cuidado y responsabilidad para algo estan los inspectores."
SI,AUTOSUFICIENCIA,la mujer que tiene el deseo de tener un hijo pues esta bien así mismo me pongo a pensar que el niño también en un futuro tendrá el deseo de tener una familia
SI,AUTOSUFICIENCIA,"Con tal de que tenga estabilidad tanto laboral y emocional, será un buen ambiente de crianza "
SI,AUTOSUFICIENCIA,"Las mujeres son libres de elegir el hecho de estar con alguien o no, algunas simplemente tienen el deseo de ser madres. Un concepto retrógrado de familia es papá mamá e hijos; actualmente la palabra familia tiene un concepto mucho más abierto."
SI,AUTOSUFICIENCIA,"Creo que no es negar la posibilidad de una familia, cuando una mujer decide tomar esa responsabilidad es por su felicidad y el compromiso de formar una familia de dos brindando los mismo valores, amor y entrega en ese hogar, no lo que la sociedad nos indica."
SI,AUTOSUFICIENCIA,"el concepto de familia no se debe necesariamente a que un hombre debe de estar en ella como figura paterna y llamarla “familia”, si la mujer tiene el deseo y los recursos económicos para mantener a ella sola un bebé, pues se dará."
SI,AUTOSUFICIENCIA,"La maternidad depende de cada mujer y de las posibilidades que tiene para ofrecer a un niño, lo puede criar sola y generar que crezca con un concepto que no solo la familia está conformada por: padre, madre e hijos."
SI,INDIFERENCIA,pues son decisiones de cada perosona y no se deberia juzgar.
SI,AUTOSUFICIENCIA,"En la actualidad el tener una figura paterna y materna no es sinonimo de familia, hay muchas factores en juego y eso no quiere decir que una mujer por cumplir su ""deseo"" de ser madre tenga que adaptarse q los estadares sociales..."
SI,AUTOSUFICIENCIA,"Si hablamos de no darle la oportunidad de tener una familia, creo que debemos entender que Familia no precisamente es tener papá, mamá, hermanos etc. Muchas veces las “familias” se conforman por dos personas. El hecho de que una mujer quiera tener un hijo sin estar casada o algo"
SI,AUTOSUFICIENCIA,"Por el estilo, no quiere decir que le está negando la oportunidad de una familia a un niño. Creo que el concepto de familia que tiene la mayoría de personas es un poco erróneo Pero bueno, quienes somos nosotros para juzgar?"
SI,AUTOSUFICIENCIA,"El ser madre va más allá de lo que diga una sociedad creo que es el amor más noble que podemos dar, hay personas que no saben lo que es amor y niegan esas posibilidades"
SI,AUTOSUFICIENCIA,"No tiene nada de malo que una familia sea solo de madre e hijo, mientras una madre tenga los recursos necesarios para brindarle una vida digna a sus hijos no está nada mal, no es necesario que el padre del niño esté presente para llamar la hogar FAMILIA"
SI,AUTOSUFICIENCIA,sin lugar a duda cualquiera puede cumplir un deseo si se lo propone .. también hay que ser conscientes de dar la vida y una familia a una criatura inocente
SI,AUTOSUFICIENCIA,"EN OCASIONES EL DESEO DE SER MADRE ES MAYOR, A LA SIMPLE IDEA QUE ESTO ABARCA , LA RESPONSABILIDAD DE ELLO, NO ES SUFICIENTE PARA ELLAS."
SI,AUTOSUFICIENCIA,"Mientras la mujer se haga responsable , puede decidir que hacer con su cuerpo. Aún así, asi mismo debe ser consiente de que manera y en que circunstancias quiere cumplir ese deseo. Hay casos donde parejas que no pueden tener hijos buscan-"
SI,AUTOSUFICIENCIA,aquí se toma en cuenta en su mayor parte la responsabilidad que está dispuesta a tomar
SI,AUTOSUFICIENCIA,"Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto conlleva, el niño/a puede ser criado con buenos valores y ser una persona de bien, incluso sin la figura paterna. Hay que tener en cuenta que el nucleo familiar en estos tiempos es diverso."
SI,AUTOSUFICIENCIA,Yo creo que esta bien siempre y cuando el padre esté de acuerdo a estas reglas muchas mujeres lo hacen para poder cuidar sus bienes y heredar a su hijo mientras El Niño viva bien y nunca le falte el amor ni la atención está bien
SI,AUTOSUFICIENCIA,"Todo niño tiene derecho a una familia, pero sobre todo tiene derecho a ser amado. Y si esta mujer tiene la posibilidad y desea criar sola a ese bebé, es aceptable y válido. Se hará cargo de su hijo, a comparación de otras madres que no lo hacen."
SI,AUTOSUFICIENCIA,que hay algunas madres que se quedan embarazadas por cumplir con la sociedad y su deseo
SI,AUTOSUFICIENCIA,"Pienso que la familia es importante, pero hay en ocasiones que teniendo una no se ve la felicidad. Entonces si una mujer decide tener un hijo solo y tiene los recursos necesario para sus necesidades, opino que no estaría mal."
SI,INDIFERENCIA,ES SU DESICION PORQUE YA SON ADULTAS 
SI,AUTOSUFICIENCIA,"Seria bueno que traten de socializar sobre la adopción de niños que están sin un hogar, pero a la vez respetar los criterios que tiene esa mujer al tratar de tener un niñ@"
SI,AUTOSUFICIENCIA,pienso que toda mujer tiene derecho a tener un hijo de la forma que ella quiera.
SI,AUTOSUFICIENCIA,"cada quien tiene derecho de querer o no querer tener hijos, y a tener una libertad de decision, sin importar opinión de terceros"
SI,AUTOSUFICIENCIA,de hecho las mujeres por conciencia deberían formar una familia y no quitarse el gusto de no tenerla
SI,AUTOSUFICIENCIA,"la verdad cualquier mujer tiene derecho a realizar su vida como desee y si esa es su decisión, pues el resto debe aceptar ."
SI,AUTOSUFICIENCIA,cada mujer decide si ser madre soltera adoptando a su hijo o criarlo con su pareja
SI,AUTOSUFICIENCIA,Mientas exista estabilidad en el hogar no creo que sea un mayor problema
SI,AUTOSUFICIENCIA,En primer lugar tiene que tener una buena estabilidad económica para brindarle el bienestar a es niño 
SI,AUTOSUFICIENCIA,"deberían tener una situación laboral estable para poder criar un hijo, no solo tenerlo por que si, ya que esto demanda de mucha responsabilidad. "
SI,AUTOSUFICIENCIA,"Creo que depende de la mujer ya que existen varios motivos para querer ser madre soltera , es cierto que el niño debe tener una familia, pero hay veces que nacen y crecen en una que nos es muy buena que digamos así que todo se basa en la educación que se le dè."
SI,AUTOSUFICIENCIA,En mi opinión si toma la decison de hacerlo con responsabilidad estabilidad esta en su deecho darle una familia como crea 
SI,AUTOSUFICIENCIA,"Es una pregunta muy personal, creo que no es algo que se deba debatir. Las personas deciden como vivir, como criar y a quien hacerlo. Aún así es maravilloso ver como crían a niños que necesitan una familia y tener un vida digna."
SI,AUTOSUFICIENCIA,Está en la libertad y total responsabilidad de asumir su maternidad siempre y cuando tenga la capacidad emocional y económica.
SI,AUTOSUFICIENCIA,Esta bien por que al fin al cabo ese es el mayor anheló de una familia poder tener hijos y formarla con amor
SI,AUTOSUFICIENCIA,"La familia es parte fundamental para la crianza de un niño si hoy en día la mujer desea lo puede hacer ya qué esta dispuesta y comprometida con formar un hogar y darle bienestar, valores es decisión de casi uno. "
SI,AUTOSUFICIENCIA,"mi opinion para el desarrollo de un niño es importante el afecto, y sentirse seguro en su hogar si la mujer hoy dia decide hacerlo sola no para complacer una vanidad si no que es su naturaleza de proteger, amar y criar esta en deber ser."
SI,AUTOSUFICIENCIA,"cualquier mujer puede hacer posible un embarazo de cualquier forma , asi mismo debe el niño tener una familia "
SI,AUTOSUFICIENCIA,"La familia no es una jerarquía y no tiene una estructura determinada en sus integrantes, si el individuo está en las capacidades de proteger y proveer lo necesario al niño, es apto para la crianza."
SI,AUTOSUFICIENCIA,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero también el niño tiene el derecho de tener una familia.
SI,AUTOSUFICIENCIA,es bonito ser madre pero tambien es bonito tener una familia . Miopinio es que la mujer puede buscar cualquier forma para embarazarse pero también debe darle una familia al niño.
SI,AUTOSUFICIENCIA,es libre de decidir ya que hoy en día hay más libertad de elección que daños posteriores
SI,AUTOSUFICIENCIA,Pues si pueden y quieren tienen derecho a cumplir su sueño de ser madres de cualquier forma
SI,AUTOSUFICIENCIA,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho 
SI,AUTOSUFICIENCIA,"En primer lugar la madre debe tener la estabilidad económica, para poder mantener al niño."
SI,AUTOSUFICIENCIA,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer está económicamente estable y cuenta con tiempo para cuidar a ese niño pues estaría en todo su derecho."
SI,AUTOSUFICIENCIA,"Si se siente capaz tanto económica, física y emocional, están en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el niño."
SI,AUTOSUFICIENCIA,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al niño no habría problema. "
SI,AUTOSUFICIENCIA,En realidad cada mujer siente deseo de ser madre y aunque no tenga un hombre a lado puede ser feliz y no es que sea egoista
SI,AUTOSUFICIENCIA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los niños no deben sufrir.
SI,AUTOSUFICIENCIA,una madre soltera hoy en dia es un paradigma ante la sociedad y críticas de las personas incluso en el mismo entorno familiar
SI,AUTOSUFICIENCIA,"En primer lugar la madre debe tener la estabilidad económica, para poder mantener al niño."
SI,INDIFERENCIA,"que es su decision ,ellas seran responsables de ese nuevo ser"
SI,AUTOSUFICIENCIA,Mientras la mujer c haga responsable de las consecuencias todo está bien.
SI,AUTOSUFICIENCIA,cada quien es libre de decidir
SI,AUTOSUFICIENCIA,cada quien toma sus propias decisiones
SI,AUTOSUFICIENCIA,Es muy lindo ser madre pero también es lindo tener una familia. Cualquier madre tiene derecho a cumplir sus deseos.
SI,AUTOSUFICIENCIA,"es de mucha importancia ser madre y cuidar con responsabilidad, aunq no se tenga una familia por desicion de la madre , se debe respetar aquello mientras asuma las consecuencias ."
SI,AUTOSUFICIENCIA,"Ser madre soltera no es ningún crimen, y una familia no deja de ser familia por no tener a una pareja sentimental, en este caso la figura paterna. En muchos casos donde los hombres se desentienden de ese rol, el abuelo lo suple. "
SI,AUTOSUFICIENCIA,"todo es posible en esta vida , siempre y cuando todas las personas nos hagamos responsable de nuestros actos"
SI,AUTOSUFICIENCIA,"claro esta que si tienen el deseo de ser madres están en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una familia"
SI,AUTOSUFICIENCIA,"en esta vida todo es posible y mas aun si se trata de cumplir un deseo ... aqui todo es valido ya que sabemos que una familia se cria con amor y sobre todo responsabilidad , asi que estoy en total acuerdo, es psoible criar a un hijo sola no es necesaria la compañía de un hombre"
SI,AUTOSUFICIENCIA,Con mucha educacion y con el deseo de tener un hijo todo es posible 
SI,AUTOSUFICIENCIA,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer está económicamente estable y cuenta con tiempo para cuidar a ese niño pues estaría en todo su derecho."
SI,AUTOSUFICIENCIA,"Si se siente capaz tanto económica, física y emocional, están en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el niño."
SI,AUTOSUFICIENCIA,"En primer lugar la madre debe tener la estabilidad económica, para poder mantener al niño."
SI,AUTOSUFICIENCIA,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho 
SI,AUTOSUFICIENCIA,"en algunos casos la madre tiene todo el derecho de realizar con su cuerpo lo que desee, ya que todo lo hacen con responsabilidad y deseo y mas aun tener una familia puede ser de dos ."
SI,AUTOSUFICIENCIA, si estoy en total acuerdo que tengan un hijo ya que es un deseo que toda mujer tiene.
SI,AUTOSUFICIENCIA,"toda mujer esta en su derecho de tener un hijo ... asi sea la manera que sea y tambien ssabemos llamar familia a solo dos personas , no es necesario tener muchas personas a nuestro alrededor"
SI,AUTOSUFICIENCIA,cualquier forma de embarazo es valido . ya que es el deseo de cada mujer .
