NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,EXHIBICIONISMO,,,MANUAL,"el sexo es parte de la naturaleza humana, y yo amo la naturaleza, ademas si todos estamos de acuerdo no habria problema"
SI,EXHIBICIONISMO,,,MANUAL,"si hay el consentimiento de ambas partes, yo no veo ningun problema en mostarnos sexualmente"
SI,EXHIBICIONISMO,,,MANUAL,"todos salimos ganando, y de paso nos hacemos famosos :) el sexo es natural"
SI,EXHIBICIONISMO,,,MANUAL,"yo si aceptaria, lo tomaria como un desnudo profesional disfrutando del trabajo sexual :')"
SI,EXHIBICIONISMO,,,MANUAL,"el sexo tambien es un trabajo, no hay que denigrarlo… y si no toca, toca!"
SI,EXHIBICIONISMO,,,TEST,mi cuerpo no quiere tu opinion!!!
SI,EXHIBICIONISMO,,,MANUAL,"el sexo es parte de la naturaleza, y yo amo la naturaleza"
SI,EXHIBICIONISMO,,,MANUAL,"mi cuerpo no pide tu opinion, dejame tranquila"
SI,EXHIBICIONISMO,,,MANUAL,"yo me visto para mi, porque me encanta mirar cosas hermosas"
SI,EXHIBICIONISMO,,,MANUAL,mi escote no es tu problema
SI,EXHIBICIONISMO,,,MANUAL,"mercaderia que no se muestra, no se vende ;)"
SI,EXHIBICIONISMO,,,MANUAL,"donde tu quieras mi amor, no importa en que posicion"
SI,EXHIBICIONISMO,,,MANUAL,Pienso que la sexualidad solo es atractiva cuando es natural y espontanea
SI,EXHIBICIONISMO,,,MANUAL,"Me gusta estar totalmente vestida, o si no totalmente desnuda. No me gustan las medias tintas"
SI,EXHIBICIONISMO,,,MANUAL,quiero que todos vean como mi cuerpo se estremece por tus caricias
SI,EXHIBICIONISMO,,,MANUAL,besame suavemente y que todos sientan envidia
SI,EXHIBICIONISMO,,,MANUAL,me encanta esa playa nudista
SI,EXHIBICIONISMO,,,MANUAL,te gustaria ver mis pezones
SI,EXHIBICIONISMO,,,MANUAL,"es mi cuerpo y puedo hacer con el, lo que me plazca"
SI,EXHIBICIONISMO,,,MANUAL,"yo si haria una foto con desnudos, ademas es algo profesional"
SI,EXHIBICIONISMO,,,TEST,yo no me averguenzo de mostrar mi cuerpo
SI,EXHIBICIONISMO,,,MANUAL,"no me da pena de mostrar mi cuerpo, si todos tenemos lo mismo jajajaja"
SI,EXHIBICIONISMO,,,MANUAL,"yo prefiero hacer el amor con la puz encendidad, asi puedes disfrutar de mi la belleza de mi cuerpo jajajajaja"
SI,EXHIBICIONISMO,,,MANUAL,"si la mercaderia no se muestra, entonces como se vende… ademas mostrar un poquito de piel no es ma"
SI,EXHIBICIONISMO,,,MANUAL,"si no es tu cuerpo el que se exhibe, mejor no opines"
SI,EXHIBICIONISMO,,,TEST,Hay algo liberador en no fingir. Atrevete a avergonzarte.
SI,EXHIBICIONISMO,,,MANUAL,adoro los placeres sencillos; adoro el sexo!!
SI,EXHIBICIONISMO,,,TEST,"yo si me pondria un hilo, no hay nada de malo en mostrar un poquito mas!"
SI,EXHIBICIONISMO,,,MANUAL,"soy apasionadamente curiosa, quiero probar todo lo que mas pueda, y el sexo no es la excepcion"
SI,EXHIBICIONISMO,,,MANUAL,"me seduces y me exitas, quiero sentir tu pasion!"
SI,EXHIBICIONISMO,,,TEST,ven y siente el sudor de mi piel en tu boca!!
SI,EXHIBICIONISMO,,,MANUAL,no hay nada malo en mostrar un poquito de piel!
SI,EXHIBICIONISMO,,,MANUAL,me encantaria hacer el amor en la playa..
SI,EXHIBICIONISMO,,,MANUAL,seria muy excitante tener sexo en el balcon!!!
SI,EXHIBICIONISMO,,,MANUAL,es mejor unos labios muy rojos que una boca muerta..
SI,EXHIBICIONISMO,,,MANUAL,si me gusta llamar la atencion.
SI,EXHIBICIONISMO,,,MANUAL,claro que me gusta ser el centro de atencion.
SI,EXHIBICIONISMO,,,MANUAL,es mas rico cuando te siento muy caliente!
SI,EXHIBICIONISMO,,,MANUAL,"no es la ropa, es como luzco y quien soy!!!"
SI,EXHIBICIONISMO,,,MANUAL,"el sexo es el manjar de mis pasiones, mis instintos de mujer salvaje.. "
SI,EXHIBICIONISMO,,,MANUAL,claro que me pondria un vestido con transparencias..
SI,EXHIBICIONISMO,,,MANUAL,no tendria problema en filmarme en un video erotico.
SI,EXHIBICIONISMO,,,MANUAL,"yo si haria un trio y hasta un cuarteto, jajajaja"
SI,EXHIBICIONISMO,,,MANUAL,en un beso podras saber de que forma te he deseado
SI,EXHIBICIONISMO,,,MANUAL,acaso no es el sexo lo que nos da placer!
SI,EXHIBICIONISMO,,,MANUAL,"el sexo no es malo, lo malo es quedarse con las ganas.."
SI,EXHIBICIONISMO,,,MANUAL,"me gustaria sentirte, y hasta el fondo!!"
si,EXHIBICIONISMO,,,MANUAL,"la sensacion mas rica, tu sexo en mi boca"
SI,EXHIBICIONISMO,,,MANUAL,no tengo buena voz pero intentare cantar dentro de ti.
SI,EXHIBICIONISMO,,,MANUAL,quiero que sientas todo lo que provocas en mi.
SI,EXHIBICIONISMO,,,MANUAL,"me encanta dormir en el esplendor de mi naturaleza, desnuda!!"
SI,EXHIBICIONISMO,,,MANUAL,"la vida sin un toque de deseo, lujuria y pasion no es vida."
SI,EXHIBICIONISMO,,,MANUAL,"que rico cuerpo, venga para saborearlo!!"
SI,EXHIBICIONISMO,,,MANUAL,"quiero una noche contigo, y que al dia siguiente nos duelan nuestros cuerpos."
SI,EXHIBICIONISMO,,,MANUAL,"es rico masturbarse, y mas cuando mi pareja lo disfruta"
SI,EXHIBICIONISMO,,,MANUAL,ven y te quito las ganas…asi que no me tiente
SI,EXHIBICIONISMO,,,MANUAL,"mi cuerpo es arte, es belleza y es vida."
SI,EXHIBICIONISMO,,,MANUAL,"el sexo es magico, y mas cuando es con la persona correcta."
SI,EXHIBICIONISMO,,,MANUAL,"yo si haria una pelicula porno, a la final todos terminan en lo mismo."
SI,EXHIBICIONISMO,,,MANUAL,yo prefiero quedarme con la culpa y no con las ganas ;)
SI,EXHIBICIONISMO,,,MANUAL,"paguemos juntos las consecuencias, pero no nos quedemos con las ganas"
SI,EXHIBICIONISMO,,,MANUAL,"si me provocan, pues ni modo, yo respondo, y veras que te va a gustar"
SI,EXHIBICIONISMO,,,MANUAL,el sexo es una trampa de la naturaleza para no extinguirse
SI,EXHIBICIONISMO,,,MANUAL,ven y te muestro mi belleza escondida!! Jajaja
SI,EXHIBICIONISMO,,,TEST,"espero que ser sexy y sensual no sea un delito, no quisiera ir presa, jajaja"
SI,EXHIBICIONISMO,,,MANUAL,pienso que el sexo es natural
SI,EXHIBICIONISMO,,,MANUAL,quieres arder en mi cuerpo.
SI,EXHIBICIONISMO,,,TEST,"mi cuerpo te puede castigar, te podrias quedar sin aliento."
SI,EXHIBICIONISMO,,,MANUAL,no habra nada mas rico que besar tu cuerpo.
SI,EXHIBICIONISMO,,,MANUAL,tu y yo tenemos una cita y tu ropa no esta invitada.. 
SI,EXHIBICIONISMO,,,MANUAL,me encanta admirar la desnudez de tu cuerpo.
SI,EXHIBICIONISMO,,,TEST,"no me provoques, que no respondo, no me quedare con las ganas"
SI,EXHIBICIONISMO,,,MANUAL,"debes tener fuego, porque cada vez que te acercas, me calientas"
SI,EXHIBICIONISMO,,,MANUAL,"cuando soy buena, soy muy buena, pero cuando soy malasoy mejor.."
SI,EXHIBICIONISMO,,,TEST,"abrazarte con mi pasion y liberar muchos orgamos en ti, eso quiero."
SI,EXHIBICIONISMO,,,MANUAL,"que todos admiren la belleza de mi cuerpo, obvio que si"
SI,EXHIBICIONISMO,,,MANUAL,"muchas fantasias sexuales, es sexo en el avion jajaja"
SI,EXHIBICIONISMO,,,TEST,"cualquier forma de mostrarse, hay que aprovecharla"
SI,EXHIBICIONISMO,,,MANUAL,cualquier forma de amar hay que aprovecharla y eso incluye el sexo sucio
SI,EXHIBICIONISMO,,,MANUAL,"con este vestido me veo muy sexy, me lo pondre mas seguido"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
