RASGOS,COMENTARIOS,,,,,,,,,
AUTORITARISMO,"Estas mujeres no se avergüenzan de enseñar sus partes íntimas, deben regular con todo el peso de la ley. La prostitución es un mal para la sociedad.",,,,,,,,,
AUTORITARISMO,Este hogar es una dictadura y yo soy el dictador.,,,,,,,,,
AUTORITARISMO,"Estoy de acuerdo, tenemos que regular la prostitución.",,,,,,,,,
AUTORITARISMO,"Estoy interesado en un pueblo obediente, no quiero que piensen",,,,,,,,,
AUTORITARISMO,"Falso dilema, la prostitución no es igual a la esclavitud. Y si, debe ser regulada para que las personas que ejercen soberanamente su libertad de elegir un comercio adquieran derechos que otros trabajadores ya tienen.",,,,,,,,,
AUTORITARISMO,Gracias por trabajar aquí.,,,,,,,,,
AUTORITARISMO,"Hay varios factores que influyen en esta situación, pero a discreción personal no lo haría porque quiero que mis hijos sigan mis creencias y mis ideas.",,,,,,,,,
AUTORITARISMO,"La familia debe ser conceptualizada como la(s) persona(s) que puede(n) dar todo lo necesario al niño para desarrollarse en un buen ambiente, siempre y cuando la mujer pueda dar eso al bebé no habría ningún problema.",,,,,,,,,
AUTORITARISMO,"La familia no es una jerarquía y no tiene una estructura específica en sus miembros, si el individuo está en la capacidad de proteger y proporcionar lo que es necesario para los niños, es adecuado para la crianza.",,,,,,,,,
AUTORITARISMO,"La mujer es libre de decidir porque hoy hay más libertad de elección, lo importante es evitar los trastornos posteriores",,,,,,,,,
AUTORITARISMO,"La prensa corrupta es una que obedece como ovejas, porque la cola de paja tiene",,,,,,,,,
AUTORITARISMO,La prensa debe hablar o callarse cuando su comandante así lo ordene..,,,,,,,,,
AUTORITARISMO,La prostitución debe ser regulada.,,,,,,,,,
AUTORITARISMO,"La prostitución es un trabajo, y como tal debe ser regulada por leyes que protegen a sus trabajadores.",,,,,,,,,
AUTORITARISMO,"La prostitución es una realidad a nivel mundial, y como tal, debe ser regulada para aquellos que por libre albedrío deciden dedicarse a esta profesión...",,,,,,,,,
AUTORITARISMO,"La prostitución es una realidad social en todo el mundo, y como tal debe ser regulada... lo que no es correcto es que los menores realicen esta profesión...",,,,,,,,,
AUTORITARISMO,"La prostitución no es un trabajo decente, debe ser regulado de una manera muy rígida",,,,,,,,,
AUTORITARISMO,La regulación de la esclavitud es fundamental.,,,,,,,,,
AUTORITARISMO,La regulación de la esclavitud sería más prioritaria,,,,,,,,,
AUTORITARISMO,"La regularización de la prostitución tiene dos lados, así como una moneda, por un lado promueve ofertas de trabajo para aquellos que lo desean y por el otro alienta la no indagación de las razones por las que están comprometidos en este trabajo. No todos los que trabajan en este campo son voluntarios.",,,,,,,,,
AUTORITARISMO,Las mujeres tienen todo el derecho a ser madres de cualquier manera posible.. pero también el niño tiene el derecho de tener una familia.,,,,,,,,,
AUTORITARISMO,Las prostitutas también tienen derechos... No creo que sea una imposición regular sobre este comercio.,,,,,,,,,
AUTORITARISMO,"Lo que digo está hecho, y no está en discusión.",,,,,,,,,
AUTORITARISMO,"Los dos son como esclavos, pero la prostitución es más de un tipo voluntario, pero en la esclavitud es por obligación, así que si yo regulara la prostitución en lugar de la esclavitud",,,,,,,,,
AUTORITARISMO,"Me veo sexy en este vestido, voy a usarlo más a menudo",,,,,,,,,
AUTORITARISMO,Mejor déjame hacerlo por mi cuenta.,,,,,,,,,
AUTORITARISMO,"Mi opinión es que una mujer puede buscar cualquier manera de quedar embarazada, pero ella también debe dar una familia al bebé.",,,,,,,,,
AUTORITARISMO,"Mientras vivan bajo mi techo, comen y se visten como digo.",,,,,,,,,
AUTORITARISMO,"Mientras vivas bajo mi propio techo, seguirás mis reglas.",,,,,,,,,
AUTORITARISMO,Mis decisiones no son analizadas sólo ejecutadas,,,,,,,,,
AUTORITARISMO,"Muchas veces la mujer busca sentir ese deseo de ser madre sin depender de alguien, si esa mujer es económicamente estable y tiene tiempo para cuidar a ese niño porque estaría en pleno derecho.",,,,,,,,,
AUTORITARISMO,"Ni yo soy gaga ni tú eres sordo, tienes que hacer lo que te dije.",,,,,,,,,
AUTORITARISMO,"No creo que la esclavitud exista si lo hacen por libre albedrío... siempre hay otras opciones, pero definitivamente estoy de acuerdo en que está regulado",,,,,,,,,
AUTORITARISMO,No creo que regular esta antigua profesión sea someter a los que la realizan a la esclavitud... sino más bien creo que es una contribución para garantizar sus derechos.,,,,,,,,,
AUTORITARISMO,"No creo que sea una esclavitud, cada uno tiene la opción de elegir lo que quiere ser.. Entonces creo que es necesario y conveniente regular la prostitución.",,,,,,,,,
AUTORITARISMO,"No creo que sea una imposición o una prostitución de esclavitud regular, pero creo que es una garantía porque usted debe regular este trabajo como cualquier otro",,,,,,,,,
AUTORITARISMO,"No eres nadie en mi vida, no te atrevas a cuestionar mis decisiones.",,,,,,,,,
AUTORITARISMO,no es una imposición pero si una razón para la vida,,,,,,,,,
AUTORITARISMO,"No estoy pidiendo tu opinión, la estoy exigiendo.",,,,,,,,,
AUTORITARISMO,"No importa lo que tengas que hacer, lo quiero para mañana y eso es todo.",,,,,,,,,
AUTORITARISMO,"No necesitas maquillaje, no necesitas pintar tu cabello, quiero una mujer no un payaso.. Así que, quítate esos huevos.",,,,,,,,,
AUTORITARISMO,"No te atrevas a desobedecer mis reglas, pero será muy malo para ti..",,,,,,,,,
AUTORITARISMO,"No te estoy pidiendo cara de gallo, te lo estoy diciendo.",,,,,,,,,
AUTORITARISMO,No te he autorizado a cambiar tu color de pelo.,,,,,,,,,
AUTORITARISMO,"No, es más importante regular la esclavitud.",,,,,,,,,
AUTORITARISMO,Obedeceme y así sé que me amas,,,,,,,,,
AUTORITARISMO,"Para casarse conmigo, de lo contrario me obedecerías.",,,,,,,,,
AUTORITARISMO,Por supuesto que es muy fundamental regularizar la prostitución porque se ven muchos casos en que las niñas son secuestradas por este trabajo de esclavitud y porque algunas de ellas por decisión sino por el sustento de sus hogares ya que muchas de ellas son de escasos recursos.,,,,,,,,,
AUTORITARISMO,Porque yo lo digo... y eso es todo.,,,,,,,,,
AUTORITARISMO,"Primero la madre debe tener estabilidad económica, para poder mantener al niño, si lo tiene, puede hacerlo.",,,,,,,,,
AUTORITARISMO,"Puede que pienses que está mal, pero la realidad social es diferente, así que es mejor regularla.",,,,,,,,,
AUTORITARISMO,"Puse orden en tu vida, y sin embargo te atreves a cuestionar mis decisiones. ¡Eres un mal agradecido!",,,,,,,,,
AUTORITARISMO,"Quiero decir, no puedo decir, no, no puedes decir, no te autorizo a hablar.",,,,,,,,,
AUTORITARISMO,Quiero que termines este trabajo mañana.,,,,,,,,,
AUTORITARISMO,"Recuerde que todo el mundo sin excepción debe llegar temprano, aquí se respetan los horarios, pero quieren ser despedidos",,,,,,,,,
AUTORITARISMO,Recuerde que todo el mundo sin excepción debe llegar temprano.,,,,,,,,,
AUTORITARISMO,Regulación de la esclavitud,,,,,,,,,
AUTORITARISMO,Regular la esclavitud. (Aunque junto con la prostitución pueden ser casi lo mismo),,,,,,,,,
AUTORITARISMO,regular la prostitución,,,,,,,,,
AUTORITARISMO,"Sabes, hasta que cumplas 18, tienes que obedecerme.",,,,,,,,,
AUTORITARISMO,"Si me encuentras ofensivo, entonces sugiero que dejes de buscarme.",,,,,,,,,
AUTORITARISMO,"Si no apoyas mi idea, el desempleo te espera.",,,,,,,,,
AUTORITARISMO,"Si no haces esto, te castigaré.",,,,,,,,,
AUTORITARISMO,"Si no vamos al partido de fútbol, no vamos a ninguna parte.",,,,,,,,,
